time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000097309,2.825,-16.650,-88.117,4.773,33.244,0x0C,0x0E,CHARGING
000099311,3.025,-184.500,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
000101312,3.030,-184.500,-88.117,4.580,41.170,0x0F,0x0E,CHARGING
000103314,3.040,-184.500,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
000105316,3.040,-185.175,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000107318,3.054,-185.175,-88.117,4.580,43.548,0x0F,0x0E,CHARGING
000109319,3.059,-185.175,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
000111321,3.064,-185.400,-88.117,4.580,44.340,0x0F,0x0E,CHARGING
000113322,3.069,-185.400,-88.117,4.586,44.340,0x0F,0x0E,CHARGING
000115324,3.079,-185.175,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
000117325,3.079,-185.175,-88.117,4.592,44.340,0x0F,0x0E,CHARGING
000119327,3.084,-185.175,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000121329,3.088,-185.625,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000123331,3.098,-185.400,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000125332,3.098,-185.625,-88.117,4.580,45.133,0x0F,0x0E,CHARGING
000127333,3.108,-185.400,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000129334,3.108,-185.400,-88.117,4.586,48.303,0x0F,0x0E,CHARGING
000131336,3.113,-185.400,-88.117,4.580,45.133,0x0F,0x0E,CHARGING
000133338,3.113,-185.850,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000135340,3.128,-185.625,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000137341,3.128,-185.625,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000139343,3.132,-185.850,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000141344,3.132,-185.625,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000143346,3.137,-185.625,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000145347,3.137,-185.850,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000147348,3.147,-185.850,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000149349,3.147,-185.850,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
000151351,3.152,-186.075,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000153353,3.157,-185.850,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000155355,3.157,-186.300,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000157357,3.162,-186.075,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000159358,3.167,-186.075,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000161360,3.167,-186.075,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000163362,3.167,-186.075,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000165364,3.176,-186.075,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000167365,3.176,-186.525,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000169367,3.172,-186.525,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000171369,3.186,-186.300,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000173371,3.186,-186.300,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000175373,3.186,-186.300,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000177375,3.186,-186.525,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000179377,3.196,-186.525,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000181379,3.196,-186.525,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000183381,3.201,-186.300,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000185382,3.206,-186.525,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
000187384,3.206,-186.300,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
000189386,3.211,-186.525,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
000191387,3.211,-186.525,-88.117,4.592,46.718,0x0F,0x0E,CHARGING
000193388,3.216,-186.750,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
