time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.118,-16.875,33.634,4.792,49.096,0x0C,0x0E,CHARGING
2002,3.176,-185.175,33.634,4.592,52.266,0x0F,0x0E,CHARGING
4004,3.176,-185.4,33.634,4.58,53.059,0x0F,0x0E,CHARGING
6006,3.176,-185.625,33.634,4.58,55.437,0x0F,0x0E,CHARGING
8008,3.176,-185.625,33.634,4.586,49.889,0x0F,0x0E,CHARGING
10010,3.181,-185.625,33.634,4.586,49.889,0x0F,0x0E,CHARGING
12012,3.186,-185.625,33.746,4.58,53.852,0x0F,0x0E,CHARGING
14014,3.186,-185.625,33.746,4.58,53.852,0x0F,0x0E,CHARGING
16016,3.181,-185.625,33.746,4.58,53.852,0x0F,0x0E,CHARGING
18018,3.186,-185.625,33.746,4.586,53.852,0x0F,0x0E,CHARGING
20020,3.191,-185.85,33.746,4.586,53.059,0x0F,0x0E,CHARGING
22022,3.196,-185.625,33.746,4.586,53.059,0x0F,0x0E,CHARGING
24024,3.196,-185.625,33.746,4.58,53.852,0x0F,0x0E,CHARGING
26026,3.196,-185.85,33.746,4.58,53.852,0x0F,0x0E,CHARGING
28028,3.196,-185.625,33.746,4.586,53.852,0x0F,0x0E,CHARGING
30030,3.196,-185.625,33.858,4.586,53.852,0x0F,0x0E,CHARGING
32032,3.201,-185.85,33.858,4.58,53.852,0x0F,0x0E,CHARGING
34034,3.201,-185.625,33.858,4.58,53.852,0x0F,0x0E,CHARGING
36036,3.206,-185.85,33.746,4.586,57.022,0x0F,0x0E,CHARGING
38038,3.206,-185.85,33.858,4.58,53.852,0x0F,0x0E,CHARGING
40040,3.206,-186.075,33.858,4.58,53.852,0x0F,0x0E,CHARGING
42042,3.206,-185.85,33.858,4.58,53.852,0x0F,0x0E,CHARGING
44043,3.211,-187.2,33.858,4.586,53.852,0x0F,0x0E,CHARGING
46045,3.216,-185.85,33.858,4.58,53.852,0x0F,0x0E,CHARGING
48047,3.216,-185.85,33.858,4.586,53.852,0x0F,0x0E,CHARGING
50049,3.216,-185.85,33.97,4.586,53.852,0x0F,0x0E,CHARGING
52051,3.216,-185.85,33.97,4.592,53.852,0x0F,0x0E,CHARGING
54053,3.216,-185.85,33.97,4.58,53.852,0x0F,0x0E,CHARGING
