time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.465,106.8,34.645,3.439,38.0,0x04,0x0E,DISCHARGING
2002,3.46,106.8,34.645,3.433,37.207,0x04,0x0E,DISCHARGING
4004,3.426,109.2,34.645,3.421,38.0,0x04,0x0E,DISCHARGING
6006,3.426,108.8,34.645,3.408,38.0,0x04,0x0E,DISCHARGING
8007,3.421,109.6,34.645,3.396,37.207,0x04,0x0E,DISCHARGING
10008,3.421,94.8,34.645,3.396,37.207,0x04,0x0E,DISCHARGING
12010,3.406,106.8,34.645,3.39,37.207,0x04,0x0E,DISCHARGING
14012,3.401,109.6,34.645,3.383,37.207,0x04,0x0E,DISCHARGING
16013,3.391,107.6,34.645,3.377,37.207,0x04,0x0E,DISCHARGING
18014,3.382,110.4,34.645,3.371,37.207,0x04,0x0E,DISCHARGING
20016,3.387,115.2,34.645,3.365,37.207,0x04,0x0E,DISCHARGING
22018,3.382,108.4,34.645,3.365,37.207,0x04,0x0E,DISCHARGING
24020,3.367,107.6,34.645,3.358,37.207,0x04,0x0E,DISCHARGING
26022,3.387,110.4,34.645,3.358,37.207,0x04,0x0E,DISCHARGING
28024,3.387,116.8,34.645,3.352,37.207,0x04,0x0E,DISCHARGING
30026,3.362,115.2,34.645,3.346,37.207,0x04,0x0E,DISCHARGING
32028,3.387,102.0,34.645,3.346,37.207,0x04,0x0E,DISCHARGING
34030,3.367,109.6,34.645,3.346,37.207,0x04,0x0E,DISCHARGING
36031,3.357,112.0,34.645,3.34,37.207,0x04,0x0E,DISCHARGING
38033,3.357,102.8,34.645,3.34,37.207,0x04,0x0E,DISCHARGING
40035,3.343,116.8,34.645,3.333,37.207,0x04,0x0E,DISCHARGING
42037,3.347,109.6,34.645,3.327,37.207,0x04,0x0E,DISCHARGING
44039,3.347,102.0,34.645,3.327,37.207,0x04,0x0E,DISCHARGING
46041,3.347,115.2,34.645,3.327,37.207,0x04,0x0E,DISCHARGING
48043,3.347,97.2,34.645,3.327,37.207,0x04,0x0E,DISCHARGING
50045,3.347,110.4,34.645,3.321,37.207,0x04,0x0E,DISCHARGING
52047,3.333,107.6,34.645,3.321,37.207,0x04,0x0E,DISCHARGING
54049,3.347,102.0,34.645,3.315,37.207,0x04,0x0E,DISCHARGING
56051,3.343,112.4,34.645,3.315,37.207,0x04,0x0E,DISCHARGING
58053,3.347,99.2,34.645,3.315,37.207,0x04,0x0E,DISCHARGING
60055,3.347,109.6,34.645,3.315,37.207,0x04,0x0E,DISCHARGING
62057,3.347,110.8,34.645,3.309,37.207,0x04,0x0E,DISCHARGING
64059,3.343,109.6,34.645,3.309,37.207,0x04,0x0E,DISCHARGING
66061,3.343,112.4,34.645,3.302,37.207,0x04,0x0E,DISCHARGING
68063,3.323,102.4,34.645,3.302,37.207,0x04,0x0E,DISCHARGING
70065,3.323,115.2,34.645,3.302,37.207,0x04,0x0E,DISCHARGING
72067,3.318,112.4,34.645,3.302,37.207,0x04,0x0E,DISCHARGING
74069,3.318,115.2,34.645,3.296,36.414,0x04,0x0E,DISCHARGING
76071,3.304,108.4,34.645,3.302,37.207,0x04,0x0E,DISCHARGING
78073,3.313,115.2,34.645,3.296,37.207,0x04,0x0E,DISCHARGING
80075,3.318,108.0,34.645,3.296,37.207,0x04,0x0E,DISCHARGING
82077,3.313,110.4,34.645,3.296,37.207,0x04,0x0E,DISCHARGING
84079,3.308,116.8,34.645,3.296,37.207,0x04,0x0E,DISCHARGING
86081,3.308,110.4,34.645,3.296,37.207,0x04,0x0E,DISCHARGING
88083,3.304,100.4,34.645,3.29,37.207,0x04,0x0E,DISCHARGING
90085,3.308,110.0,34.645,3.29,37.207,0x04,0x0E,DISCHARGING
92087,3.308,106.8,34.645,3.29,37.207,0x04,0x0E,DISCHARGING
94089,3.308,115.6,34.645,3.29,37.207,0x04,0x0E,DISCHARGING
96090,3.308,111.2,34.645,3.284,36.414,0x04,0x0E,DISCHARGING
98092,3.313,96.0,34.532,3.284,36.414,0x04,0x0E,DISCHARGING
100094,3.308,115.2,34.645,3.284,37.207,0x04,0x0E,DISCHARGING
102095,3.294,110.4,34.645,3.284,37.207,0x04,0x0E,DISCHARGING
104097,3.308,110.4,34.645,3.284,36.414,0x04,0x0E,DISCHARGING
106099,3.304,111.2,34.645,3.284,37.207,0x04,0x0E,DISCHARGING
108101,3.308,112.8,34.645,3.29,37.207,0x04,0x0E,DISCHARGING
110102,3.308,106.8,34.645,3.277,37.207,0x04,0x0E,DISCHARGING
112104,3.308,113.2,34.645,3.277,37.207,0x04,0x0E,DISCHARGING
114106,3.313,112.8,34.645,3.277,37.207,0x04,0x0E,DISCHARGING
116108,3.304,111.2,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
118110,3.304,110.0,34.645,3.277,37.207,0x04,0x0E,DISCHARGING
120112,3.304,111.2,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
122114,3.304,113.2,34.645,3.277,37.207,0x04,0x0E,DISCHARGING
124116,3.304,110.0,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
126118,3.308,107.6,34.645,3.277,37.207,0x04,0x0E,DISCHARGING
128120,3.308,115.2,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
130122,3.304,115.2,34.645,3.271,36.414,0x04,0x0E,DISCHARGING
132124,3.304,109.6,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
134126,3.308,115.2,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
136128,3.284,112.8,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
138130,3.308,112.4,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
140132,3.308,111.2,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
142134,3.304,115.6,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
144136,3.304,110.8,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
146138,3.304,115.2,34.645,3.271,36.414,0x04,0x0E,DISCHARGING
148140,3.304,116.8,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
150142,3.284,112.4,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
152144,3.274,108.4,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
154146,3.274,112.4,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
156148,3.279,106.8,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
158150,3.279,107.6,34.645,3.271,37.207,0x04,0x0E,DISCHARGING
160152,3.284,107.6,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
162154,3.279,110.0,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
164156,3.279,107.6,34.645,3.265,36.414,0x04,0x0E,DISCHARGING
166158,3.279,108.4,34.645,3.265,37.207,0x04,0x0E,DISCHARGING
168159,3.279,112.4,34.645,3.265,36.414,0x04,0x0E,DISCHARGING
170161,3.279,110.8,34.645,3.259,36.414,0x04,0x0E,DISCHARGING
172163,3.279,114.0,34.645,3.259,37.207,0x04,0x0E,DISCHARGING
