time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000001649,2.443,-16.200,24.897,4.767,26.903,0x0C,0x0E,CHARGING
000002743,2.463,-16.200,25.000,4.767,27.696,0x0C,0x0E,CHARGING
000003829,2.478,-16.200,25.000,4.767,24.525,0x0C,0x0E,CHARGING
000004915,2.482,-16.200,25.000,4.767,28.488,0x0C,0x0E,CHARGING
000006001,2.492,-16.200,24.897,4.767,27.696,0x0C,0x0E,CHARGING
000007086,2.492,-16.425,25.000,4.760,31.659,0x0C,0x0E,CHARGING
000008172,2.497,-16.200,25.000,4.773,28.488,0x0C,0x0E,CHARGING
000009258,2.502,-16.200,25.000,4.779,28.488,0x0C,0x0E,CHARGING
000010344,2.502,-16.425,25.000,4.767,29.281,0x0C,0x0E,CHARGING
000011430,2.512,-16.200,25.000,4.767,29.281,0x0C,0x0E,CHARGING
000012516,2.517,-16.200,25.000,4.773,28.488,0x0C,0x0E,CHARGING
000013601,2.517,-16.200,25.000,4.767,28.488,0x0C,0x0E,CHARGING
000014687,2.521,-16.200,25.000,4.773,29.281,0x0C,0x0E,CHARGING
000015773,2.526,-16.200,25.000,4.767,29.281,0x0C,0x0E,CHARGING
000016859,2.526,-16.200,25.000,4.767,29.281,0x0C,0x0E,CHARGING
000017945,2.531,-16.425,25.000,4.767,29.281,0x0C,0x0E,CHARGING
000019031,2.531,-16.200,25.102,4.767,29.281,0x0C,0x0E,CHARGING
000020116,2.536,-16.425,25.000,4.773,29.281,0x0C,0x0E,CHARGING
000021201,2.600,-181.800,25.102,4.574,35.622,0x1C,0x0E,CHARGING
000022287,2.693,-182.925,25.102,4.574,37.207,0x0F,0x0E,CHARGING
000023373,2.712,-182.925,25.102,4.580,41.170,0x0F,0x0E,CHARGING
000024459,2.732,-183.150,25.205,4.574,41.963,0x0F,0x0E,CHARGING
000025544,2.741,-183.150,25.205,4.580,41.963,0x0F,0x0E,CHARGING
000026630,2.756,-183.375,25.205,4.574,42.755,0x0F,0x0E,CHARGING
000027716,2.766,-183.150,25.205,4.586,41.963,0x0F,0x0E,CHARGING
000028802,2.776,-183.150,25.205,4.586,42.755,0x0F,0x0E,CHARGING
000029888,2.785,-183.600,25.205,4.574,40.377,0x0F,0x0E,CHARGING
000030974,2.795,-183.375,25.205,4.580,43.548,0x0F,0x0E,CHARGING
000032060,2.805,-183.600,25.308,4.586,43.548,0x0F,0x0E,CHARGING
000033145,2.815,-183.375,25.205,4.580,43.548,0x0F,0x0E,CHARGING
000034231,2.820,-183.825,25.205,4.580,43.548,0x0F,0x0E,CHARGING
000035316,2.829,-183.600,25.308,4.580,43.548,0x0F,0x0E,CHARGING
000036402,2.834,-184.050,25.308,4.586,43.548,0x0F,0x0E,CHARGING
000037488,2.839,-183.825,25.308,4.580,40.377,0x0F,0x0E,CHARGING
000038572,2.849,-183.825,25.308,4.580,43.548,0x0F,0x0E,CHARGING
000039657,2.849,-184.050,25.308,4.574,43.548,0x0F,0x0E,CHARGING
000040742,2.859,-184.275,25.308,4.574,43.548,0x0F,0x0E,CHARGING
000041827,2.864,-184.275,25.411,4.574,43.548,0x0F,0x0E,CHARGING
000042913,2.869,-184.500,25.411,4.580,43.548,0x0F,0x0E,CHARGING
000043999,2.878,-184.050,25.308,4.580,44.340,0x0F,0x0E,CHARGING
000045085,2.869,-184.050,25.411,4.580,43.548,0x0F,0x0E,CHARGING
000046170,2.883,-184.500,25.411,4.580,44.340,0x0F,0x0E,CHARGING
000047255,2.888,-184.500,25.411,4.580,43.548,0x0F,0x0E,CHARGING
000048341,2.893,-184.275,25.411,4.574,43.548,0x0F,0x0E,CHARGING
000049426,2.898,-184.275,25.411,4.574,44.340,0x0F,0x0E,CHARGING
000050512,2.898,-184.500,25.411,4.580,44.340,0x0F,0x0E,CHARGING
000051597,2.903,-184.500,25.411,4.580,43.548,0x0F,0x0E,CHARGING
000052683,2.908,-184.725,25.411,4.580,44.340,0x0F,0x0E,CHARGING
000053769,2.913,-184.500,25.411,4.592,43.548,0x0F,0x0E,CHARGING
000054855,2.917,-184.725,25.411,4.574,44.340,0x0F,0x0E,CHARGING
000055941,2.922,-184.500,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000057027,2.922,-184.500,25.411,4.580,43.548,0x0F,0x0E,CHARGING
000058113,2.927,-184.500,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000059199,2.927,-184.725,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000060285,2.932,-184.950,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000061371,2.937,-184.725,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000062457,2.937,-184.725,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000063543,2.942,-184.725,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000064628,2.947,-184.725,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000065713,2.947,-184.725,25.514,4.574,43.548,0x0F,0x0E,CHARGING
000066799,2.952,-184.725,25.514,4.586,43.548,0x0F,0x0E,CHARGING
000067885,2.956,-184.950,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000068979,2.956,-185.175,25.514,4.580,44.340,0x0F,0x0E,CHARGING
000070065,2.956,-185.175,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000071150,2.966,-185.175,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000072236,2.966,-185.175,25.514,4.574,43.548,0x0F,0x0E,CHARGING
000073322,2.971,-185.175,25.514,4.574,44.340,0x0F,0x0E,CHARGING
000074415,2.971,-185.400,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000075501,2.971,-185.175,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000076587,2.976,-185.400,25.617,4.580,43.548,0x0F,0x0E,CHARGING
000077673,2.981,-185.175,25.514,4.580,44.340,0x0F,0x0E,CHARGING
000078766,2.976,-185.175,25.514,4.580,40.377,0x0F,0x0E,CHARGING
000079851,2.986,-185.400,25.617,4.580,43.548,0x0F,0x0E,CHARGING
000080937,2.986,-184.950,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000082023,2.986,-185.175,25.514,4.586,43.548,0x0F,0x0E,CHARGING
000083109,2.991,-185.175,25.514,4.574,43.548,0x0F,0x0E,CHARGING
000084194,2.996,-185.175,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000085279,2.996,-185.400,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000086373,3.000,-185.400,25.514,4.586,42.755,0x0F,0x0E,CHARGING
000087458,2.996,-185.175,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000088544,3.000,-185.175,25.617,4.574,43.548,0x0F,0x0E,CHARGING
000089630,3.005,-185.400,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000090715,3.010,-185.400,25.617,4.574,43.548,0x0F,0x0E,CHARGING
000091809,3.010,-185.625,25.514,4.574,42.755,0x0F,0x0E,CHARGING
000092895,3.010,-185.400,25.617,4.580,42.755,0x0F,0x0E,CHARGING
000093981,3.015,-185.400,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000095067,3.015,-185.400,25.617,4.580,42.755,0x0F,0x0E,CHARGING
000096153,3.015,-185.625,25.617,4.580,43.548,0x0F,0x0E,CHARGING
000097239,3.020,-185.400,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000098325,3.025,-185.400,25.617,4.580,42.755,0x0F,0x0E,CHARGING
000099411,3.020,-185.625,25.617,4.574,40.377,0x0F,0x0E,CHARGING
000100496,3.030,-185.400,25.617,4.580,43.548,0x0F,0x0E,CHARGING
000101582,3.025,-185.625,25.514,4.592,42.755,0x0F,0x0E,CHARGING
000102669,3.030,-109.445,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000103754,3.030,-109.312,25.514,4.574,40.377,0x0F,0x0E,CHARGING
000104848,3.035,-109.312,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000105934,3.035,-109.445,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000107020,3.035,-109.180,25.514,4.574,43.548,0x0F,0x0E,CHARGING
000108106,3.035,-109.312,25.514,4.580,43.548,0x0F,0x0E,CHARGING
000109192,3.040,-109.312,25.617,4.592,43.548,0x0F,0x0E,CHARGING
000110278,3.044,-109.445,25.514,4.586,40.377,0x0F,0x0E,CHARGING
000111369,3.044,-109.312,25.514,4.574,42.755,0x0F,0x0E,CHARGING
000112454,3.049,-109.312,25.617,4.580,42.755,0x0F,0x0E,CHARGING
