time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.0,-16.875,25.308,4.76,38.0,0x0C,0x0E,CHARGING
1094,3.079,-186.075,25.205,4.567,40.377,0x0F,0x0E,CHARGING
2180,3.084,-186.075,25.308,4.567,41.17,0x0F,0x0E,CHARGING
3266,3.088,-186.075,25.308,4.567,41.17,0x0F,0x0E,CHARGING
4351,3.088,-186.075,25.308,4.567,41.17,0x0F,0x0E,CHARGING
5437,3.088,-186.075,25.308,4.567,41.963,0x0F,0x0E,CHARGING
6522,3.093,-186.3,25.308,4.567,41.963,0x0F,0x0E,CHARGING
7608,3.093,-186.3,25.308,4.58,41.17,0x0F,0x0E,CHARGING
8694,3.098,-186.3,25.411,4.58,41.963,0x0F,0x0E,CHARGING
9780,3.103,-186.075,25.411,4.567,41.963,0x0F,0x0E,CHARGING
10866,3.098,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
11952,3.108,-186.3,25.411,4.567,41.17,0x0F,0x0E,CHARGING
13038,3.108,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
14124,3.113,-186.525,25.411,4.574,41.963,0x0F,0x0E,CHARGING
15209,3.113,-186.75,25.411,4.567,41.963,0x0F,0x0E,CHARGING
16295,3.113,-186.3,25.411,4.567,41.963,0x0F,0x0E,CHARGING
17381,3.118,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
18467,3.118,-186.525,25.411,4.574,41.963,0x0F,0x0E,CHARGING
19552,3.118,-186.525,25.514,4.567,45.133,0x0F,0x0E,CHARGING
20638,3.123,-186.525,25.411,4.574,42.755,0x0F,0x0E,CHARGING
21724,3.128,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
22810,3.128,-186.525,25.514,4.567,42.755,0x0F,0x0E,CHARGING
23896,3.128,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
24982,3.128,-186.75,25.514,4.58,41.963,0x0F,0x0E,CHARGING
26068,3.128,-186.525,25.514,4.567,41.963,0x0F,0x0E,CHARGING
27154,3.132,-186.3,25.514,4.567,41.963,0x0F,0x0E,CHARGING
28240,3.132,-186.525,25.514,4.574,42.755,0x0F,0x0E,CHARGING
29326,3.132,-186.75,25.514,4.567,41.963,0x0F,0x0E,CHARGING
30412,3.137,-186.75,25.514,4.574,41.963,0x0F,0x0E,CHARGING
31498,3.142,-186.75,25.514,4.567,42.755,0x0F,0x0E,CHARGING
32584,3.142,-186.75,25.514,4.567,41.963,0x0F,0x0E,CHARGING
33670,3.142,-186.75,25.514,4.567,42.755,0x0F,0x0E,CHARGING
34756,3.142,-186.525,25.514,4.574,42.755,0x0F,0x0E,CHARGING
35842,3.142,-186.75,25.514,4.567,42.755,0x0F,0x0E,CHARGING
36928,3.147,-186.75,25.514,4.567,41.963,0x0F,0x0E,CHARGING
38014,3.147,-186.525,25.514,4.567,41.963,0x0F,0x0E,CHARGING
39100,3.147,-186.525,25.617,4.567,42.755,0x0F,0x0E,CHARGING
40186,3.152,-186.975,25.514,4.58,42.755,0x0F,0x0E,CHARGING
41272,3.147,-186.75,25.514,4.567,41.963,0x0F,0x0E,CHARGING
42358,3.152,-186.75,25.514,4.567,41.963,0x0F,0x0E,CHARGING
43443,3.152,-186.75,25.617,4.567,42.755,0x0F,0x0E,CHARGING
44528,3.152,-186.75,25.617,4.561,41.963,0x0F,0x0E,CHARGING
45614,3.162,-186.75,25.617,4.574,41.963,0x0F,0x0E,CHARGING
46700,3.157,-186.75,25.514,4.567,42.755,0x0F,0x0E,CHARGING
47786,3.162,-186.75,25.617,4.567,41.963,0x0F,0x0E,CHARGING
48871,3.167,-186.975,25.617,4.567,41.963,0x0F,0x0E,CHARGING
49957,3.162,-186.975,25.617,4.567,42.755,0x0F,0x0E,CHARGING
51043,3.162,-186.75,25.617,4.574,42.755,0x0F,0x0E,CHARGING
52129,3.167,-186.75,25.617,4.567,41.963,0x0F,0x0E,CHARGING
