time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.445,111.2,25.411,3.433,27.696,0x04,0x0E,DISCHARGING
1094,3.44,115.2,25.411,3.427,27.696,0x04,0x0E,DISCHARGING
2180,3.45,99.6,25.411,3.408,26.903,0x04,0x0E,DISCHARGING
3266,3.406,112.4,25.411,3.402,26.903,0x04,0x0E,DISCHARGING
4360,3.431,111.2,25.411,3.39,26.903,0x04,0x0E,DISCHARGING
5454,3.411,115.2,25.411,3.383,26.903,0x04,0x0E,DISCHARGING
6540,3.401,113.6,25.411,3.377,26.903,0x04,0x0E,DISCHARGING
7625,3.382,111.2,25.411,3.371,26.903,0x04,0x0E,DISCHARGING
8713,3.382,110.0,25.411,3.371,26.903,0x04,0x0E,DISCHARGING
9807,3.391,99.6,25.411,3.365,26.903,0x04,0x0E,DISCHARGING
10901,3.391,112.4,25.411,3.365,26.903,0x04,0x0E,DISCHARGING
11987,3.391,115.2,25.411,3.358,26.111,0x04,0x0E,DISCHARGING
13081,3.372,112.4,25.411,3.352,26.903,0x04,0x0E,DISCHARGING
14167,3.362,108.4,25.411,3.352,26.903,0x04,0x0E,DISCHARGING
15253,3.367,115.6,25.411,3.352,26.903,0x04,0x0E,DISCHARGING
16339,3.372,112.8,25.411,3.346,26.903,0x04,0x0E,DISCHARGING
17425,3.372,116.8,25.411,3.346,26.903,0x04,0x0E,DISCHARGING
18511,3.372,112.4,25.411,3.34,26.903,0x04,0x0E,DISCHARGING
19597,3.352,116.8,25.411,3.34,26.903,0x04,0x0E,DISCHARGING
20682,3.352,110.0,25.411,3.333,26.903,0x04,0x0E,DISCHARGING
21776,3.352,116.8,25.411,3.333,26.903,0x04,0x0E,DISCHARGING
22862,3.347,114.4,25.411,3.327,26.903,0x04,0x0E,DISCHARGING
23956,3.352,113.6,25.411,3.333,26.903,0x04,0x0E,DISCHARGING
25042,3.338,114.4,25.411,3.333,26.111,0x04,0x0E,DISCHARGING
26136,3.352,116.8,25.411,3.327,26.903,0x04,0x0E,DISCHARGING
27222,3.352,114.0,25.411,3.327,26.903,0x04,0x0E,DISCHARGING
28308,3.343,114.8,25.411,3.321,26.111,0x04,0x0E,DISCHARGING
29394,3.338,114.4,25.411,3.321,26.903,0x04,0x0E,DISCHARGING
30480,3.352,115.6,25.411,3.321,26.903,0x04,0x0E,DISCHARGING
31574,3.333,114.0,25.411,3.315,26.903,0x04,0x0E,DISCHARGING
32660,3.328,117.6,25.411,3.321,26.111,0x04,0x0E,DISCHARGING
33754,3.323,113.2,25.411,3.321,26.111,0x04,0x0E,DISCHARGING
34840,3.338,95.6,25.411,3.321,26.903,0x04,0x0E,DISCHARGING
35926,3.328,110.8,25.411,3.315,26.903,0x04,0x0E,DISCHARGING
37012,3.323,118.8,25.411,3.315,26.903,0x04,0x0E,DISCHARGING
38106,3.328,116.8,25.411,3.309,26.903,0x04,0x0E,DISCHARGING
39192,3.333,113.2,25.411,3.309,26.111,0x04,0x0E,DISCHARGING
40278,3.328,116.4,25.411,3.309,26.903,0x04,0x0E,DISCHARGING
41364,3.333,115.2,25.411,3.315,26.903,0x04,0x0E,DISCHARGING
42458,3.333,116.0,25.411,3.302,26.903,0x04,0x0E,DISCHARGING
43551,3.333,102.8,25.411,3.302,26.111,0x04,0x0E,DISCHARGING
44636,3.333,102.8,25.411,3.302,26.903,0x04,0x0E,DISCHARGING
45722,3.333,114.0,25.411,3.302,26.903,0x04,0x0E,DISCHARGING
46816,3.323,116.8,25.411,3.296,26.903,0x04,0x0E,DISCHARGING
47910,3.323,116.8,25.411,3.296,26.903,0x04,0x0E,DISCHARGING
49004,3.323,114.0,25.411,3.296,26.111,0x04,0x0E,DISCHARGING
50090,3.323,115.6,25.411,3.296,26.903,0x04,0x0E,DISCHARGING
51176,3.313,116.4,25.411,3.302,26.903,0x04,0x0E,DISCHARGING
52262,3.313,102.8,25.411,3.296,26.111,0x04,0x0E,DISCHARGING
53348,3.333,116.8,25.411,3.296,26.903,0x04,0x0E,DISCHARGING
54442,3.308,116.8,25.411,3.29,26.111,0x04,0x0E,DISCHARGING
55535,3.308,116.8,25.411,3.29,26.903,0x04,0x0E,DISCHARGING
56620,3.313,116.8,25.411,3.29,26.903,0x04,0x0E,DISCHARGING
57706,3.308,112.4,25.411,3.29,26.111,0x04,0x0E,DISCHARGING
58791,3.313,112.4,25.411,3.29,26.111,0x04,0x0E,DISCHARGING
59877,3.313,112.4,25.411,3.29,26.111,0x04,0x0E,DISCHARGING
60963,3.313,116.4,25.411,3.284,26.111,0x04,0x0E,DISCHARGING
62049,3.313,108.4,25.411,3.29,26.903,0x04,0x0E,DISCHARGING
63143,3.304,115.2,25.411,3.29,26.903,0x04,0x0E,DISCHARGING
64229,3.304,102.0,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
65323,3.304,115.2,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
66409,3.294,115.6,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
67503,3.304,115.6,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
68597,3.304,112.8,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
69683,3.313,116.0,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
70769,3.289,116.8,25.411,3.29,26.903,0x04,0x0E,DISCHARGING
71863,3.289,116.8,25.411,3.284,26.903,0x04,0x0E,DISCHARGING
72949,3.289,116.8,25.411,3.277,26.903,0x04,0x0E,DISCHARGING
74035,3.294,116.8,25.411,3.277,26.903,0x04,0x0E,DISCHARGING
75129,3.294,113.2,25.411,3.271,26.111,0x04,0x0E,DISCHARGING
76223,3.289,114.4,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
77317,3.294,113.2,25.411,3.277,26.111,0x04,0x0E,DISCHARGING
78411,3.284,118.0,25.411,3.277,26.111,0x04,0x0E,DISCHARGING
79505,3.284,121.6,25.411,3.271,26.111,0x04,0x0E,DISCHARGING
80599,3.304,104.0,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
81685,3.294,116.0,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
82779,3.294,116.8,25.411,3.271,26.111,0x04,0x0E,DISCHARGING
83873,3.284,114.0,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
84967,3.294,116.8,25.411,3.271,26.111,0x04,0x0E,DISCHARGING
86061,3.284,113.6,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
87155,3.294,118.8,25.411,3.265,26.111,0x04,0x0E,DISCHARGING
88249,3.289,116.8,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
89335,3.284,118.4,25.411,3.265,26.903,0x04,0x0E,DISCHARGING
90429,3.284,114.0,25.411,3.265,26.903,0x04,0x0E,DISCHARGING
91515,3.284,114.4,25.411,3.271,26.903,0x04,0x0E,DISCHARGING
92609,3.284,115.6,25.411,3.265,26.903,0x04,0x0E,DISCHARGING
93695,3.294,114.4,25.514,3.265,26.903,0x04,0x0E,DISCHARGING
94786,3.284,113.2,25.411,3.265,26.903,0x04,0x0E,DISCHARGING
