time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.377,102.0,1.118,3.352,2.333,0x04,0x0E,DISCHARGING
1084,3.347,124.0,1.118,3.321,2.333,0x04,0x0E,DISCHARGING
2178,3.328,131.6,1.118,3.302,2.333,0x04,0x0E,DISCHARGING
3272,3.304,131.6,1.118,3.277,2.333,0x04,0x0E,DISCHARGING
4365,3.289,126.8,1.118,3.259,2.333,0x04,0x0E,DISCHARGING
5451,3.274,131.6,1.118,3.259,2.333,0x04,0x0E,DISCHARGING
6545,3.279,114.8,1.118,3.246,1.54,0x04,0x0E,DISCHARGING
7638,3.264,126.4,1.118,3.24,2.333,0x04,0x0E,DISCHARGING
8731,3.269,116.4,1.118,3.234,1.54,0x04,0x0E,DISCHARGING
9817,3.269,127.6,1.118,3.228,2.333,0x04,0x0E,DISCHARGING
10911,3.25,127.6,1.118,3.221,1.54,0x04,0x0E,DISCHARGING
12004,3.24,128.8,1.118,3.215,2.333,0x04,0x0E,DISCHARGING
13094,3.23,128.399,1.118,3.215,1.54,0x04,0x0E,DISCHARGING
14188,3.25,114.8,1.118,3.209,1.54,0x04,0x0E,DISCHARGING
15281,3.225,127.6,1.118,3.203,1.54,0x04,0x0E,DISCHARGING
16374,3.23,121.6,1.118,3.209,1.54,0x04,0x0E,DISCHARGING
17468,3.225,131.2,1.118,3.203,1.54,0x04,0x0E,DISCHARGING
18562,3.216,127.6,1.118,3.203,1.54,0x04,0x0E,DISCHARGING
19655,3.23,127.2,1.118,3.196,1.54,0x04,0x0E,DISCHARGING
20740,3.235,131.6,1.118,3.196,1.54,0x04,0x0E,DISCHARGING
21825,3.23,131.6,1.118,3.19,1.54,0x04,0x0E,DISCHARGING
22919,3.225,129.2,1.118,3.19,1.54,0x04,0x0E,DISCHARGING
24012,3.23,130.8,1.118,3.19,1.54,0x04,0x0E,DISCHARGING
25105,3.23,128.8,1.118,3.184,1.54,0x04,0x0E,DISCHARGING
26199,3.206,133.2,1.118,3.19,1.54,0x04,0x0E,DISCHARGING
27293,3.206,137.6,1.118,3.184,1.54,0x04,0x0E,DISCHARGING
28378,3.206,124.4,1.118,3.184,1.54,0x04,0x0E,DISCHARGING
29472,3.23,133.2,1.118,3.19,1.54,0x04,0x0E,DISCHARGING
30566,3.211,132.4,1.118,3.178,2.333,0x04,0x0E,DISCHARGING
31659,3.225,127.6,1.118,3.184,1.54,0x04,0x0E,DISCHARGING
32751,3.186,127.6,1.118,3.171,1.54,0x04,0x0E,DISCHARGING
33836,3.186,134.4,1.228,3.171,1.54,0x04,0x0E,DISCHARGING
34930,3.211,118.0,1.118,3.171,1.54,0x04,0x0E,DISCHARGING
36024,3.201,136.0,1.228,3.171,1.54,0x04,0x0E,DISCHARGING
37116,3.196,118.0,1.118,3.178,1.54,0x04,0x0E,DISCHARGING
38210,3.201,135.2,1.118,3.165,1.54,0x04,0x0E,DISCHARGING
39302,3.201,114.8,1.118,3.171,1.54,0x04,0x0E,DISCHARGING
40396,3.201,129.6,1.118,3.171,1.54,0x04,0x0E,DISCHARGING
41483,3.201,134.4,1.118,3.171,1.54,0x04,0x0E,DISCHARGING
42576,3.191,129.6,1.118,3.171,1.54,0x04,0x0E,DISCHARGING
43669,3.201,131.6,1.118,3.165,1.54,0x04,0x0E,DISCHARGING
44763,3.191,129.6,1.118,3.159,1.54,0x04,0x0E,DISCHARGING
45847,3.176,129.6,1.118,3.165,1.54,0x04,0x0E,DISCHARGING
46941,3.191,129.6,1.118,3.165,1.54,0x04,0x0E,DISCHARGING
48034,3.186,133.2,1.118,3.159,1.54,0x04,0x0E,DISCHARGING
49126,3.191,134.4,1.118,3.165,1.54,0x04,0x0E,DISCHARGING
50220,3.191,131.6,1.118,3.159,1.54,0x04,0x0E,DISCHARGING
51313,3.186,129.2,1.118,3.159,1.54,0x04,0x0E,DISCHARGING
