time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000027092,3.479,-17.325,26.031,4.804,33.244,0x0C,0x0E,CHARGING
000029094,3.563,-191.250,26.031,4.611,38.000,0x0F,0x0E,CHARGING
000031096,3.587,-191.475,25.927,4.617,38.000,0x0F,0x0E,CHARGING
000033098,3.597,-191.700,25.927,4.623,38.792,0x0F,0x0E,CHARGING
000035100,3.621,-191.925,26.031,4.617,39.585,0x0F,0x0E,CHARGING
000037102,3.626,-191.925,26.031,4.636,39.585,0x0F,0x0E,CHARGING
000039104,3.646,-192.600,26.031,4.623,38.792,0x0F,0x0E,CHARGING
000041106,3.660,-192.375,26.031,4.630,38.792,0x0F,0x0E,CHARGING
000043108,3.655,-161.775,26.031,4.642,38.792,0x0F,0x0E,CHARGING
000045110,3.660,-150.975,26.031,4.655,38.000,0x0F,0x0E,CHARGING
000047112,3.655,-142.875,26.031,4.673,38.000,0x0F,0x0E,CHARGING
000049114,3.660,-136.575,26.031,4.667,38.000,0x0F,0x0E,CHARGING
000051115,3.655,-114.975,26.031,4.679,38.000,0x0F,0x0E,CHARGING
000053117,3.660,-114.975,26.134,4.686,37.207,0x0F,0x0E,CHARGING
000055119,3.655,-114.975,26.134,4.679,37.207,0x0F,0x0E,CHARGING
000057120,3.660,-122.175,26.134,4.679,37.207,0x0F,0x0E,CHARGING
000059122,3.660,-114.975,26.238,4.679,37.207,0x0F,0x0E,CHARGING
000061123,3.660,-114.975,26.134,4.686,37.207,0x0F,0x0E,CHARGING
000063125,3.660,-116.775,26.134,4.692,37.207,0x0F,0x0E,CHARGING
000065127,3.660,-114.975,26.134,4.698,36.414,0x0F,0x0E,CHARGING
000067129,3.655,-113.175,26.134,4.692,36.414,0x0F,0x0E,CHARGING
000069131,3.655,-111.375,26.134,4.698,35.622,0x0F,0x0E,CHARGING
000071133,3.660,-107.775,26.134,4.698,36.414,0x0F,0x0E,CHARGING
000073135,3.655,-107.775,26.238,4.698,36.414,0x0F,0x0E,CHARGING
000075137,3.660,-111.375,26.134,4.698,37.207,0x0F,0x0E,CHARGING
000077138,3.655,-105.975,26.238,4.698,36.414,0x0F,0x0E,CHARGING
000079140,3.655,-107.775,26.238,4.698,35.622,0x0F,0x0E,CHARGING
000081142,3.655,-96.525,26.134,4.698,35.622,0x0F,0x0E,CHARGING
000083144,3.655,-100.575,26.134,4.698,35.622,0x0F,0x0E,CHARGING
000085146,3.660,-103.275,26.238,4.711,36.414,0x0F,0x0E,CHARGING
000087148,3.655,-100.350,26.238,4.704,35.622,0x0F,0x0E,CHARGING
000089149,3.655,-97.875,26.134,4.711,35.622,0x0F,0x0E,CHARGING
000091150,3.660,-103.275,26.134,4.711,35.622,0x0F,0x0E,CHARGING
000093152,3.665,-102.825,26.238,4.711,35.622,0x0F,0x0E,CHARGING
000095153,3.655,-93.375,26.134,4.711,35.622,0x0F,0x0E,CHARGING
000097155,3.660,-93.375,26.238,4.711,35.622,0x0F,0x0E,CHARGING
000099156,3.660,-93.375,26.238,4.717,35.622,0x0F,0x0E,CHARGING
000101158,3.660,-81.675,26.238,4.711,34.829,0x0F,0x0E,CHARGING
000103160,3.660,-89.550,26.238,4.723,35.622,0x0F,0x0E,CHARGING
000105161,3.660,-87.975,26.238,4.711,35.622,0x0F,0x0E,CHARGING
000107163,3.660,-89.325,26.238,4.704,35.622,0x0F,0x0E,CHARGING
000109165,3.655,-88.425,26.238,4.723,34.829,0x0F,0x0E,CHARGING
000111167,3.660,-88.425,26.238,4.717,35.622,0x0F,0x0E,CHARGING
000113168,3.660,-89.325,26.238,4.711,34.829,0x0F,0x0E,CHARGING
000115170,3.660,-78.975,26.238,4.723,34.037,0x0F,0x0E,CHARGING
000117172,3.660,-78.975,26.238,4.723,34.829,0x0F,0x0E,CHARGING
000119173,3.660,-82.350,26.238,4.723,34.829,0x0F,0x0E,CHARGING
000121175,3.660,-78.075,26.653,4.736,34.829,0x0F,0x0E,CHARGING
000123177,3.660,-78.975,26.134,4.723,34.829,0x0F,0x0E,CHARGING
000125179,3.660,-71.775,26.134,4.723,34.829,0x0F,0x0E,CHARGING
000127181,3.660,-75.375,26.238,4.729,31.659,0x0F,0x0E,CHARGING
000129184,3.655,-46.507,26.238,4.723,34.037,0x0F,0x0E,CHARGING
000131186,3.660,-46.507,26.238,4.729,34.829,0x0F,0x0E,CHARGING
000133188,3.660,-43.460,26.238,4.723,34.829,0x0F,0x0E,CHARGING
000135189,3.660,-33.787,26.238,4.729,30.866,0x0F,0x0E,CHARGING
000137191,3.655,-41.207,26.238,4.729,34.037,0x0F,0x0E,CHARGING
000139193,3.660,-41.737,26.238,4.729,33.244,0x0F,0x0E,CHARGING
000141195,3.655,-44.255,26.134,4.729,30.866,0x0F,0x0E,CHARGING
000143197,3.660,-41.207,26.238,4.736,34.037,0x0F,0x0E,CHARGING
000145198,3.660,-40.147,26.134,4.742,30.866,0x0F,0x0E,CHARGING
000147200,3.660,-41.075,26.134,4.736,36.414,0x0F,0x0E,CHARGING
000149202,3.660,-43.195,26.134,4.736,34.037,0x0F,0x0E,CHARGING
000151203,3.660,-36.967,26.238,4.736,30.866,0x0F,0x0E,CHARGING
000153204,3.655,-36.967,26.134,4.742,34.037,0x0F,0x0E,CHARGING
000155206,3.660,-41.207,26.238,4.736,32.451,0x0F,0x0E,CHARGING
000157207,3.660,-40.147,26.134,4.736,33.244,0x0F,0x0E,CHARGING
000159209,3.665,-27.427,26.134,4.742,33.244,0x0F,0x0E,CHARGING
000161210,3.660,-35.907,26.134,4.742,30.866,0x0F,0x0E,CHARGING
000163212,3.660,-33.787,26.134,4.736,33.244,0x0F,0x0E,CHARGING
000165214,3.660,-36.967,26.134,4.742,34.037,0x0F,0x0E,CHARGING
000167215,3.660,-35.642,26.549,4.742,33.244,0x0F,0x0E,CHARGING
000169217,3.660,-36.305,26.134,4.748,33.244,0x0F,0x0E,CHARGING
000171218,3.660,-33.787,26.134,4.754,34.037,0x0F,0x0E,CHARGING
000173220,3.660,-33.787,26.134,4.748,34.037,0x0F,0x0E,CHARGING
000175222,3.655,-32.727,26.134,4.748,34.829,0x0F,0x0E,CHARGING
000177224,3.660,-31.667,26.134,4.760,30.866,0x0F,0x0E,CHARGING
