time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.875,24.384,4.773,30.074,0x0C,0x0E,CHARGING
2001,2.991,-185.175,24.384,4.598,37.207,0x0F,0x0E,CHARGING
4002,2.996,-184.95,24.384,4.598,38.0,0x0F,0x0E,CHARGING
6004,3.0,-185.175,24.487,4.605,39.585,0x0F,0x0E,CHARGING
8005,3.01,-185.4,24.487,4.598,39.585,0x0F,0x0E,CHARGING
10006,3.015,-185.4,24.487,4.605,40.377,0x0F,0x0E,CHARGING
12007,3.015,-185.625,24.487,4.605,41.963,0x0F,0x0E,CHARGING
14008,3.02,-185.625,24.589,4.605,44.34,0x0F,0x0E,CHARGING
16009,3.025,-185.625,24.589,4.605,41.963,0x0F,0x0E,CHARGING
18010,3.03,-185.625,24.589,4.605,41.963,0x0F,0x0E,CHARGING
20011,3.035,-185.85,24.589,4.605,41.963,0x0F,0x0E,CHARGING
22012,3.04,-185.625,24.589,4.605,42.755,0x0F,0x0E,CHARGING
24013,3.044,-185.4,24.692,4.605,42.755,0x0F,0x0E,CHARGING
26014,3.044,-185.625,24.692,4.605,42.755,0x0F,0x0E,CHARGING
28015,3.049,-185.85,24.692,4.611,40.377,0x0F,0x0E,CHARGING
30016,3.049,-185.625,24.692,4.605,43.548,0x0F,0x0E,CHARGING
32016,3.059,-186.075,24.692,4.617,40.377,0x0F,0x0E,CHARGING
34017,3.059,-185.85,24.794,4.605,43.548,0x0F,0x0E,CHARGING
36018,3.059,-185.85,24.794,4.605,44.34,0x0F,0x0E,CHARGING
38019,3.064,-185.85,24.794,4.611,44.34,0x0F,0x0E,CHARGING
40020,3.069,-186.075,24.794,4.605,44.34,0x0F,0x0E,CHARGING
42021,3.069,-186.075,24.794,4.605,45.133,0x0F,0x0E,CHARGING
44022,3.074,-187.2,24.794,4.611,44.34,0x0F,0x0E,CHARGING
46023,3.074,-185.85,24.794,4.605,44.34,0x0F,0x0E,CHARGING
48024,3.079,-186.075,24.794,4.605,44.34,0x0F,0x0E,CHARGING
50026,3.084,-186.3,24.897,4.605,45.133,0x0F,0x0E,CHARGING
52027,3.084,-186.3,24.897,4.611,44.34,0x0F,0x0E,CHARGING
54028,3.088,-186.525,24.897,4.611,44.34,0x0F,0x0E,CHARGING
56030,3.093,-186.075,24.897,4.605,44.34,0x0F,0x0E,CHARGING
