time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.46,102.0,25.824,3.427,28.488,0x04,0x0E,DISCHARGING
2001,3.426,115.2,25.824,3.408,28.488,0x04,0x0E,DISCHARGING
4002,3.431,108.4,25.824,3.39,27.696,0x04,0x0E,DISCHARGING
6003,3.421,105.2,25.824,3.383,27.696,0x04,0x0E,DISCHARGING
8004,3.421,112.0,25.824,3.377,27.696,0x04,0x0E,DISCHARGING
10005,3.401,115.2,25.824,3.377,26.903,0x04,0x0E,DISCHARGING
12006,3.387,115.2,25.824,3.371,27.696,0x04,0x0E,DISCHARGING
14007,3.391,112.4,25.824,3.365,27.696,0x04,0x0E,DISCHARGING
16009,3.382,109.6,25.824,3.358,27.696,0x04,0x0E,DISCHARGING
18010,3.391,115.2,25.824,3.358,26.903,0x04,0x0E,DISCHARGING
20011,3.391,112.8,25.824,3.352,27.696,0x04,0x0E,DISCHARGING
22012,3.391,112.4,25.824,3.352,27.696,0x04,0x0E,DISCHARGING
24013,3.367,111.2,25.824,3.346,26.903,0x04,0x0E,DISCHARGING
26014,3.362,116.8,25.824,3.346,27.696,0x04,0x0E,DISCHARGING
28016,3.362,116.8,25.824,3.34,27.696,0x04,0x0E,DISCHARGING
30017,3.362,113.2,25.824,3.34,27.696,0x04,0x0E,DISCHARGING
32018,3.372,113.6,25.824,3.333,26.903,0x04,0x0E,DISCHARGING
34019,3.357,115.2,25.824,3.333,26.903,0x04,0x0E,DISCHARGING
36021,3.352,113.2,25.824,3.327,27.696,0x04,0x0E,DISCHARGING
38022,3.352,108.4,25.824,3.327,27.696,0x04,0x0E,DISCHARGING
40023,3.352,108.4,25.824,3.327,27.696,0x04,0x0E,DISCHARGING
42024,3.352,112.4,25.824,3.321,27.696,0x04,0x0E,DISCHARGING
44025,3.352,116.8,25.824,3.321,26.903,0x04,0x0E,DISCHARGING
46026,3.343,110.0,25.824,3.315,27.696,0x04,0x0E,DISCHARGING
48028,3.352,113.2,25.824,3.315,27.696,0x04,0x0E,DISCHARGING
50030,3.352,114.4,25.824,3.315,27.696,0x04,0x0E,DISCHARGING
52031,3.343,115.2,25.824,3.315,27.696,0x04,0x0E,DISCHARGING
54032,3.343,112.4,25.824,3.309,27.696,0x04,0x0E,DISCHARGING
56033,3.323,112.4,25.824,3.302,27.696,0x04,0x0E,DISCHARGING
58034,3.333,111.6,25.824,3.309,26.903,0x04,0x0E,DISCHARGING
60035,3.323,114.4,25.824,3.302,27.696,0x04,0x0E,DISCHARGING
62036,3.328,108.4,25.824,3.302,27.696,0x04,0x0E,DISCHARGING
64037,3.333,116.8,25.824,3.296,26.903,0x04,0x0E,DISCHARGING
66038,3.333,113.2,25.824,3.296,26.903,0x04,0x0E,DISCHARGING
