time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.465,204.8,36.359,3.421,39.585,0x04,0x0E,DISCHARGING
2001,3.431,196.4,36.359,3.383,39.585,0x04,0x0E,DISCHARGING
4002,3.401,198.4,36.474,3.365,39.585,0x04,0x0E,DISCHARGING
6004,3.382,200.8,36.359,3.346,39.585,0x04,0x0E,DISCHARGING
8006,3.372,199.6,36.474,3.333,39.585,0x04,0x0E,DISCHARGING
10008,3.362,199.6,36.474,3.327,39.585,0x04,0x0E,DISCHARGING
12010,3.362,204.4,36.474,3.321,39.585,0x04,0x0E,DISCHARGING
14012,3.347,203.2,36.474,3.309,39.585,0x04,0x0E,DISCHARGING
16014,3.343,208.4,36.474,3.309,39.585,0x04,0x0E,DISCHARGING
18016,3.347,199.6,36.59,3.302,39.585,0x04,0x0E,DISCHARGING
20018,3.338,202.8,36.59,3.296,39.585,0x04,0x0E,DISCHARGING
22019,3.328,203.6,36.59,3.29,38.792,0x04,0x0E,DISCHARGING
24021,3.323,191.2,36.59,3.284,38.792,0x04,0x0E,DISCHARGING
26023,3.323,208.4,36.59,3.284,39.585,0x04,0x0E,DISCHARGING
28025,3.323,206.0,36.59,3.277,38.792,0x04,0x0E,DISCHARGING
30027,3.308,211.2,36.59,3.271,39.585,0x04,0x0E,DISCHARGING
32029,3.304,206.0,36.706,3.265,38.792,0x04,0x0E,DISCHARGING
34031,3.304,190.4,36.706,3.265,39.585,0x04,0x0E,DISCHARGING
36033,3.304,204.0,36.59,3.259,38.792,0x04,0x0E,DISCHARGING
38035,3.294,211.2,36.706,3.259,38.792,0x04,0x0E,DISCHARGING
40036,3.294,205.2,36.706,3.252,38.792,0x04,0x0E,DISCHARGING
42038,3.284,209.6,36.706,3.252,39.585,0x04,0x0E,DISCHARGING
44040,3.284,193.2,36.706,3.246,38.792,0x04,0x0E,DISCHARGING
46042,3.284,208.4,36.706,3.246,39.585,0x04,0x0E,DISCHARGING
48044,3.274,208.4,36.706,3.24,39.585,0x04,0x0E,DISCHARGING
50046,3.274,211.2,36.706,3.234,38.792,0x04,0x0E,DISCHARGING
52048,3.274,204.4,36.706,3.234,39.585,0x04,0x0E,DISCHARGING
54050,3.264,198.4,36.822,3.234,39.585,0x04,0x0E,DISCHARGING
56052,3.264,203.6,36.822,3.234,39.585,0x04,0x0E,DISCHARGING
58054,3.264,203.6,36.822,3.228,39.585,0x04,0x0E,DISCHARGING
60056,3.284,207.2,36.822,3.228,38.792,0x04,0x0E,DISCHARGING
62058,3.26,209.6,36.822,3.221,39.585,0x04,0x0E,DISCHARGING
64060,3.264,197.6,36.822,3.221,38.792,0x04,0x0E,DISCHARGING
66062,3.255,212.8,36.822,3.221,38.792,0x04,0x0E,DISCHARGING
68064,3.255,211.6,36.822,3.215,39.585,0x04,0x0E,DISCHARGING
70066,3.255,209.2,36.822,3.215,39.585,0x04,0x0E,DISCHARGING
72068,3.255,204.4,36.822,3.209,39.585,0x04,0x0E,DISCHARGING
74070,3.255,198.4,36.939,3.209,38.792,0x04,0x0E,DISCHARGING
76071,3.245,211.2,36.939,3.215,38.792,0x04,0x0E,DISCHARGING
78073,3.245,209.6,36.939,3.209,39.585,0x04,0x0E,DISCHARGING
80075,3.26,211.2,36.939,3.209,39.585,0x04,0x0E,DISCHARGING
82077,3.245,209.2,36.939,3.209,38.792,0x04,0x0E,DISCHARGING
84079,3.245,211.2,36.939,3.215,38.792,0x04,0x0E,DISCHARGING
86081,3.245,211.2,36.939,3.209,39.585,0x04,0x0E,DISCHARGING
88083,3.245,214.4,36.939,3.209,39.585,0x04,0x0E,DISCHARGING
90084,3.25,210.8,36.939,3.203,39.585,0x04,0x0E,DISCHARGING
92441,3.289,96.8,36.939,3.271,38.792,0x04,0x0E,DISCHARGING
94442,3.289,94.0,36.939,3.265,38.792,0x04,0x0E,DISCHARGING
96443,3.289,98.4,37.055,3.271,38.792,0x04,0x0E,DISCHARGING
98443,3.284,89.2,37.055,3.271,38.792,0x04,0x0E,DISCHARGING
100445,3.284,102.4,36.939,3.271,38.792,0x04,0x0E,DISCHARGING
102446,3.284,92.0,37.055,3.271,38.792,0x04,0x0E,DISCHARGING
104448,3.294,94.8,36.939,3.271,38.792,0x04,0x0E,DISCHARGING
106449,3.284,81.6,36.939,3.277,38.792,0x04,0x0E,DISCHARGING
108449,3.294,93.2,36.939,3.265,38.792,0x04,0x0E,DISCHARGING
110450,3.284,94.8,36.939,3.271,38.792,0x04,0x0E,DISCHARGING
112451,3.284,96.8,36.939,3.271,38.792,0x04,0x0E,DISCHARGING
