time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000099808,3.049,-17.100,25.720,4.785,46.718,0x0C,0x0E,CHARGING
000101809,3.118,-186.525,25.720,4.586,46.718,0x0F,0x0E,CHARGING
000103810,3.123,-186.525,25.720,4.586,50.681,0x0F,0x0E,CHARGING
000105811,3.128,-186.750,25.824,4.586,50.681,0x0F,0x0E,CHARGING
000107812,3.128,-186.975,25.720,4.598,53.059,0x0F,0x0E,CHARGING
000109814,3.132,-187.200,25.824,4.586,50.681,0x0F,0x0E,CHARGING
000111816,3.132,-186.750,25.927,4.580,50.681,0x0F,0x0E,CHARGING
000113817,3.132,-187.200,25.824,4.586,51.474,0x0F,0x0E,CHARGING
000115819,3.137,-186.750,25.824,4.586,51.474,0x0F,0x0E,CHARGING
000117821,3.137,-186.750,25.927,4.586,50.681,0x0F,0x0E,CHARGING
000119823,3.142,-186.975,25.927,4.580,51.474,0x0F,0x0E,CHARGING
000121824,3.137,-186.750,26.031,4.586,51.474,0x0F,0x0E,CHARGING
000123826,3.147,-187.650,25.927,4.598,52.266,0x0F,0x0E,CHARGING
000125828,3.147,-186.525,26.134,4.586,51.474,0x0F,0x0E,CHARGING
000127830,3.147,-188.100,26.134,4.586,51.474,0x0F,0x0E,CHARGING
000129832,3.147,-186.750,26.031,4.586,52.266,0x0F,0x0E,CHARGING
000131834,3.152,-187.425,26.134,4.586,51.474,0x0F,0x0E,CHARGING
000133836,3.152,-186.975,26.134,4.586,52.266,0x0F,0x0E,CHARGING
000135838,3.157,-186.975,26.134,4.580,53.059,0x0F,0x0E,CHARGING
000137839,3.157,-186.975,26.134,4.586,52.266,0x0F,0x0E,CHARGING
000139841,3.157,-186.975,26.238,4.580,52.266,0x0F,0x0E,CHARGING
000141843,3.162,-187.200,26.134,4.586,52.266,0x0F,0x0E,CHARGING
000143845,3.162,-187.425,26.134,4.580,53.059,0x0F,0x0E,CHARGING
000145846,3.167,-187.200,26.238,4.598,52.266,0x0F,0x0E,CHARGING
000147847,3.167,-186.975,26.238,4.586,53.059,0x0F,0x0E,CHARGING
000149848,3.167,-187.425,26.238,4.586,53.059,0x0F,0x0E,CHARGING
000151849,3.167,-187.200,26.341,4.592,53.059,0x0F,0x0E,CHARGING
000153850,3.172,-187.200,26.341,4.598,53.059,0x0F,0x0E,CHARGING
000155851,3.176,-186.975,26.341,4.586,53.059,0x0F,0x0E,CHARGING
000157853,3.172,-187.425,26.341,4.586,53.059,0x0F,0x0E,CHARGING
000159855,3.176,-187.425,26.445,4.580,53.059,0x0F,0x0E,CHARGING
000161856,3.181,-187.200,26.341,4.586,53.059,0x0F,0x0E,CHARGING
000163858,3.181,-187.200,26.445,4.592,53.059,0x0F,0x0E,CHARGING
000165859,3.181,-186.975,26.445,4.586,53.852,0x0F,0x0E,CHARGING
000167861,3.181,-187.200,26.445,4.592,53.852,0x0F,0x0E,CHARGING
000169863,3.186,-186.975,26.341,4.592,53.852,0x0F,0x0E,CHARGING
000171864,3.186,-187.425,26.445,4.586,54.644,0x0F,0x0E,CHARGING
000173866,3.191,-186.975,26.445,4.580,53.852,0x0F,0x0E,CHARGING
000175867,3.191,-187.425,26.445,4.592,53.852,0x0F,0x0E,CHARGING
000177869,3.191,-187.650,26.653,4.586,53.852,0x0F,0x0E,CHARGING
000179870,3.191,-187.650,26.549,4.598,54.644,0x0F,0x0E,CHARGING
000181871,3.191,-187.650,26.757,4.586,54.644,0x0F,0x0E,CHARGING
000183873,3.196,-187.650,26.549,4.592,54.644,0x0F,0x0E,CHARGING
000185874,3.196,-187.425,26.549,4.586,53.059,0x0F,0x0E,CHARGING
000187876,3.196,-187.425,26.757,4.586,57.022,0x0F,0x0E,CHARGING
000189878,3.201,-186.975,26.341,4.586,53.852,0x0F,0x0E,CHARGING
000191879,3.201,-187.425,26.757,4.586,54.644,0x0F,0x0E,CHARGING
000193881,3.201,-187.425,26.757,4.586,54.644,0x0F,0x0E,CHARGING
000195883,3.201,-187.650,26.757,4.586,55.437,0x0F,0x0E,CHARGING
000197885,3.206,-187.650,26.757,4.592,54.644,0x0F,0x0E,CHARGING
000199887,3.206,-187.425,26.757,4.586,54.644,0x0F,0x0E,CHARGING
000201889,3.211,-187.650,26.861,4.592,54.644,0x0F,0x0E,CHARGING
000203890,3.211,-187.650,26.757,4.592,54.644,0x0F,0x0E,CHARGING
000205892,3.211,-187.650,26.861,4.580,55.437,0x0F,0x0E,CHARGING
000207894,3.211,-187.875,26.861,4.598,54.644,0x0F,0x0E,CHARGING
000209895,3.216,-187.650,26.861,4.586,55.437,0x0F,0x0E,CHARGING
000211897,3.211,-187.875,26.965,4.586,54.644,0x0F,0x0E,CHARGING
000213898,3.220,-187.875,26.861,4.586,55.437,0x0F,0x0E,CHARGING
000215900,3.216,-187.650,26.965,4.592,54.644,0x0F,0x0E,CHARGING
000217901,3.220,-187.650,26.965,4.586,54.644,0x0F,0x0E,CHARGING
000219903,3.220,-187.650,26.965,4.586,54.644,0x0F,0x0E,CHARGING
000221905,3.225,-187.875,26.965,4.586,55.437,0x0F,0x0E,CHARGING
000223907,3.220,-187.650,26.965,4.580,55.437,0x0F,0x0E,CHARGING
000225909,3.220,-188.100,27.070,4.592,55.437,0x0F,0x0E,CHARGING
000227911,3.230,-188.100,27.070,4.586,54.644,0x0F,0x0E,CHARGING
000229913,3.230,-187.875,27.070,4.586,55.437,0x0F,0x0E,CHARGING
000231914,3.230,-187.875,27.174,4.586,55.437,0x0F,0x0E,CHARGING
000233916,3.230,-187.875,27.070,4.586,55.437,0x0F,0x0E,CHARGING
000235918,3.235,-187.875,27.174,4.586,55.437,0x0F,0x0E,CHARGING
000237920,3.230,-188.100,27.174,4.586,55.437,0x0F,0x0E,CHARGING
000239922,3.235,-187.875,27.174,4.586,58.607,0x0F,0x0E,CHARGING
000241924,3.240,-188.100,27.174,4.586,55.437,0x0F,0x0E,CHARGING
000243926,3.235,-187.875,27.174,4.586,55.437,0x0F,0x0E,CHARGING
000245927,3.235,-187.875,27.174,4.598,55.437,0x0F,0x0E,CHARGING
000247928,3.240,-187.875,27.174,4.586,58.607,0x0F,0x0E,CHARGING
000249929,3.240,-188.100,27.174,4.580,55.437,0x0F,0x0E,CHARGING
000251931,3.240,-189.000,27.278,4.586,53.059,0x0F,0x0E,CHARGING
000253933,3.245,-188.100,27.278,4.598,55.437,0x0F,0x0E,CHARGING
000255934,3.245,-188.100,27.278,4.586,55.437,0x0F,0x0E,CHARGING
000257936,3.245,-188.100,27.383,4.586,56.229,0x0F,0x0E,CHARGING
000259937,3.245,-188.100,27.278,4.586,53.059,0x0F,0x0E,CHARGING
000261939,3.250,-187.875,27.278,4.586,55.437,0x0F,0x0E,CHARGING
000263941,3.245,-188.100,27.383,4.580,55.437,0x0F,0x0E,CHARGING
000265943,3.250,-188.100,27.383,4.586,55.437,0x0F,0x0E,CHARGING
000267945,3.255,-188.100,27.488,4.580,55.437,0x0F,0x0E,CHARGING
000269947,3.250,-187.875,27.383,4.586,53.059,0x0F,0x0E,CHARGING
000271949,3.250,-188.100,27.278,4.586,53.059,0x0F,0x0E,CHARGING
000273950,3.255,-188.100,27.383,4.580,55.437,0x0F,0x0E,CHARGING
000275951,3.255,-188.100,27.488,4.586,55.437,0x0F,0x0E,CHARGING
000277953,3.260,-188.325,27.488,4.586,53.059,0x0F,0x0E,CHARGING
000279955,3.260,-188.100,27.907,4.586,53.059,0x0F,0x0E,CHARGING
