time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000004282,2.609,-16.425,25.411,4.773,30.866,0x0C,0x0E,CHARGING
000006284,2.717,-183.150,25.411,4.592,38.792,0x0F,0x0E,CHARGING
000008285,2.737,-183.150,25.411,4.580,39.585,0x0F,0x0E,CHARGING
000010287,2.751,-183.150,25.411,4.580,40.377,0x0F,0x0E,CHARGING
000012289,2.766,-183.150,25.411,4.586,41.170,0x0F,0x0E,CHARGING
000014290,2.776,-183.600,25.411,4.586,41.170,0x0F,0x0E,CHARGING
000016291,2.790,-183.600,25.308,4.586,41.170,0x0F,0x0E,CHARGING
000018292,2.800,-183.825,25.308,4.586,42.755,0x0F,0x0E,CHARGING
000020293,2.810,-183.600,25.308,4.586,41.963,0x0F,0x0E,CHARGING
000022294,2.820,-184.050,25.411,4.586,41.963,0x0F,0x0E,CHARGING
000024295,2.829,-183.825,25.308,4.586,41.963,0x0F,0x0E,CHARGING
000026296,2.839,-184.050,25.514,4.592,41.963,0x0F,0x0E,CHARGING
000028298,2.844,-184.050,25.514,4.586,42.755,0x0F,0x0E,CHARGING
000030300,2.854,-184.050,25.514,4.592,42.755,0x0F,0x0E,CHARGING
000032302,2.864,-184.275,25.617,4.592,43.548,0x0F,0x0E,CHARGING
000034303,2.869,-184.275,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000036304,2.878,-184.275,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000038306,2.883,-184.500,25.617,4.586,43.548,0x0F,0x0E,CHARGING
000040307,2.893,-184.275,25.617,4.598,42.755,0x0F,0x0E,CHARGING
000042308,2.893,-184.500,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000044310,2.898,-184.500,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000046311,2.908,-184.725,25.617,4.586,43.548,0x0F,0x0E,CHARGING
000048313,2.913,-184.500,25.617,4.586,43.548,0x0F,0x0E,CHARGING
000050314,2.922,-184.725,25.617,4.586,45.926,0x0F,0x0E,CHARGING
000052316,2.922,-184.950,25.720,4.586,43.548,0x0F,0x0E,CHARGING
000054317,2.927,-184.725,25.617,4.586,43.548,0x0F,0x0E,CHARGING
000056318,2.932,-184.725,25.617,4.580,45.926,0x0F,0x0E,CHARGING
000058319,2.932,-184.950,25.720,4.586,43.548,0x0F,0x0E,CHARGING
000060320,2.937,-184.725,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000062322,2.942,-184.950,25.617,4.580,43.548,0x0F,0x0E,CHARGING
000064323,2.952,-184.950,25.720,4.592,42.755,0x0F,0x0E,CHARGING
000066324,2.952,-185.175,25.720,4.592,42.755,0x0F,0x0E,CHARGING
000068325,2.961,-185.175,25.720,4.592,42.755,0x0F,0x0E,CHARGING
000070327,2.961,-184.950,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000072328,2.966,-185.175,25.720,4.586,43.548,0x0F,0x0E,CHARGING
000074330,2.971,-184.950,25.824,4.586,45.926,0x0F,0x0E,CHARGING
000076332,2.971,-185.175,25.617,4.586,42.755,0x0F,0x0E,CHARGING
000078334,2.976,-185.175,25.720,4.586,43.548,0x0F,0x0E,CHARGING
000080336,2.981,-184.950,25.617,4.592,42.755,0x0F,0x0E,CHARGING
000082338,2.986,-185.400,25.617,4.580,42.755,0x0F,0x0E,CHARGING
000084339,2.991,-185.175,25.720,4.586,41.963,0x0F,0x0E,CHARGING
000086340,2.991,-185.625,25.720,4.586,42.755,0x0F,0x0E,CHARGING
