time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.049,-17.1,25.72,4.785,46.718,0x0C,0x0E,CHARGING
2001,3.118,-186.525,25.72,4.586,46.718,0x0F,0x0E,CHARGING
4002,3.123,-186.525,25.72,4.586,50.681,0x0F,0x0E,CHARGING
6003,3.128,-186.75,25.824,4.586,50.681,0x0F,0x0E,CHARGING
8004,3.128,-186.975,25.72,4.598,53.059,0x0F,0x0E,CHARGING
10006,3.132,-187.2,25.824,4.586,50.681,0x0F,0x0E,CHARGING
12008,3.132,-186.75,25.927,4.58,50.681,0x0F,0x0E,CHARGING
14009,3.132,-187.2,25.824,4.586,51.474,0x0F,0x0E,CHARGING
16011,3.137,-186.75,25.824,4.586,51.474,0x0F,0x0E,CHARGING
18013,3.137,-186.75,25.927,4.586,50.681,0x0F,0x0E,CHARGING
20015,3.142,-186.975,25.927,4.58,51.474,0x0F,0x0E,CHARGING
22016,3.137,-186.75,26.031,4.586,51.474,0x0F,0x0E,CHARGING
24018,3.147,-187.65,25.927,4.598,52.266,0x0F,0x0E,CHARGING
26020,3.147,-186.525,26.134,4.586,51.474,0x0F,0x0E,CHARGING
28022,3.147,-188.1,26.134,4.586,51.474,0x0F,0x0E,CHARGING
30024,3.147,-186.75,26.031,4.586,52.266,0x0F,0x0E,CHARGING
32026,3.152,-187.425,26.134,4.586,51.474,0x0F,0x0E,CHARGING
34028,3.152,-186.975,26.134,4.586,52.266,0x0F,0x0E,CHARGING
36030,3.157,-186.975,26.134,4.58,53.059,0x0F,0x0E,CHARGING
38031,3.157,-186.975,26.134,4.586,52.266,0x0F,0x0E,CHARGING
40033,3.157,-186.975,26.238,4.58,52.266,0x0F,0x0E,CHARGING
42035,3.162,-187.2,26.134,4.586,52.266,0x0F,0x0E,CHARGING
44037,3.162,-187.425,26.134,4.58,53.059,0x0F,0x0E,CHARGING
46038,3.167,-187.2,26.238,4.598,52.266,0x0F,0x0E,CHARGING
48039,3.167,-186.975,26.238,4.586,53.059,0x0F,0x0E,CHARGING
50040,3.167,-187.425,26.238,4.586,53.059,0x0F,0x0E,CHARGING
52041,3.167,-187.2,26.341,4.592,53.059,0x0F,0x0E,CHARGING
54042,3.172,-187.2,26.341,4.598,53.059,0x0F,0x0E,CHARGING
56043,3.176,-186.975,26.341,4.586,53.059,0x0F,0x0E,CHARGING
58045,3.172,-187.425,26.341,4.586,53.059,0x0F,0x0E,CHARGING
60047,3.176,-187.425,26.445,4.58,53.059,0x0F,0x0E,CHARGING
62048,3.181,-187.2,26.341,4.586,53.059,0x0F,0x0E,CHARGING
64050,3.181,-187.2,26.445,4.592,53.059,0x0F,0x0E,CHARGING
66051,3.181,-186.975,26.445,4.586,53.852,0x0F,0x0E,CHARGING
68053,3.181,-187.2,26.445,4.592,53.852,0x0F,0x0E,CHARGING
70055,3.186,-186.975,26.341,4.592,53.852,0x0F,0x0E,CHARGING
72056,3.186,-187.425,26.445,4.586,54.644,0x0F,0x0E,CHARGING
74058,3.191,-186.975,26.445,4.58,53.852,0x0F,0x0E,CHARGING
76059,3.191,-187.425,26.445,4.592,53.852,0x0F,0x0E,CHARGING
78061,3.191,-187.65,26.653,4.586,53.852,0x0F,0x0E,CHARGING
80062,3.191,-187.65,26.549,4.598,54.644,0x0F,0x0E,CHARGING
82063,3.191,-187.65,26.757,4.586,54.644,0x0F,0x0E,CHARGING
84065,3.196,-187.65,26.549,4.592,54.644,0x0F,0x0E,CHARGING
86066,3.196,-187.425,26.549,4.586,53.059,0x0F,0x0E,CHARGING
88068,3.196,-187.425,26.757,4.586,57.022,0x0F,0x0E,CHARGING
90070,3.201,-186.975,26.341,4.586,53.852,0x0F,0x0E,CHARGING
