time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.411,107.2,35.783,3.383,36.414,0x04,0x0E,DISCHARGING
2001,3.391,107.6,35.783,3.365,36.414,0x04,0x0E,DISCHARGING
4003,3.382,102.4,35.783,3.365,36.414,0x04,0x0E,DISCHARGING
6004,3.372,107.2,35.783,3.352,36.414,0x04,0x0E,DISCHARGING
8005,3.362,106.0,35.898,3.346,36.414,0x04,0x0E,DISCHARGING
10007,3.362,109.6,35.783,3.34,36.414,0x04,0x0E,DISCHARGING
12008,3.362,95.2,35.783,3.333,36.414,0x04,0x0E,DISCHARGING
14010,3.352,109.6,35.783,3.327,36.414,0x04,0x0E,DISCHARGING
16012,3.352,108.8,35.783,3.327,36.414,0x04,0x0E,DISCHARGING
18013,3.343,108.0,35.783,3.321,36.414,0x04,0x0E,DISCHARGING
20014,3.333,109.6,35.783,3.321,36.414,0x04,0x0E,DISCHARGING
22015,3.328,109.6,35.783,3.315,36.414,0x04,0x0E,DISCHARGING
24017,3.323,107.6,35.783,3.309,36.414,0x04,0x0E,DISCHARGING
26019,3.343,115.2,35.898,3.309,36.414,0x04,0x0E,DISCHARGING
28021,3.333,111.2,35.783,3.309,36.414,0x04,0x0E,DISCHARGING
30023,3.323,98.4,35.898,3.296,36.414,0x04,0x0E,DISCHARGING
32024,3.333,111.2,35.898,3.296,36.414,0x04,0x0E,DISCHARGING
34026,3.323,107.6,35.783,3.296,36.414,0x04,0x0E,DISCHARGING
36027,3.323,102.0,35.898,3.296,36.414,0x04,0x0E,DISCHARGING
38029,3.313,106.8,35.898,3.29,35.622,0x04,0x0E,DISCHARGING
40031,3.313,108.4,35.898,3.296,35.622,0x04,0x0E,DISCHARGING
42032,3.313,107.6,35.898,3.29,36.414,0x04,0x0E,DISCHARGING
44034,3.313,107.6,35.783,3.284,36.414,0x04,0x0E,DISCHARGING
46035,3.294,112.0,35.783,3.284,35.622,0x04,0x0E,DISCHARGING
48037,3.313,95.6,35.783,3.284,36.414,0x04,0x0E,DISCHARGING
50039,3.313,107.6,35.783,3.277,35.622,0x04,0x0E,DISCHARGING
52040,3.313,112.0,35.783,3.277,35.622,0x04,0x0E,DISCHARGING
54041,3.304,108.4,35.783,3.277,36.414,0x04,0x0E,DISCHARGING
56043,3.313,115.2,35.783,3.277,35.622,0x04,0x0E,DISCHARGING
58044,3.294,111.2,35.783,3.271,35.622,0x04,0x0E,DISCHARGING
60046,3.294,109.6,35.783,3.271,36.414,0x04,0x0E,DISCHARGING
62047,3.294,109.6,35.898,3.265,36.414,0x04,0x0E,DISCHARGING
64048,3.294,112.8,35.783,3.265,35.622,0x04,0x0E,DISCHARGING
66049,3.294,115.2,35.783,3.259,36.414,0x04,0x0E,DISCHARGING
68051,3.294,108.4,35.783,3.265,35.622,0x04,0x0E,DISCHARGING
70052,3.294,109.2,35.783,3.259,35.622,0x04,0x0E,DISCHARGING
72054,3.279,107.6,35.783,3.259,35.622,0x04,0x0E,DISCHARGING
74056,3.294,94.4,35.783,3.259,36.414,0x04,0x0E,DISCHARGING
76057,3.274,107.6,35.783,3.259,36.414,0x04,0x0E,DISCHARGING
78058,3.274,115.2,35.783,3.259,35.622,0x04,0x0E,DISCHARGING
80060,3.274,111.2,35.783,3.259,35.622,0x04,0x0E,DISCHARGING
82061,3.274,110.4,35.783,3.259,36.414,0x04,0x0E,DISCHARGING
84062,3.274,109.6,35.783,3.259,36.414,0x04,0x0E,DISCHARGING
86063,3.264,110.0,35.783,3.252,36.414,0x04,0x0E,DISCHARGING
88065,3.274,110.0,35.783,3.252,36.414,0x04,0x0E,DISCHARGING
90066,3.264,112.8,35.783,3.252,36.414,0x04,0x0E,DISCHARGING
92068,3.264,115.2,35.783,3.252,35.622,0x04,0x0E,DISCHARGING
94069,3.274,110.0,35.898,3.246,35.622,0x04,0x0E,DISCHARGING
96071,3.269,112.8,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
98072,3.274,109.6,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
100073,3.264,110.4,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
102074,3.269,110.0,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
104075,3.274,116.8,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
106076,3.274,107.6,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
108077,3.269,115.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
110078,3.274,108.4,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
112079,3.274,115.2,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
114080,3.274,113.2,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
116081,3.274,115.2,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
118082,3.264,107.6,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
120083,3.274,111.2,35.898,3.246,35.622,0x04,0x0E,DISCHARGING
122085,3.274,115.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
124086,3.264,111.2,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
126087,3.274,112.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
128088,3.274,112.8,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
130089,3.255,110.0,35.898,3.246,36.414,0x04,0x0E,DISCHARGING
132091,3.274,112.8,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
134092,3.274,108.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
136093,3.274,112.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
138094,3.264,112.8,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
140095,3.274,112.8,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
142096,3.274,113.6,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
144097,3.264,111.2,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
146098,3.274,108.4,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
148099,3.274,112.0,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
150100,3.274,115.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
152102,3.264,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
154104,3.274,108.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
156106,3.274,112.4,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
158107,3.274,111.2,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
160108,3.255,108.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
162110,3.274,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
164111,3.255,110.4,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
166112,3.255,111.2,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
168113,3.255,109.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
170115,3.274,110.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
172116,3.274,96.8,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
174117,3.264,112.4,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
176119,3.274,112.8,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
178120,3.274,109.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
180122,3.274,98.8,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
182123,3.255,112.4,35.783,3.234,36.414,0x04,0x0E,DISCHARGING
184124,3.255,109.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
186125,3.274,110.0,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
188126,3.264,94.8,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
190127,3.274,112.0,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
192129,3.255,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
194130,3.264,116.8,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
196132,3.264,110.0,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
198134,3.274,108.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
200135,3.274,109.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
202136,3.274,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
204137,3.274,110.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
206139,3.274,116.8,35.783,3.246,35.622,0x04,0x0E,DISCHARGING
208140,3.255,112.8,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
210142,3.274,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
212143,3.274,111.6,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
214145,3.274,99.6,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
216146,3.255,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
218148,3.274,112.4,35.783,3.234,36.414,0x04,0x0E,DISCHARGING
220150,3.264,115.2,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
222151,3.264,110.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
224153,3.274,111.2,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
226154,3.274,115.2,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
228155,3.274,110.0,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
230156,3.274,108.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
232157,3.274,107.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
234158,3.274,116.8,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
236159,3.274,115.2,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
238160,3.274,110.4,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
240162,3.255,118.4,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
242163,3.264,112.4,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
244164,3.274,110.8,35.783,3.24,36.414,0x04,0x0E,DISCHARGING
246165,3.274,109.6,35.783,3.24,35.622,0x04,0x0E,DISCHARGING
