time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.609,-16.425,25.411,4.773,30.866,0x0C,0x0E,CHARGING
2002,2.717,-183.15,25.411,4.592,38.792,0x0F,0x0E,CHARGING
4003,2.737,-183.15,25.411,4.58,39.585,0x0F,0x0E,CHARGING
6005,2.751,-183.15,25.411,4.58,40.377,0x0F,0x0E,CHARGING
8007,2.766,-183.15,25.411,4.586,41.17,0x0F,0x0E,CHARGING
10008,2.776,-183.6,25.411,4.586,41.17,0x0F,0x0E,CHARGING
12009,2.79,-183.6,25.308,4.586,41.17,0x0F,0x0E,CHARGING
14010,2.8,-183.825,25.308,4.586,42.755,0x0F,0x0E,CHARGING
16011,2.81,-183.6,25.308,4.586,41.963,0x0F,0x0E,CHARGING
18012,2.82,-184.05,25.411,4.586,41.963,0x0F,0x0E,CHARGING
20013,2.829,-183.825,25.308,4.586,41.963,0x0F,0x0E,CHARGING
22014,2.839,-184.05,25.514,4.592,41.963,0x0F,0x0E,CHARGING
24016,2.844,-184.05,25.514,4.586,42.755,0x0F,0x0E,CHARGING
26018,2.854,-184.05,25.514,4.592,42.755,0x0F,0x0E,CHARGING
28020,2.864,-184.275,25.617,4.592,43.548,0x0F,0x0E,CHARGING
30021,2.869,-184.275,25.617,4.586,42.755,0x0F,0x0E,CHARGING
32022,2.878,-184.275,25.617,4.586,42.755,0x0F,0x0E,CHARGING
34024,2.883,-184.5,25.617,4.586,43.548,0x0F,0x0E,CHARGING
36025,2.893,-184.275,25.617,4.598,42.755,0x0F,0x0E,CHARGING
38026,2.893,-184.5,25.617,4.586,42.755,0x0F,0x0E,CHARGING
40028,2.898,-184.5,25.617,4.586,42.755,0x0F,0x0E,CHARGING
42029,2.908,-184.725,25.617,4.586,43.548,0x0F,0x0E,CHARGING
44031,2.913,-184.5,25.617,4.586,43.548,0x0F,0x0E,CHARGING
46032,2.922,-184.725,25.617,4.586,45.926,0x0F,0x0E,CHARGING
48034,2.922,-184.95,25.72,4.586,43.548,0x0F,0x0E,CHARGING
50035,2.927,-184.725,25.617,4.586,43.548,0x0F,0x0E,CHARGING
52036,2.932,-184.725,25.617,4.58,45.926,0x0F,0x0E,CHARGING
54037,2.932,-184.95,25.72,4.586,43.548,0x0F,0x0E,CHARGING
56038,2.937,-184.725,25.617,4.586,42.755,0x0F,0x0E,CHARGING
58040,2.942,-184.95,25.617,4.58,43.548,0x0F,0x0E,CHARGING
60041,2.952,-184.95,25.72,4.592,42.755,0x0F,0x0E,CHARGING
62042,2.952,-185.175,25.72,4.592,42.755,0x0F,0x0E,CHARGING
64043,2.961,-185.175,25.72,4.592,42.755,0x0F,0x0E,CHARGING
66045,2.961,-184.95,25.617,4.586,42.755,0x0F,0x0E,CHARGING
68046,2.966,-185.175,25.72,4.586,43.548,0x0F,0x0E,CHARGING
70048,2.971,-184.95,25.824,4.586,45.926,0x0F,0x0E,CHARGING
72050,2.971,-185.175,25.617,4.586,42.755,0x0F,0x0E,CHARGING
74052,2.976,-185.175,25.72,4.586,43.548,0x0F,0x0E,CHARGING
76054,2.981,-184.95,25.617,4.592,42.755,0x0F,0x0E,CHARGING
78056,2.986,-185.4,25.617,4.58,42.755,0x0F,0x0E,CHARGING
80057,2.991,-185.175,25.72,4.586,41.963,0x0F,0x0E,CHARGING
82058,2.991,-185.625,25.72,4.586,42.755,0x0F,0x0E,CHARGING
84060,2.996,-185.4,25.617,4.592,42.755,0x0F,0x0E,CHARGING
86062,3.0,-185.175,25.617,4.586,42.755,0x0F,0x0E,CHARGING
88064,3.005,-185.4,25.617,4.605,42.755,0x0F,0x0E,CHARGING
90066,3.01,-185.625,25.617,4.586,42.755,0x0F,0x0E,CHARGING
92068,3.01,-185.625,25.72,4.592,42.755,0x0F,0x0E,CHARGING
94069,3.02,-185.4,25.72,4.586,41.963,0x0F,0x0E,CHARGING
96070,3.02,-185.85,25.72,4.586,42.755,0x0F,0x0E,CHARGING
98071,3.02,-185.4,25.617,4.586,42.755,0x0F,0x0E,CHARGING
100073,3.025,-185.625,25.617,4.586,42.755,0x0F,0x0E,CHARGING
102076,3.02,-109.71,25.72,4.586,41.963,0x0F,0x0E,CHARGING
104077,3.03,-109.445,25.617,4.592,42.755,0x0F,0x0E,CHARGING
106079,3.03,-109.18,25.617,4.592,42.755,0x0F,0x0E,CHARGING
108081,3.04,-109.312,25.72,4.592,41.963,0x0F,0x0E,CHARGING
110083,3.04,-109.445,26.031,4.592,42.755,0x0F,0x0E,CHARGING
112085,3.044,-109.312,25.72,4.586,41.963,0x0F,0x0E,CHARGING
114086,3.044,-109.577,25.72,4.586,42.755,0x0F,0x0E,CHARGING
116087,3.049,-109.445,25.72,4.598,41.963,0x0F,0x0E,CHARGING
118089,3.049,-109.445,25.72,4.58,41.963,0x0F,0x0E,CHARGING
120090,3.054,-109.577,25.617,4.586,42.755,0x0F,0x0E,CHARGING
122091,3.059,-109.445,25.72,4.592,41.963,0x0F,0x0E,CHARGING
124092,3.059,-109.577,25.617,4.592,41.963,0x0F,0x0E,CHARGING
126094,3.059,-109.312,25.617,4.586,41.963,0x0F,0x0E,CHARGING
128096,3.064,-109.577,25.72,4.586,42.755,0x0F,0x0E,CHARGING
130097,3.069,-109.577,25.617,4.592,41.963,0x0F,0x0E,CHARGING
132098,3.069,-109.445,25.617,4.592,41.963,0x0F,0x0E,CHARGING
134100,3.074,-110.24,25.72,4.592,42.755,0x0F,0x0E,CHARGING
136101,3.079,-109.577,25.72,4.586,41.963,0x0F,0x0E,CHARGING
138102,3.079,-109.445,25.617,4.592,41.963,0x0F,0x0E,CHARGING
