time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.426,102.0,25.514,3.396,26.903,0x04,0x0E,DISCHARGING
2002,3.396,120.0,25.514,3.365,26.903,0x04,0x0E,DISCHARGING
4004,3.387,117.2,25.617,3.346,26.111,0x04,0x0E,DISCHARGING
6006,3.382,120.0,25.617,3.333,26.111,0x04,0x0E,DISCHARGING
8008,3.352,120.0,25.617,3.333,26.111,0x04,0x0E,DISCHARGING
10010,3.352,120.8,25.617,3.321,26.111,0x04,0x0E,DISCHARGING
12011,3.352,118.8,25.617,3.315,26.111,0x04,0x0E,DISCHARGING
14013,3.328,122.4,25.617,3.309,26.111,0x04,0x0E,DISCHARGING
16015,3.333,123.2,25.617,3.309,26.111,0x04,0x0E,DISCHARGING
18017,3.323,124.0,25.617,3.296,26.111,0x04,0x0E,DISCHARGING
20019,3.343,120.4,25.617,3.296,26.111,0x04,0x0E,DISCHARGING
22020,3.308,120.8,25.617,3.296,26.111,0x04,0x0E,DISCHARGING
24022,3.313,120.0,25.617,3.29,26.111,0x04,0x0E,DISCHARGING
26024,3.318,111.2,25.617,3.284,26.111,0x04,0x0E,DISCHARGING
28026,3.308,118.0,25.617,3.284,26.111,0x04,0x0E,DISCHARGING
30028,3.299,120.4,25.617,3.284,26.111,0x04,0x0E,DISCHARGING
32030,3.313,120.4,25.617,3.277,26.111,0x04,0x0E,DISCHARGING
34031,3.313,120.4,25.617,3.277,26.111,0x04,0x0E,DISCHARGING
36032,3.313,121.2,25.617,3.277,26.111,0x04,0x0E,DISCHARGING
38034,3.313,123.2,25.617,3.271,26.111,0x04,0x0E,DISCHARGING
40391,3.274,158.8,25.617,3.24,26.111,0x04,0x0E,DISCHARGING
42393,3.264,161.2,25.617,3.246,26.111,0x04,0x0E,DISCHARGING
44395,3.269,163.6,25.617,3.234,26.111,0x04,0x0E,DISCHARGING
46397,3.274,153.2,25.617,3.234,26.111,0x04,0x0E,DISCHARGING
48399,3.274,157.6,25.72,3.228,26.111,0x04,0x0E,DISCHARGING
50401,3.274,161.6,25.72,3.221,26.111,0x04,0x0E,DISCHARGING
52403,3.255,159.2,25.72,3.234,26.111,0x04,0x0E,DISCHARGING
54405,3.274,160.8,25.72,3.221,26.111,0x04,0x0E,DISCHARGING
56407,3.274,158.0,25.72,3.221,26.111,0x04,0x0E,DISCHARGING
58409,3.274,160.4,25.72,3.221,26.111,0x04,0x0E,DISCHARGING
60410,3.274,161.6,25.72,3.221,26.111,0x04,0x0E,DISCHARGING
62412,3.274,160.8,25.72,3.215,26.111,0x04,0x0E,DISCHARGING
64414,3.264,164.4,25.72,3.215,26.111,0x04,0x0E,DISCHARGING
66416,3.264,161.6,25.617,3.215,26.111,0x04,0x0E,DISCHARGING
68418,3.255,162.4,25.72,3.215,26.111,0x04,0x0E,DISCHARGING
70420,3.245,166.4,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
72422,3.245,163.6,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
74424,3.255,166.8,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
76426,3.255,153.2,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
78427,3.255,163.6,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
80429,3.245,150.4,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
82431,3.245,161.6,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
84432,3.245,156.0,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
86434,3.235,161.2,25.72,3.203,26.111,0x04,0x0E,DISCHARGING
88436,3.235,163.6,25.72,3.203,26.111,0x04,0x0E,DISCHARGING
90438,3.235,161.6,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
92440,3.23,163.6,25.72,3.203,26.111,0x04,0x0E,DISCHARGING
94442,3.23,161.6,25.72,3.203,26.111,0x04,0x0E,DISCHARGING
96443,3.235,153.2,25.72,3.203,26.111,0x04,0x0E,DISCHARGING
98445,3.235,161.2,25.72,3.196,26.111,0x04,0x0E,DISCHARGING
100447,3.235,153.2,25.72,3.209,26.111,0x04,0x0E,DISCHARGING
102449,3.235,161.6,25.72,3.203,26.111,0x04,0x0E,DISCHARGING
104451,3.225,160.0,25.72,3.196,26.111,0x04,0x0E,DISCHARGING
