time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752724288.8309572,5,USB_connected,WLC_disconnected,3.098,0.000,25.617,0.00,0.00,30.866,0.000,0.000,0.000,4.686
1752724289.9319165,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752724291.0332313,5,USB_connected,WLC_disconnected,3.093,0.000,25.617,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752724292.134823,5,USB_connected,WLC_disconnected,3.093,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752724293.2355762,5,USB_connected,WLC_disconnected,3.098,0.000,25.617,0.00,0.00,30.074,0.000,0.000,0.000,4.661
1752724294.3370845,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.686
1752724295.438352,5,USB_connected,WLC_disconnected,3.093,0.000,25.617,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752724296.5396636,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.698
1752724297.640924,5,USB_connected,WLC_disconnected,3.093,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752724298.7421515,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752724299.8434393,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752724300.9446564,5,USB_connected,WLC_disconnected,3.093,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752724302.045918,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.686
1752724303.1470947,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752724304.248216,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752724305.3498652,5,USB_connected,WLC_disconnected,3.093,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.679
1752724306.451118,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,32.451,0.000,0.000,0.000,4.667
1752724307.5520632,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752724308.653637,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752724309.7548723,5,USB_connected,WLC_disconnected,3.098,0.000,25.617,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752724310.855821,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752724311.9571762,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752724313.058459,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752724314.159697,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752724315.2609608,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752724316.3622146,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,30.074,0.000,0.000,0.000,4.673
1752724317.4635057,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752724318.564721,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752724319.665994,5,USB_connected,WLC_disconnected,3.098,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752724320.767221,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752724321.868541,5,USB_connected,WLC_disconnected,3.103,0.000,25.617,0.00,0.00,31.659,0.000,0.000,0.000,4.679
1752724322.9700034,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752724324.071179,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752724325.1725,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.698
1752724326.2736602,5,USB_connected,WLC_disconnected,3.103,0.000,25.617,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752724327.3750525,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752724328.4760134,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.692
1752724329.5771382,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,32.451,0.000,0.000,0.000,4.661
1752724330.6785479,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.679
1752724331.7798488,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752724332.8810716,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752724333.9820318,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752724335.0834496,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752724336.1846588,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752724337.2859802,5,USB_connected,WLC_disconnected,3.103,0.000,25.720,0.00,0.00,31.659,0.000,0.000,0.000,4.661
