time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752755686.4696875,5,USB_connected,WLC_disconnected,3.216,-189.000,25.824,0.40,0.40,39.585,0.000,0.000,0.000,4.318
1752755687.6372855,5,USB_connected,WLC_disconnected,3.216,-189.450,25.824,0.65,0.65,40.377,0.000,0.000,0.000,4.318
1752755688.8040624,5,USB_connected,WLC_disconnected,3.225,-189.450,25.824,0.83,0.83,41.170,0.000,0.000,0.000,4.318
1752755689.9710197,5,USB_connected,WLC_disconnected,3.225,-189.675,25.720,0.96,0.96,41.963,0.000,0.000,0.000,4.331
1752755691.138373,5,USB_connected,WLC_disconnected,3.225,-189.675,25.824,1.07,1.07,41.963,0.000,0.000,0.000,4.331
1752755692.3050299,5,USB_connected,WLC_disconnected,3.230,-188.775,25.720,1.18,1.18,41.963,0.000,0.000,0.000,4.337
1752755693.4715745,5,USB_connected,WLC_disconnected,3.225,-188.775,25.720,1.26,1.26,42.755,0.000,0.000,0.000,4.337
1752755694.6388214,5,USB_connected,WLC_disconnected,3.230,-189.450,25.824,1.34,1.34,42.755,0.000,0.000,0.000,4.337
1752755695.8060632,5,USB_connected,WLC_disconnected,3.235,-189.675,25.824,1.42,1.42,42.755,0.000,0.000,0.000,4.337
1752755696.973153,5,USB_connected,WLC_disconnected,3.235,-189.000,25.824,1.49,1.49,43.548,0.000,0.000,0.000,4.324
1752755698.1401508,5,USB_connected,WLC_disconnected,3.235,-189.225,25.824,1.56,1.56,43.548,0.000,0.000,0.000,4.331
1752755699.3070395,5,USB_connected,WLC_disconnected,3.240,-189.225,25.824,1.63,1.63,43.548,0.000,0.000,0.000,4.331
1752755700.474184,5,USB_connected,WLC_disconnected,3.240,-189.450,25.824,1.68,1.68,43.548,0.000,0.000,0.000,4.318
1752755701.6412263,5,USB_connected,WLC_disconnected,3.240,-189.675,25.927,1.75,1.75,43.548,0.000,0.000,0.000,4.331
1752755702.808094,5,USB_connected,WLC_disconnected,3.240,-189.675,26.238,1.80,1.80,44.340,0.000,0.000,0.000,4.337
1752755703.9748313,5,USB_connected,WLC_disconnected,3.245,-189.450,25.927,1.86,1.86,44.340,0.000,0.000,0.000,4.318
1752755705.1422427,5,USB_connected,WLC_disconnected,3.245,-189.450,25.927,1.91,1.91,44.340,0.000,0.000,0.000,4.331
1752755706.3090773,5,USB_connected,WLC_disconnected,3.245,-189.900,25.927,1.96,1.96,44.340,0.000,0.000,0.000,4.331
1752755707.476253,5,USB_connected,WLC_disconnected,3.245,-189.900,25.927,2.01,2.01,43.548,0.000,0.000,0.000,4.324
1752755708.6430793,5,USB_connected,WLC_disconnected,3.250,-189.450,25.927,2.06,2.06,44.340,0.000,0.000,0.000,4.337
1752755709.810101,5,USB_connected,WLC_disconnected,3.250,-189.900,25.927,2.11,2.11,44.340,0.000,0.000,0.000,4.324
