time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752796912.126196,5,USB_connected,WLC_disconnected,3.548,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752796913.2435722,5,USB_connected,WLC_disconnected,3.548,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796914.361637,5,USB_connected,WLC_disconnected,3.548,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752796915.479584,5,USB_connected,WLC_disconnected,3.548,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796916.5971444,5,USB_connected,WLC_disconnected,3.548,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796917.7146828,5,USB_connected,WLC_disconnected,3.548,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796918.8324878,5,USB_connected,WLC_disconnected,3.548,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752796919.9499753,5,USB_connected,WLC_disconnected,3.548,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796921.0677898,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796922.1854608,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.673
1752796923.3031657,5,USB_connected,WLC_disconnected,3.543,0.000,26.445,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752796924.4211884,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796925.538679,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.661
1752796926.656336,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796927.7738287,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796928.891268,5,USB_connected,WLC_disconnected,3.543,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796930.0092387,5,USB_connected,WLC_disconnected,3.538,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.661
1752796931.1268466,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796932.2446444,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796933.3621964,5,USB_connected,WLC_disconnected,3.538,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796934.4801848,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.661
1752796935.5977154,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752796936.7152975,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796937.833149,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752796938.9507596,5,USB_connected,WLC_disconnected,3.533,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796940.0685835,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,31.659,0.000,0.000,0.000,4.692
1752796941.1862073,5,USB_connected,WLC_disconnected,3.538,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796942.3036597,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796943.421633,5,USB_connected,WLC_disconnected,3.538,0.000,26.549,100.00,100.00,33.244,0.000,0.000,0.000,4.648
1752796944.5394607,5,USB_connected,WLC_disconnected,3.538,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796945.6570837,5,USB_connected,WLC_disconnected,3.538,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752796946.7746286,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796947.8922827,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,31.659,0.000,0.000,0.000,4.655
1752796949.0099323,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752796950.1276557,5,USB_connected,WLC_disconnected,3.533,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752796951.2452047,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796952.3631332,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796953.4809864,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796954.5986617,5,USB_connected,WLC_disconnected,3.528,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796955.7165499,5,USB_connected,WLC_disconnected,3.533,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752796956.833756,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796957.951496,5,USB_connected,WLC_disconnected,3.533,0.000,26.549,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752796959.0691383,5,USB_connected,WLC_disconnected,3.528,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.704
1752796960.1868284,5,USB_connected,WLC_disconnected,3.533,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796961.3046353,5,USB_connected,WLC_disconnected,3.528,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796962.4223838,5,USB_connected,WLC_disconnected,3.528,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796963.5401268,5,USB_connected,WLC_disconnected,3.533,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.661
1752796964.6577747,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752796965.7752793,5,USB_connected,WLC_disconnected,3.528,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796966.8930414,5,USB_connected,WLC_disconnected,3.528,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796968.0105877,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796969.1282935,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796970.2459552,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752796971.3675814,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.661
1752796972.4977467,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796973.6156006,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796974.7331846,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796975.8509629,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.648
1752796976.9686034,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752796978.0862699,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.661
1752796979.203871,5,USB_connected,WLC_disconnected,3.528,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752796980.3219383,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,33.244,0.000,0.000,0.000,4.648
1752796981.4394665,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,33.244,0.000,0.000,0.000,4.686
1752796982.5572176,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752796983.674742,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,33.244,0.000,0.000,0.000,4.673
1752796984.7920852,5,USB_connected,WLC_disconnected,3.523,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796985.9101007,5,USB_connected,WLC_disconnected,3.523,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796987.0276964,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796988.145477,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752796989.2633765,5,USB_connected,WLC_disconnected,3.523,0.000,26.341,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752796990.3811052,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752796991.4985962,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752796992.6165428,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752796993.7338808,5,USB_connected,WLC_disconnected,3.523,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796994.8516257,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.655
1752796995.9692752,5,USB_connected,WLC_disconnected,3.523,0.000,26.445,100.00,100.00,31.659,0.000,0.000,0.000,4.667
1752796997.0870218,5,USB_connected,WLC_disconnected,3.523,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752796998.2046702,5,USB_connected,WLC_disconnected,3.523,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752796999.322561,5,USB_connected,WLC_disconnected,3.519,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752797000.4400375,5,USB_connected,WLC_disconnected,3.519,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752797001.5579212,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.661
1752797002.6753538,5,USB_connected,WLC_disconnected,3.519,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752797003.793007,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752797004.9107206,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752797006.028449,5,USB_connected,WLC_disconnected,3.519,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752797007.1461859,5,USB_connected,WLC_disconnected,3.514,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752797008.2638557,5,USB_connected,WLC_disconnected,3.519,0.000,26.445,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752797009.381835,5,USB_connected,WLC_disconnected,3.519,0.000,26.341,100.00,100.00,32.451,0.000,0.000,0.000,4.655
