time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752831390.6536913,5,USB_disconnected,WLC_disconnected,3.274,126.400,25.720,80.94,80.94,29.281,0.000,0.000,0.000,3.246
1752831391.8532972,5,USB_disconnected,WLC_disconnected,3.274,131.600,25.617,80.93,80.93,30.074,0.000,0.000,0.000,3.240
1752831393.053279,5,USB_disconnected,WLC_disconnected,3.274,129.600,25.720,80.92,80.92,29.281,0.000,0.000,0.000,3.246
1752831394.2531374,5,USB_disconnected,WLC_disconnected,3.274,131.600,25.617,80.91,80.91,30.074,0.000,0.000,0.000,3.240
1752831395.452802,5,USB_disconnected,WLC_disconnected,3.274,127.200,25.617,80.90,80.90,30.074,0.000,0.000,0.000,3.240
1752831396.6530437,5,USB_disconnected,WLC_disconnected,3.274,132.800,25.617,80.89,80.89,30.074,0.000,0.000,0.000,3.240
1752831397.8524368,5,USB_disconnected,WLC_disconnected,3.274,125.600,25.720,80.88,80.88,29.281,0.000,0.000,0.000,3.240
1752831399.0527387,5,USB_disconnected,WLC_disconnected,3.274,126.800,25.617,80.86,80.86,29.281,0.000,0.000,0.000,3.246
1752831400.25213,5,USB_disconnected,WLC_disconnected,3.274,134.400,25.617,80.85,80.85,29.281,0.000,0.000,0.000,3.240
1752831401.4525192,5,USB_disconnected,WLC_disconnected,3.274,129.200,25.720,80.84,80.84,30.074,0.000,0.000,0.000,3.246
1752831402.6523523,5,USB_disconnected,WLC_disconnected,3.274,128.800,25.720,80.83,80.83,30.074,0.000,0.000,0.000,3.246
1752831403.8522253,5,USB_disconnected,WLC_disconnected,3.274,126.400,25.617,80.82,80.82,30.074,0.000,0.000,0.000,3.246
1752831405.0521016,5,USB_disconnected,WLC_disconnected,3.274,128.800,25.617,80.81,80.81,30.074,0.000,0.000,0.000,3.246
1752831406.2519596,5,USB_disconnected,WLC_disconnected,3.274,121.200,25.617,80.80,80.80,30.074,0.000,0.000,0.000,3.246
1752831407.4516082,5,USB_disconnected,WLC_disconnected,3.274,128.800,25.720,80.79,80.79,30.074,0.000,0.000,0.000,3.240
1752831408.6517458,5,USB_disconnected,WLC_disconnected,3.274,120.400,25.617,80.78,80.78,30.074,0.000,0.000,0.000,3.246
1752831409.8516402,5,USB_disconnected,WLC_disconnected,3.269,124.800,25.617,80.77,80.77,29.281,0.000,0.000,0.000,3.240
1752831411.0515075,5,USB_disconnected,WLC_disconnected,3.274,123.200,25.617,80.76,80.76,29.281,0.000,0.000,0.000,3.246
1752831412.2513566,5,USB_disconnected,WLC_disconnected,3.274,121.200,25.617,80.75,80.75,30.074,0.000,0.000,0.000,3.246
1752831413.451287,5,USB_disconnected,WLC_disconnected,3.274,123.200,25.617,80.73,80.73,30.074,0.000,0.000,0.000,3.246
1752831414.651041,5,USB_disconnected,WLC_disconnected,3.274,122.800,25.617,80.72,80.72,30.074,0.000,0.000,0.000,3.246
1752831415.8506057,5,USB_disconnected,WLC_disconnected,3.274,129.600,25.617,80.71,80.71,29.281,0.000,0.000,0.000,3.246
1752831417.050794,5,USB_disconnected,WLC_disconnected,3.274,128.399,25.720,80.70,80.70,29.281,0.000,0.000,0.000,3.246
1752831418.2506382,5,USB_disconnected,WLC_disconnected,3.274,122.400,25.617,80.69,80.69,30.074,0.000,0.000,0.000,3.246
1752831419.450211,5,USB_disconnected,WLC_disconnected,3.274,124.800,25.617,80.68,80.68,30.074,0.000,0.000,0.000,3.240
1752831420.6504793,5,USB_disconnected,WLC_disconnected,3.274,124.800,25.617,80.67,80.67,29.281,0.000,0.000,0.000,3.246
