time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753114807.8857713,5,USB_connected,WLC_disconnected,3.216,-189.000,20.134,0.42,0.42,33.244,0.000,0.000,0.000,4.318
1753114809.0855541,5,USB_connected,WLC_disconnected,3.225,-189.000,20.134,0.67,0.67,30.866,0.000,0.000,0.000,4.318
1753114810.285054,5,USB_connected,WLC_disconnected,3.225,-188.775,20.134,0.84,0.84,34.829,0.000,0.000,0.000,4.331
1753114811.4851382,5,USB_connected,WLC_disconnected,3.230,-188.775,20.134,0.99,0.99,35.622,0.000,0.000,0.000,4.337
1753114812.6851254,5,USB_connected,WLC_disconnected,3.230,-189.675,20.235,1.10,1.10,36.414,0.000,0.000,0.000,4.318
1753114813.8848724,5,USB_connected,WLC_disconnected,3.235,-189.450,20.235,1.21,1.21,36.414,0.000,0.000,0.000,4.331
1753114815.084807,5,USB_connected,WLC_disconnected,3.235,-189.450,20.536,1.30,1.30,36.414,0.000,0.000,0.000,4.318
1753114816.284541,5,USB_connected,WLC_disconnected,3.235,-189.450,20.235,1.39,1.39,34.037,0.000,0.000,0.000,4.337
1753114817.4846818,5,USB_connected,WLC_disconnected,3.240,-189.450,20.134,1.47,1.47,37.207,0.000,0.000,0.000,4.331
1753114818.68457,5,USB_connected,WLC_disconnected,3.240,-189.450,20.235,1.55,1.55,36.414,0.000,0.000,0.000,4.331
1753114819.8843727,5,USB_connected,WLC_disconnected,3.245,-189.225,20.134,1.62,1.62,36.414,0.000,0.000,0.000,4.312
1753114821.0841026,5,USB_connected,WLC_disconnected,3.240,-189.675,20.235,1.69,1.69,38.000,0.000,0.000,0.000,4.331
1753114822.2841587,5,USB_connected,WLC_disconnected,3.245,-189.675,20.235,1.75,1.75,38.000,0.000,0.000,0.000,4.331
1753114823.4838629,5,USB_connected,WLC_disconnected,3.250,-189.675,20.235,1.82,1.82,38.000,0.000,0.000,0.000,4.318
1753114824.683854,5,USB_connected,WLC_disconnected,3.250,-189.450,20.235,1.88,1.88,37.207,0.000,0.000,0.000,4.324
1753114825.8838804,5,USB_connected,WLC_disconnected,3.255,-189.675,20.335,1.94,1.94,38.000,0.000,0.000,0.000,4.331
1753114827.0835462,5,USB_connected,WLC_disconnected,3.255,-189.675,20.335,1.99,1.99,38.000,0.000,0.000,0.000,4.387
1753114828.2834206,5,USB_connected,WLC_disconnected,3.250,-189.450,20.335,2.05,2.05,38.000,0.000,0.000,0.000,4.337
1753114829.4832957,5,USB_connected,WLC_disconnected,3.255,-189.675,20.335,2.10,2.10,38.000,0.000,0.000,0.000,4.324
1753114830.6832032,5,USB_connected,WLC_disconnected,3.255,-188.775,20.335,2.16,2.16,38.792,0.000,0.000,0.000,4.337
1753114831.8828294,5,USB_connected,WLC_disconnected,3.255,-189.900,20.435,2.21,2.21,38.792,0.000,0.000,0.000,4.318
1753114833.0828846,5,USB_connected,WLC_disconnected,3.255,-188.775,20.435,2.26,2.26,38.792,0.000,0.000,0.000,4.343
1753114834.28266,5,USB_connected,WLC_disconnected,3.260,-188.775,20.335,2.31,2.31,38.792,0.000,0.000,0.000,4.337
1753114835.482646,5,USB_connected,WLC_disconnected,3.260,-189.900,20.435,2.36,2.36,38.792,0.000,0.000,0.000,4.318
1753114836.682369,5,USB_connected,WLC_disconnected,3.260,-190.350,20.435,2.41,2.41,38.792,0.000,0.000,0.000,4.343
1753114837.882368,5,USB_connected,WLC_disconnected,3.260,-189.900,20.435,2.46,2.46,38.792,0.000,0.000,0.000,4.343
1753114839.081911,5,USB_connected,WLC_disconnected,3.260,-190.125,20.435,2.50,2.50,38.792,0.000,0.000,0.000,4.343
1753114840.2821167,5,USB_connected,WLC_disconnected,3.264,-189.675,20.335,2.55,2.55,38.792,0.000,0.000,0.000,4.355
1753114841.4819036,5,USB_connected,WLC_disconnected,3.264,-189.675,20.335,2.59,2.59,39.585,0.000,0.000,0.000,4.387
1753114842.681819,5,USB_connected,WLC_disconnected,3.264,-190.125,20.435,2.64,2.64,38.792,0.000,0.000,0.000,4.387
1753114843.8816762,5,USB_connected,WLC_disconnected,3.264,-190.125,20.435,2.68,2.68,38.792,0.000,0.000,0.000,4.387
1753114845.081644,5,USB_connected,WLC_disconnected,3.264,-190.125,20.536,2.73,2.73,39.585,0.000,0.000,0.000,4.343
1753114846.280903,5,USB_connected,WLC_disconnected,3.269,-189.900,20.435,2.77,2.77,38.792,0.000,0.000,0.000,4.343
1753114847.481232,5,USB_connected,WLC_disconnected,3.269,-189.675,20.435,2.81,2.81,38.792,0.000,0.000,0.000,4.331
1753114848.681125,5,USB_connected,WLC_disconnected,3.269,-189.900,20.536,2.85,2.85,39.585,0.000,0.000,0.000,4.324
1753114849.8810873,5,USB_connected,WLC_disconnected,3.269,-189.900,20.536,2.89,2.89,38.792,0.000,0.000,0.000,4.331
1753114851.0809126,5,USB_connected,WLC_disconnected,3.269,-189.675,20.536,2.93,2.93,39.585,0.000,0.000,0.000,4.387
1753114852.2806919,5,USB_connected,WLC_disconnected,3.274,-189.675,20.536,2.97,2.97,39.585,0.000,0.000,0.000,4.324
1753114853.4806294,5,USB_connected,WLC_disconnected,3.274,-189.900,20.235,3.01,3.01,39.585,0.000,0.000,0.000,4.337
1753114854.680469,5,USB_connected,WLC_disconnected,3.274,-189.900,20.536,3.05,3.05,39.585,0.000,0.000,0.000,4.337
1753114855.880596,5,USB_connected,WLC_disconnected,3.274,-189.900,20.536,3.09,3.09,39.585,0.000,0.000,0.000,4.324
1753114857.0802839,5,USB_connected,WLC_disconnected,3.279,-189.900,20.536,3.13,3.13,40.377,0.000,0.000,0.000,4.324
1753114858.2801967,5,USB_connected,WLC_disconnected,3.279,-188.775,20.636,3.17,3.17,39.585,0.000,0.000,0.000,4.324
1753114859.4801445,5,USB_connected,WLC_disconnected,3.279,-189.675,20.235,3.21,3.21,40.377,0.000,0.000,0.000,4.324
1753114860.6798935,5,USB_connected,WLC_disconnected,3.279,-189.900,20.536,3.24,3.24,39.585,0.000,0.000,0.000,4.318
1753114861.8798416,5,USB_connected,WLC_disconnected,3.279,-190.125,20.636,3.28,3.28,39.585,0.000,0.000,0.000,4.324
1753114863.0795987,5,USB_connected,WLC_disconnected,3.279,-190.800,20.636,3.32,3.32,38.792,0.000,0.000,0.000,4.331
1753114864.2791212,5,USB_connected,WLC_disconnected,3.279,-190.125,20.938,3.35,3.35,42.755,0.000,0.000,0.000,4.324
1753114865.4790158,5,USB_connected,WLC_disconnected,3.279,-190.575,20.636,3.39,3.39,39.585,0.000,0.000,0.000,4.324
1753114866.6789408,5,USB_connected,WLC_disconnected,3.279,-190.575,20.636,3.42,3.42,39.585,0.000,0.000,0.000,4.331
1753114867.8788846,5,USB_connected,WLC_disconnected,3.284,-190.125,20.636,3.46,3.46,40.377,0.000,0.000,0.000,4.387
1753114869.0785868,5,USB_connected,WLC_disconnected,3.284,-190.125,20.636,3.49,3.49,39.585,0.000,0.000,0.000,4.324
1753114870.2785916,5,USB_connected,WLC_disconnected,3.284,-190.350,20.636,3.53,3.53,39.585,0.000,0.000,0.000,4.324
1753114871.4779985,5,USB_connected,WLC_disconnected,3.284,-190.350,20.636,3.56,3.56,40.377,0.000,0.000,0.000,4.324
1753114872.678255,5,USB_connected,WLC_disconnected,3.284,-190.125,20.636,3.60,3.60,40.377,0.000,0.000,0.000,4.324
1753114873.878156,5,USB_connected,WLC_disconnected,3.284,-190.125,20.636,3.63,3.63,39.585,0.000,0.000,0.000,4.324
1753114875.0779953,5,USB_connected,WLC_disconnected,3.284,-190.125,20.636,3.67,3.67,40.377,0.000,0.000,0.000,4.337
1753114876.277883,5,USB_connected,WLC_disconnected,3.284,-190.350,20.737,3.70,3.70,40.377,0.000,0.000,0.000,4.324
1753114877.477851,5,USB_connected,WLC_disconnected,3.289,-190.125,20.737,3.73,3.73,40.377,0.000,0.000,0.000,4.318
1753114878.6776702,5,USB_connected,WLC_disconnected,3.289,-190.125,20.737,3.77,3.77,39.585,0.000,0.000,0.000,4.324
1753114879.877618,5,USB_connected,WLC_disconnected,3.289,-190.350,20.737,3.80,3.80,37.207,0.000,0.000,0.000,4.318
1753114881.077381,5,USB_connected,WLC_disconnected,3.289,-190.350,20.737,3.83,3.83,40.377,0.000,0.000,0.000,4.324
1753114882.2772367,5,USB_connected,WLC_disconnected,3.289,-190.350,20.737,3.87,3.87,40.377,0.000,0.000,0.000,4.324
1753114883.477002,5,USB_connected,WLC_disconnected,3.289,-190.350,20.737,3.90,3.90,40.377,0.000,0.000,0.000,4.324
1753114884.6769934,5,USB_connected,WLC_disconnected,3.294,-190.125,20.837,3.93,3.93,40.377,0.000,0.000,0.000,4.337
1753114885.8767982,5,USB_connected,WLC_disconnected,3.294,-190.350,20.737,3.96,3.96,40.377,0.000,0.000,0.000,4.324
1753114887.0766432,5,USB_connected,WLC_disconnected,3.294,-190.350,20.837,3.99,3.99,40.377,0.000,0.000,0.000,4.318
1753114888.2766807,5,USB_connected,WLC_disconnected,3.294,-190.350,20.837,4.03,4.03,40.377,0.000,0.000,0.000,4.318
1753114889.4765801,5,USB_connected,WLC_disconnected,3.294,-190.575,20.837,4.06,4.06,37.207,0.000,0.000,0.000,4.337
1753114890.676381,5,USB_connected,WLC_disconnected,3.294,-190.125,20.837,4.09,4.09,37.207,0.000,0.000,0.000,4.318
