time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753126068.1991394,5,USB_connected,WLC_disconnected,3.421,0.000,21.038,100.00,100.00,26.903,0.000,0.000,0.000,4.686
1753126069.399402,5,USB_disconnected,WLC_disconnected,3.367,150.000,21.139,99.96,99.96,26.111,0.000,0.000,0.000,3.340
1753126070.5992594,5,USB_disconnected,WLC_disconnected,3.372,156.000,21.139,99.94,99.94,26.111,0.000,0.000,0.000,3.333
1753126071.7991126,5,USB_disconnected,WLC_disconnected,3.357,143.600,21.139,99.93,99.93,26.111,0.000,0.000,0.000,3.321
1753126072.999045,5,USB_disconnected,WLC_disconnected,3.357,152.000,21.139,99.92,99.92,26.111,0.000,0.000,0.000,3.327
1753126074.198437,5,USB_disconnected,WLC_disconnected,3.357,152.000,21.139,99.91,99.91,26.111,0.000,0.000,0.000,3.321
1753126075.3985782,5,USB_disconnected,WLC_disconnected,3.352,154.000,21.139,99.91,99.91,26.111,0.000,0.000,0.000,3.340
1753126076.5985782,5,USB_disconnected,WLC_disconnected,3.347,152.000,21.139,99.90,99.90,26.111,0.000,0.000,0.000,3.315
1753126077.7983692,5,USB_disconnected,WLC_disconnected,3.347,150.800,21.139,99.89,99.89,26.111,0.000,0.000,0.000,3.315
1753126078.9982579,5,USB_disconnected,WLC_disconnected,3.343,156.000,21.139,99.89,99.89,26.111,0.000,0.000,0.000,3.309
1753126080.198139,5,USB_disconnected,WLC_disconnected,3.343,154.000,21.139,99.89,99.89,25.318,0.000,0.000,0.000,3.309
1753126081.398093,5,USB_disconnected,WLC_disconnected,3.343,154.800,21.139,99.88,99.88,25.318,0.000,0.000,0.000,3.309
1753126082.5978882,5,USB_disconnected,WLC_disconnected,3.343,160.000,21.139,99.88,99.88,25.318,0.000,0.000,0.000,3.309
1753126083.7978253,5,USB_disconnected,WLC_disconnected,3.338,150.400,21.139,99.88,99.88,26.111,0.000,0.000,0.000,3.309
1753126084.9976504,5,USB_disconnected,WLC_disconnected,3.343,156.000,21.139,99.87,99.87,26.111,0.000,0.000,0.000,3.309
1753126086.1976404,5,USB_disconnected,WLC_disconnected,3.343,153.600,21.139,99.87,99.87,25.318,0.000,0.000,0.000,3.302
1753126087.3975704,5,USB_disconnected,WLC_disconnected,3.333,152.000,21.139,99.87,99.87,26.111,0.000,0.000,0.000,3.302
1753126088.597276,5,USB_disconnected,WLC_disconnected,3.343,155.200,21.139,99.86,99.86,25.318,0.000,0.000,0.000,3.296
1753126089.7970667,5,USB_disconnected,WLC_disconnected,3.333,153.200,21.139,99.86,99.86,25.318,0.000,0.000,0.000,3.302
1753126090.99696,5,USB_disconnected,WLC_disconnected,3.343,156.000,21.139,99.86,99.86,26.111,0.000,0.000,0.000,3.302
1753126092.1969242,5,USB_disconnected,WLC_disconnected,3.333,102.000,21.139,99.85,99.85,25.318,0.000,0.000,0.000,3.296
1753126093.3966737,5,USB_disconnected,WLC_disconnected,3.328,140.400,21.139,99.84,99.84,26.111,0.000,0.000,0.000,3.296
1753126094.5961752,5,USB_disconnected,WLC_disconnected,3.343,158.400,21.139,99.84,99.84,25.318,0.000,0.000,0.000,3.302
1753126095.796527,5,USB_disconnected,WLC_disconnected,3.328,127.200,21.139,99.84,99.84,25.318,0.000,0.000,0.000,3.302
1753126096.9961765,5,USB_disconnected,WLC_disconnected,3.328,154.400,21.139,99.83,99.83,25.318,0.000,0.000,0.000,3.296
1753126098.1961098,5,USB_disconnected,WLC_disconnected,3.328,156.800,21.139,99.83,99.83,26.111,0.000,0.000,0.000,3.302
1753126099.3960042,5,USB_disconnected,WLC_disconnected,3.323,152.800,21.139,99.82,99.82,25.318,0.000,0.000,0.000,3.315
1753126100.5958698,5,USB_disconnected,WLC_disconnected,3.323,140.400,21.139,99.82,99.82,25.318,0.000,0.000,0.000,3.290
1753126101.7955341,5,USB_disconnected,WLC_disconnected,3.323,156.000,21.139,99.81,99.81,25.318,0.000,0.000,0.000,3.290
1753126102.9953225,5,USB_disconnected,WLC_disconnected,3.318,156.000,21.139,99.81,99.81,25.318,0.000,0.000,0.000,3.284
1753126104.195393,5,USB_disconnected,WLC_disconnected,3.323,156.400,21.139,99.81,99.81,25.318,0.000,0.000,0.000,3.284
1753126105.395377,5,USB_disconnected,WLC_disconnected,3.323,156.000,21.139,99.80,99.80,25.318,0.000,0.000,0.000,3.296
1753126106.5946953,5,USB_disconnected,WLC_disconnected,3.318,154.800,21.139,99.80,99.80,25.318,0.000,0.000,0.000,3.284
