time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753198081.937345,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,26.111,0.000,0.000,0.000,4.698
1753198083.0221949,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,25.318,0.000,0.000,0.000,4.736
1753198084.107737,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198085.1920855,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,25.318,0.000,0.000,0.000,4.711
1753198086.2769718,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.698
1753198087.3619475,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198088.4469671,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.785
1753198089.531459,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198090.6162536,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198091.7010663,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.711
1753198092.7859538,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.742
1753198093.87065,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198094.9555671,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.711
1753198096.040164,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,24.525,0.000,0.000,0.000,4.711
1753198097.125161,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.692
1753198098.2098193,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.698
1753198099.2946928,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198100.3794715,5,USB_connected,WLC_disconnected,3.108,0.000,20.335,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198101.464711,5,USB_connected,WLC_disconnected,3.108,0.000,20.335,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198102.5493603,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198103.634042,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198104.7187393,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.742
1753198105.8039055,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198106.8884382,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198107.9730911,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.704
1753198109.058084,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.723
1753198110.1431165,5,USB_connected,WLC_disconnected,3.113,0.000,20.335,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198111.2276773,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198112.3124425,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198113.3972917,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.692
1753198114.482218,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.679
1753198115.5672162,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,25.318,0.000,0.000,0.000,4.723
1753198116.6517413,5,USB_connected,WLC_disconnected,3.108,0.000,20.335,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198117.73642,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,24.525,0.000,0.000,0.000,4.748
1753198118.8214679,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.698
1753198119.9065173,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,24.525,0.000,0.000,0.000,4.723
1753198120.9909816,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198122.0757163,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198123.160652,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.704
1753198124.2456665,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198125.3301675,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198126.4150324,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.711
1753198127.499873,5,USB_connected,WLC_disconnected,3.108,0.000,20.335,0.00,0.00,25.318,0.000,0.000,0.000,4.704
1753198128.5847986,5,USB_connected,WLC_disconnected,3.113,0.000,20.134,0.00,0.00,25.318,0.000,0.000,0.000,4.704
1753198129.6694546,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.723
1753198130.754192,5,USB_connected,WLC_disconnected,3.108,0.000,20.335,0.00,0.00,24.525,0.000,0.000,0.000,4.736
1753198131.8386726,5,USB_connected,WLC_disconnected,3.108,0.000,20.134,0.00,0.00,24.525,0.000,0.000,0.000,4.698
1753198132.9240422,5,USB_connected,WLC_disconnected,3.108,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.698
1753198134.008706,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.704
1753198135.0935602,5,USB_connected,WLC_disconnected,3.113,0.000,20.235,0.00,0.00,24.525,0.000,0.000,0.000,4.736
