time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753179359.251636,5,USB_disconnected,WLC_disconnected,3.426,0.000,21.240,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753179360.4514263,5,USB_disconnected,WLC_disconnected,3.401,79.600,21.240,99.95,99.95,26.903,0.000,0.000,0.000,3.383
1753179361.635159,5,USB_disconnected,WLC_disconnected,3.396,63.600,21.139,99.94,99.94,26.111,0.000,0.000,0.000,3.377
1753179362.8185742,5,USB_disconnected,WLC_disconnected,3.396,82.800,21.240,99.93,99.93,26.111,0.000,0.000,0.000,3.377
1753179364.0182714,5,USB_disconnected,WLC_disconnected,3.396,76.400,21.240,99.93,99.93,26.111,0.000,0.000,0.000,3.371
1753179365.2179904,5,USB_disconnected,WLC_disconnected,3.396,79.600,21.240,99.92,99.92,26.111,0.000,0.000,0.000,3.371
1753179366.4180522,5,USB_disconnected,WLC_disconnected,3.396,79.600,21.240,99.92,99.92,26.111,0.000,0.000,0.000,3.371
1753179367.617922,5,USB_disconnected,WLC_disconnected,3.391,83.200,21.240,99.92,99.92,25.318,0.000,0.000,0.000,3.371
1753179368.8177698,5,USB_disconnected,WLC_disconnected,3.391,78.800,21.139,99.91,99.91,25.318,0.000,0.000,0.000,3.377
1753179370.0176916,5,USB_disconnected,WLC_disconnected,3.387,79.600,21.240,99.91,99.91,25.318,0.000,0.000,0.000,3.377
1753179371.2009184,5,USB_disconnected,WLC_disconnected,3.391,50.800,21.240,99.91,99.91,25.318,0.000,0.000,0.000,3.377
1753179372.4007812,5,USB_disconnected,WLC_disconnected,3.387,50.800,21.139,99.91,99.91,25.318,0.000,0.000,0.000,3.396
1753179373.6003115,5,USB_disconnected,WLC_disconnected,3.387,50.000,21.139,99.90,99.90,25.318,0.000,0.000,0.000,3.396
1753179374.8006349,5,USB_disconnected,WLC_disconnected,3.387,76.400,21.240,99.90,99.90,25.318,0.000,0.000,0.000,3.371
1753179376.0005205,5,USB_disconnected,WLC_disconnected,3.387,48.400,21.139,99.90,99.90,25.318,0.000,0.000,0.000,3.365
1753179377.2003648,5,USB_disconnected,WLC_disconnected,3.387,44.400,21.240,99.90,99.90,25.318,0.000,0.000,0.000,3.365
