time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753234510.365629,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.648
1753234511.4498022,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.648
1753234512.5352125,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.648
1753234513.6200151,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.686
1753234514.7046583,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.661
1753234515.7892628,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,28.488,0.000,0.000,0.000,4.642
1753234516.8745775,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.686
1753234517.9591842,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753234519.0439842,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753234520.1284177,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.648
1753234521.213488,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234522.2986128,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234523.3832195,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.661
1753234524.4680586,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234525.5528612,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.655
1753234526.6379678,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.648
1753234527.7226431,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.648
1753234528.807238,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.692
1753234529.8921115,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.655
1753234530.9772327,5,USB_connected,WLC_disconnected,3.504,0.000,21.340,100.00,100.00,27.696,0.000,0.000,0.000,4.648
1753234532.0617435,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.661
1753234533.1460495,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234534.2313514,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.661
1753234535.3162198,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753234536.400855,5,USB_connected,WLC_disconnected,3.509,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234537.4857283,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753234538.5706618,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753234539.655596,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,28.488,0.000,0.000,0.000,4.642
1753234540.7402844,5,USB_connected,WLC_disconnected,3.509,0.000,21.340,100.00,100.00,27.696,0.000,0.000,0.000,4.686
1753234541.825048,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.686
1753234542.9097865,5,USB_connected,WLC_disconnected,3.509,0.000,21.340,100.00,100.00,27.696,0.000,0.000,0.000,4.655
1753234543.9948208,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753234545.0797822,5,USB_connected,WLC_disconnected,3.499,0.000,21.340,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753234546.164326,5,USB_connected,WLC_disconnected,3.499,0.000,21.441,100.00,100.00,28.488,0.000,0.000,0.000,4.661
1753234547.2489693,5,USB_connected,WLC_disconnected,3.504,0.000,21.340,100.00,100.00,26.111,0.000,0.000,0.000,4.661
1753234548.334052,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.686
1753234549.4190369,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.686
1753234550.5035765,5,USB_connected,WLC_disconnected,3.499,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234551.588328,5,USB_connected,WLC_disconnected,3.499,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753234552.673215,5,USB_connected,WLC_disconnected,3.499,0.000,21.441,100.00,100.00,26.903,0.000,0.000,0.000,4.686
1753234553.7580984,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.673
1753234554.8427558,5,USB_connected,WLC_disconnected,3.504,0.000,21.340,100.00,100.00,26.903,0.000,0.000,0.000,4.673
1753234555.9275656,5,USB_connected,WLC_disconnected,3.504,0.000,21.441,100.00,100.00,27.696,0.000,0.000,0.000,4.661
