time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753436945.7807474,5,USB_connected,WLC_disconnected,3.509,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436946.8815134,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436947.983125,5,USB_connected,WLC_disconnected,3.509,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.679
1753436949.0842988,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436950.1856084,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436951.2863379,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436952.3880954,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436953.489265,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436954.5906596,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436955.6920438,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436956.7932642,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436957.8946822,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436958.9960806,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436960.0971842,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436961.1982691,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436962.2996233,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,36.414,0.000,0.000,0.000,4.679
1753436963.4006188,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436964.501821,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436965.6028965,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436966.7045195,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436967.805756,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436968.9069874,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436970.0082347,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753436971.1094398,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436972.21072,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,36.414,0.000,0.000,0.000,4.661
1753436973.3121126,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436974.4134958,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436975.514675,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436976.615868,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.686
1753436977.7171535,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,36.414,0.000,0.000,0.000,4.667
1753436978.8181217,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436979.9193206,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436981.020716,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436982.1219487,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436983.2231908,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436984.3245475,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436985.4257574,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436986.5268035,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436987.628192,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436988.729515,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436989.8307328,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436990.9321494,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.679
1753436992.033341,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436993.1346323,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753436994.235726,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436995.337086,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436996.4382436,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436997.5393634,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436998.6407616,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753436999.742034,5,USB_connected,WLC_disconnected,3.504,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437000.843272,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437001.9440367,5,USB_connected,WLC_disconnected,3.499,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437003.0458136,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437004.14701,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437005.2482798,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,36.414,0.000,0.000,0.000,4.667
1753437006.34912,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437007.450472,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.679
1753437008.5521045,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437009.6535075,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437010.7546804,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437011.8559024,5,USB_connected,WLC_disconnected,3.499,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437012.9571247,5,USB_connected,WLC_disconnected,3.504,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437014.0583205,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437015.1597083,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437016.2607913,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437017.362035,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437018.4634144,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437019.5644033,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437020.6657386,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753437021.7670121,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.686
1753437022.8683074,5,USB_connected,WLC_disconnected,3.499,0.000,30.998,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753437023.9694684,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753437025.0706947,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753437026.1721287,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753437027.273437,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753437028.3746629,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,36.414,0.000,0.000,0.000,4.661
1753437029.475859,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753437030.5771098,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437031.6783092,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437032.7796156,5,USB_connected,WLC_disconnected,3.499,0.000,31.215,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437033.8806865,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437034.9818842,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437036.0831857,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.679
1753437037.1840844,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437038.2856486,5,USB_connected,WLC_disconnected,3.494,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437039.386843,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437040.4880717,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437041.5892334,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437042.6905966,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437043.7921956,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,36.414,0.000,0.000,0.000,4.667
1753437044.8934884,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437045.9947062,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753437047.0961072,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753437048.1972075,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753437049.298432,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753437050.3996189,5,USB_connected,WLC_disconnected,3.499,0.000,31.106,100.00,100.00,37.207,0.000,0.000,0.000,4.679
