time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752709899.1295037,5,USB_connected,WLC_disconnected,3.646,0.000,27.488,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709900.2350264,5,USB_connected,WLC_disconnected,3.641,0.000,27.383,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752709901.3356612,5,USB_connected,WLC_disconnected,3.636,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709902.4371383,5,USB_connected,WLC_disconnected,3.626,0.000,27.488,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709903.5383987,5,USB_connected,WLC_disconnected,3.621,0.000,27.488,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709904.6398787,5,USB_connected,WLC_disconnected,3.616,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709905.7410169,5,USB_connected,WLC_disconnected,3.616,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.617
1752709906.842369,5,USB_connected,WLC_disconnected,3.607,0.000,27.278,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752709907.9437256,5,USB_connected,WLC_disconnected,3.607,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709909.0448074,5,USB_connected,WLC_disconnected,3.602,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.617
1752709910.1464508,5,USB_connected,WLC_disconnected,3.602,0.000,27.488,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752709911.2477858,5,USB_connected,WLC_disconnected,3.597,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709912.3485303,5,USB_connected,WLC_disconnected,3.597,0.000,27.488,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709913.4499998,5,USB_connected,WLC_disconnected,3.592,0.000,27.278,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752709914.5512528,5,USB_connected,WLC_disconnected,3.587,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709915.6524408,5,USB_connected,WLC_disconnected,3.587,0.000,27.383,100.00,100.00,33.244,0.000,0.000,0.000,4.623
1752709916.7532399,5,USB_connected,WLC_disconnected,3.582,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709917.854771,5,USB_connected,WLC_disconnected,3.582,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.617
1752709918.9560487,5,USB_connected,WLC_disconnected,3.582,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709920.057132,5,USB_connected,WLC_disconnected,3.577,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709921.158624,5,USB_connected,WLC_disconnected,3.577,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709922.259671,5,USB_connected,WLC_disconnected,3.577,0.000,27.383,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752709923.361094,5,USB_connected,WLC_disconnected,3.572,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.617
1752709924.4625895,5,USB_connected,WLC_disconnected,3.567,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709925.564004,5,USB_connected,WLC_disconnected,3.567,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709926.6652095,5,USB_connected,WLC_disconnected,3.572,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709927.7662597,5,USB_connected,WLC_disconnected,3.567,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.617
1752709928.8671541,5,USB_connected,WLC_disconnected,3.567,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709929.9689083,5,USB_connected,WLC_disconnected,3.563,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709931.0699565,5,USB_connected,WLC_disconnected,3.563,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709932.1712003,5,USB_connected,WLC_disconnected,3.563,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709933.2724383,5,USB_connected,WLC_disconnected,3.558,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709934.373357,5,USB_connected,WLC_disconnected,3.558,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709935.474969,5,USB_connected,WLC_disconnected,3.563,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752709936.5761487,5,USB_connected,WLC_disconnected,3.558,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.605
1752709937.6774333,5,USB_connected,WLC_disconnected,3.558,0.000,27.383,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709938.7787373,5,USB_connected,WLC_disconnected,3.558,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752709939.8798103,5,USB_connected,WLC_disconnected,3.558,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709940.980897,5,USB_connected,WLC_disconnected,3.558,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709942.0824816,5,USB_connected,WLC_disconnected,3.558,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709943.1837957,5,USB_connected,WLC_disconnected,3.553,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709944.284992,5,USB_connected,WLC_disconnected,3.553,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709945.386181,5,USB_connected,WLC_disconnected,3.548,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709946.4876237,5,USB_connected,WLC_disconnected,3.548,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709947.5885189,5,USB_connected,WLC_disconnected,3.553,0.000,27.383,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709948.6898673,5,USB_connected,WLC_disconnected,3.548,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709949.7911108,5,USB_connected,WLC_disconnected,3.543,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709950.8923557,5,USB_connected,WLC_disconnected,3.548,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.617
1752709951.9936914,5,USB_connected,WLC_disconnected,3.548,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709953.0946786,5,USB_connected,WLC_disconnected,3.548,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709954.196102,5,USB_connected,WLC_disconnected,3.548,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752709955.2974901,5,USB_connected,WLC_disconnected,3.543,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709956.3986108,5,USB_connected,WLC_disconnected,3.538,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709957.4996765,5,USB_connected,WLC_disconnected,3.543,0.000,27.174,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709958.601004,5,USB_connected,WLC_disconnected,3.538,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709959.7025762,5,USB_connected,WLC_disconnected,3.538,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709960.803909,5,USB_connected,WLC_disconnected,3.538,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752709961.9051962,5,USB_connected,WLC_disconnected,3.543,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709963.0065663,5,USB_connected,WLC_disconnected,3.543,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709964.1079254,5,USB_connected,WLC_disconnected,3.538,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709965.2090683,5,USB_connected,WLC_disconnected,3.538,0.000,27.278,100.00,100.00,33.244,0.000,0.000,0.000,4.623
1752709966.3095467,5,USB_connected,WLC_disconnected,3.538,0.000,27.174,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709967.4112914,5,USB_connected,WLC_disconnected,3.538,0.000,27.174,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752709968.5125766,5,USB_connected,WLC_disconnected,3.538,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709969.6134658,5,USB_connected,WLC_disconnected,3.538,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709970.7150733,5,USB_connected,WLC_disconnected,3.538,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709971.8161895,5,USB_connected,WLC_disconnected,3.538,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752709972.9172146,5,USB_connected,WLC_disconnected,3.533,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709974.018704,5,USB_connected,WLC_disconnected,3.533,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709975.1200905,5,USB_connected,WLC_disconnected,3.533,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709976.2213058,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709977.3222387,5,USB_connected,WLC_disconnected,3.533,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709978.4233396,5,USB_connected,WLC_disconnected,3.528,0.000,27.278,100.00,100.00,32.451,0.000,0.000,0.000,4.686
1752709979.5090437,5,USB_connected,WLC_disconnected,3.533,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709980.6096888,5,USB_connected,WLC_disconnected,3.533,0.000,27.174,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709981.7114975,5,USB_connected,WLC_disconnected,3.533,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709982.8119402,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.617
1752709983.9132962,5,USB_connected,WLC_disconnected,3.528,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709985.0148304,5,USB_connected,WLC_disconnected,3.523,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709986.1159832,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,32.451,0.000,0.000,0.000,4.623
1752709987.2173448,5,USB_connected,WLC_disconnected,3.533,0.000,27.278,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709988.3185637,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709989.419973,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709990.5207152,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709991.6222153,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709992.7236946,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,33.244,0.000,0.000,0.000,4.623
1752709993.824718,5,USB_connected,WLC_disconnected,3.523,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.686
1752709994.9257085,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709996.0276027,5,USB_connected,WLC_disconnected,3.519,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709997.1288965,5,USB_connected,WLC_disconnected,3.528,0.000,27.174,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709998.2299972,5,USB_connected,WLC_disconnected,3.523,0.000,27.070,100.00,100.00,32.451,0.000,0.000,0.000,4.642
