time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753212860.4562383,5,USB_connected,WLC_disconnected,3.426,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.617
1753212861.6605034,5,USB_disconnected,WLC_disconnected,3.362,102.000,21.946,99.95,99.95,26.111,0.000,0.000,0.000,3.346
1753212862.860538,5,USB_disconnected,WLC_disconnected,3.357,154.400,21.946,99.93,99.93,25.318,0.000,0.000,0.000,3.346
1753212864.0604813,5,USB_disconnected,WLC_disconnected,3.362,148.400,21.946,99.92,99.92,25.318,0.000,0.000,0.000,3.333
1753212865.2602375,5,USB_disconnected,WLC_disconnected,3.352,153.200,21.946,99.91,99.91,26.111,0.000,0.000,0.000,3.321
1753212866.4595737,5,USB_disconnected,WLC_disconnected,3.362,156.800,21.946,99.90,99.90,26.111,0.000,0.000,0.000,3.321
1753212867.6598983,5,USB_disconnected,WLC_disconnected,3.347,124.000,21.946,99.89,99.89,25.318,0.000,0.000,0.000,3.327
1753212868.8597546,5,USB_disconnected,WLC_disconnected,3.343,100.400,21.845,99.89,99.89,25.318,0.000,0.000,0.000,3.315
1753212870.0596151,5,USB_disconnected,WLC_disconnected,3.347,124.400,21.845,99.88,99.88,25.318,0.000,0.000,0.000,3.315
1753212871.2595873,5,USB_disconnected,WLC_disconnected,3.352,149.600,21.946,99.87,99.87,25.318,0.000,0.000,0.000,3.309
1753212872.4592469,5,USB_disconnected,WLC_disconnected,3.338,154.800,21.845,99.86,99.86,25.318,0.000,0.000,0.000,3.309
1753212873.6591742,5,USB_disconnected,WLC_disconnected,3.343,89.200,21.845,99.86,99.86,25.318,0.000,0.000,0.000,3.309
1753212874.8592422,5,USB_disconnected,WLC_disconnected,3.338,146.000,21.946,99.86,99.86,25.318,0.000,0.000,0.000,3.302
1753212876.0590122,5,USB_disconnected,WLC_disconnected,3.338,145.600,21.946,99.85,99.85,25.318,0.000,0.000,0.000,3.315
1753212877.2589452,5,USB_disconnected,WLC_disconnected,3.333,150.000,21.845,99.84,99.84,25.318,0.000,0.000,0.000,3.315
1753212878.4588518,5,USB_disconnected,WLC_disconnected,3.338,153.600,21.845,99.84,99.84,25.318,0.000,0.000,0.000,3.315
1753212879.6587198,5,USB_disconnected,WLC_disconnected,3.333,150.800,21.946,99.84,99.84,25.318,0.000,0.000,0.000,3.296
1753212880.8586078,5,USB_disconnected,WLC_disconnected,3.328,146.400,21.845,99.83,99.83,25.318,0.000,0.000,0.000,3.296
1753212882.0585191,5,USB_disconnected,WLC_disconnected,3.333,154.400,21.845,99.82,99.82,25.318,0.000,0.000,0.000,3.296
1753212883.2582169,5,USB_disconnected,WLC_disconnected,3.328,154.000,21.946,99.82,99.82,25.318,0.000,0.000,0.000,3.302
