time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753252306.3814864,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.636
1753252307.480815,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.642
1753252308.5821908,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.667
1753252309.6833565,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
1753252310.7842803,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.655
1753252311.8855076,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.655
1753252312.986839,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
1753252314.0878334,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.642
1753252315.1892643,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.661
1753252316.2905598,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
1753252317.3918347,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.661
1753252318.49313,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
1753252319.5943685,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.642
1753252320.69553,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.655
1753252321.7968738,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
1753252322.8982158,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.661
1753252323.999197,5,USB_connected,WLC_disconnected,3.157,0.000,21.643,0.01,0.00,26.111,0.000,0.000,0.000,4.667
1753252325.100777,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.642
1753252326.2018096,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.642
1753252327.3031132,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.903,0.000,0.000,0.000,4.655
1753252328.404606,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.642
1753252329.505371,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
1753252330.606807,5,USB_connected,WLC_disconnected,3.157,0.000,21.744,0.01,0.00,26.111,0.000,0.000,0.000,4.648
