time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753370116.6456988,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.673
1753370117.7618518,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.679
1753370118.8788285,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.679
1753370119.9971387,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.698
1753370121.1149843,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.698
1753370122.232506,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.698
1753370123.3501537,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.711
1753370124.4676352,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753370125.5856998,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.698
1753370126.703608,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753370127.8209884,5,USB_connected,WLC_disconnected,3.157,0.000,15.940,0.00,0.00,19.770,0.000,0.000,0.000,4.679
1753370128.9385087,5,USB_connected,WLC_disconnected,3.157,0.000,16.140,0.00,0.00,18.977,0.000,0.000,0.000,4.711
1753370130.056256,5,USB_connected,WLC_disconnected,3.157,0.000,15.940,0.00,0.00,19.770,0.000,0.000,0.000,4.692
1753370131.1741457,5,USB_connected,WLC_disconnected,3.157,0.000,16.140,0.00,0.00,19.770,0.000,0.000,0.000,4.698
1753370132.291876,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753370133.409122,5,USB_connected,WLC_disconnected,3.152,0.000,16.140,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753370134.526957,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.679
1753370135.6448243,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.698
1753370136.7628832,5,USB_connected,WLC_disconnected,3.157,0.000,16.140,0.00,0.00,18.977,0.000,0.000,0.000,4.679
1753370137.879991,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.711
1753370138.9979985,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753370140.1156483,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.698
1753370141.2332668,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.698
1753370142.350805,5,USB_connected,WLC_disconnected,3.157,0.000,16.140,0.00,0.00,19.770,0.000,0.000,0.000,4.692
1753370143.468796,5,USB_connected,WLC_disconnected,3.157,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.679
1753370144.5861962,5,USB_connected,WLC_disconnected,3.157,0.000,16.140,0.00,0.00,19.770,0.000,0.000,0.000,4.667
1753370145.7038224,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,19.770,0.000,0.000,0.000,4.673
1753370146.8217478,5,USB_connected,WLC_disconnected,3.152,0.000,16.040,0.00,0.00,18.977,0.000,0.000,0.000,4.673
