time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753373721.6671977,5,USB_connected,WLC_disconnected,3.264,-189.675,16.140,0.48,0.48,26.903,0.000,0.000,0.000,4.256
1753373722.8670032,5,USB_connected,WLC_disconnected,3.269,-189.450,16.040,0.78,0.78,27.696,0.000,0.000,0.000,4.243
1753373724.0829904,5,USB_connected,WLC_disconnected,3.274,-189.225,16.140,0.98,0.98,29.281,0.000,0.000,0.000,4.250
1753373725.2830749,5,USB_connected,WLC_disconnected,3.279,-189.450,16.140,1.14,1.14,29.281,0.000,0.000,0.000,4.262
1753373726.4993176,5,USB_connected,WLC_disconnected,3.279,-189.675,16.140,1.29,1.29,30.866,0.000,0.000,0.000,4.250
1753373727.7157173,5,USB_connected,WLC_disconnected,3.279,-189.675,16.040,1.41,1.41,30.074,0.000,0.000,0.000,4.256
1753373728.9319646,5,USB_connected,WLC_disconnected,3.279,-189.675,16.140,1.52,1.52,30.074,0.000,0.000,0.000,4.243
1753373730.1484668,5,USB_connected,WLC_disconnected,3.284,-189.900,16.040,1.62,1.62,30.074,0.000,0.000,0.000,4.299
1753373731.3648157,5,USB_connected,WLC_disconnected,3.284,-190.125,16.140,1.71,1.71,30.866,0.000,0.000,0.000,4.287
1753373732.5808187,5,USB_connected,WLC_disconnected,3.289,-189.900,16.239,1.80,1.80,31.659,0.000,0.000,0.000,4.250
1753373733.7968173,5,USB_connected,WLC_disconnected,3.289,-188.775,16.239,1.88,1.88,30.866,0.000,0.000,0.000,4.250
1753373734.99701,5,USB_connected,WLC_disconnected,3.289,-189.675,16.538,1.96,1.96,32.451,0.000,0.000,0.000,4.262
1753373736.2135465,5,USB_connected,WLC_disconnected,3.294,-189.450,16.239,2.04,2.04,31.659,0.000,0.000,0.000,4.262
1753373737.4299688,5,USB_connected,WLC_disconnected,3.294,-189.225,16.239,2.11,2.11,31.659,0.000,0.000,0.000,4.262
1753373738.6461022,5,USB_connected,WLC_disconnected,3.294,-189.900,15.841,2.18,2.18,31.659,0.000,0.000,0.000,4.293
1753373739.8622875,5,USB_connected,WLC_disconnected,3.294,-188.550,16.239,2.25,2.25,32.451,0.000,0.000,0.000,4.256
1753373741.0785186,5,USB_connected,WLC_disconnected,3.294,-188.325,16.239,2.31,2.31,31.659,0.000,0.000,0.000,4.262
1753373742.2785268,5,USB_connected,WLC_disconnected,3.299,-188.775,16.239,2.38,2.38,32.451,0.000,0.000,0.000,4.262
1753373743.4949145,5,USB_connected,WLC_disconnected,3.299,-189.900,16.239,2.44,2.44,31.659,0.000,0.000,0.000,4.250
1753373744.7114716,5,USB_connected,WLC_disconnected,3.299,-189.675,16.339,2.51,2.51,31.659,0.000,0.000,0.000,4.299
1753373745.9276617,5,USB_connected,WLC_disconnected,3.299,-189.675,16.239,2.57,2.57,32.451,0.000,0.000,0.000,4.256
1753373747.1439373,5,USB_connected,WLC_disconnected,3.299,-190.125,16.339,2.63,2.63,32.451,0.000,0.000,0.000,4.256
1753373748.3600059,5,USB_connected,WLC_disconnected,3.304,-189.900,16.239,2.68,2.68,32.451,0.000,0.000,0.000,4.256
