time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753398256.9514983,5,USB_connected,WLC_disconnected,3.294,-189.900,17.336,0.66,0.66,32.451,0.000,0.000,0.000,4.256
1753398258.0855858,5,USB_connected,WLC_disconnected,3.299,-188.775,17.436,1.00,1.00,30.074,0.000,0.000,0.000,4.250
1753398259.219786,5,USB_connected,WLC_disconnected,3.304,-189.900,17.436,1.23,1.23,30.866,0.000,0.000,0.000,4.262
1753398260.3538837,5,USB_connected,WLC_disconnected,3.308,-189.675,17.436,1.43,1.43,30.866,0.000,0.000,0.000,4.262
1753398261.4881094,5,USB_connected,WLC_disconnected,3.308,-189.900,17.436,1.58,1.58,31.659,0.000,0.000,0.000,4.256
1753398262.6221743,5,USB_connected,WLC_disconnected,3.308,-190.350,17.436,1.71,1.71,32.451,0.000,0.000,0.000,4.287
1753398263.7564898,5,USB_connected,WLC_disconnected,3.313,-189.900,17.436,1.84,1.84,31.659,0.000,0.000,0.000,4.262
1753398264.890697,5,USB_connected,WLC_disconnected,3.318,-190.125,17.436,1.95,1.95,32.451,0.000,0.000,0.000,4.243
1753398266.0243685,5,USB_connected,WLC_disconnected,3.313,-190.125,17.436,2.05,2.05,32.451,0.000,0.000,0.000,4.262
1753398267.158808,5,USB_connected,WLC_disconnected,3.313,-190.125,17.436,2.15,2.15,34.037,0.000,0.000,0.000,4.287
1753398268.2930377,5,USB_connected,WLC_disconnected,3.313,-190.125,17.436,2.24,2.24,32.451,0.000,0.000,0.000,4.287
1753398269.426708,5,USB_connected,WLC_disconnected,3.313,-189.675,17.436,2.32,2.32,33.244,0.000,0.000,0.000,4.262
1753398270.5611727,5,USB_connected,WLC_disconnected,3.318,-190.125,17.436,2.41,2.41,34.037,0.000,0.000,0.000,4.256
1753398271.6952667,5,USB_connected,WLC_disconnected,3.318,-190.125,17.436,2.48,2.48,33.244,0.000,0.000,0.000,4.256
1753398272.8294232,5,USB_connected,WLC_disconnected,3.323,-189.675,17.436,2.56,2.56,33.244,0.000,0.000,0.000,4.256
1753398273.9635231,5,USB_connected,WLC_disconnected,3.318,-189.675,17.535,2.64,2.64,34.037,0.000,0.000,0.000,4.256
1753398275.0975318,5,USB_connected,WLC_disconnected,3.323,-189.675,17.436,2.71,2.71,33.244,0.000,0.000,0.000,4.256
1753398276.2320087,5,USB_connected,WLC_disconnected,3.323,-190.575,17.436,2.77,2.77,33.244,0.000,0.000,0.000,4.262
1753398277.365909,5,USB_connected,WLC_disconnected,3.323,-190.125,17.336,2.84,2.84,33.244,0.000,0.000,0.000,4.262
1753398278.4998553,5,USB_connected,WLC_disconnected,3.318,-190.125,17.436,2.91,2.91,33.244,0.000,0.000,0.000,4.256
1753398279.6339197,5,USB_connected,WLC_disconnected,3.318,-190.350,17.535,2.97,2.97,33.244,0.000,0.000,0.000,4.256
1753398280.7685513,5,USB_connected,WLC_disconnected,3.323,-190.800,17.436,3.04,3.04,34.037,0.000,0.000,0.000,4.268
1753398281.9020789,5,USB_connected,WLC_disconnected,3.323,-190.125,17.535,3.09,3.09,34.037,0.000,0.000,0.000,4.256
1753398283.0363607,5,USB_connected,WLC_disconnected,3.323,-190.350,17.436,3.15,3.15,34.037,0.000,0.000,0.000,4.312
1753398284.1708694,5,USB_connected,WLC_disconnected,3.328,-190.800,17.436,3.21,3.21,34.037,0.000,0.000,0.000,4.287
1753398285.304595,5,USB_connected,WLC_disconnected,3.323,-190.350,17.535,3.27,3.27,34.037,0.000,0.000,0.000,4.256
1753398286.438296,5,USB_connected,WLC_disconnected,3.323,-188.775,17.436,3.33,3.33,30.866,0.000,0.000,0.000,4.256
1753398287.5731487,5,USB_connected,WLC_disconnected,3.323,-190.125,17.535,3.38,3.38,34.037,0.000,0.000,0.000,4.256
1753398288.7070336,5,USB_connected,WLC_disconnected,3.328,-191.025,17.535,3.44,3.44,34.037,0.000,0.000,0.000,4.262
1753398289.8406937,5,USB_connected,WLC_disconnected,3.328,-190.575,17.635,3.49,3.49,34.037,0.000,0.000,0.000,4.262
1753398290.9752412,5,USB_connected,WLC_disconnected,3.328,-190.350,17.535,3.54,3.54,34.829,0.000,0.000,0.000,4.256
1753398292.1095273,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,3.59,3.59,34.037,0.000,0.000,0.000,4.293
1753398293.2435374,5,USB_connected,WLC_disconnected,3.323,-190.125,17.535,3.65,3.65,34.037,0.000,0.000,0.000,4.287
1753398294.3775537,5,USB_connected,WLC_disconnected,3.323,-189.675,17.436,3.69,3.69,31.659,0.000,0.000,0.000,4.256
1753398295.511874,5,USB_connected,WLC_disconnected,3.328,-189.900,17.535,3.74,3.74,34.037,0.000,0.000,0.000,4.262
1753398296.6456878,5,USB_connected,WLC_disconnected,3.328,-190.575,17.535,3.79,3.79,34.037,0.000,0.000,0.000,4.262
1753398297.7796829,5,USB_connected,WLC_disconnected,3.323,-190.350,17.535,3.84,3.84,34.037,0.000,0.000,0.000,4.299
1753398298.9142842,5,USB_connected,WLC_disconnected,3.328,-190.575,17.535,3.89,3.89,34.829,0.000,0.000,0.000,4.299
1753398300.0482135,5,USB_connected,WLC_disconnected,3.323,-190.350,17.535,3.93,3.93,34.829,0.000,0.000,0.000,4.256
1753398301.1819768,5,USB_connected,WLC_disconnected,3.328,-189.675,17.535,3.98,3.98,34.037,0.000,0.000,0.000,4.293
1753398302.3162577,5,USB_connected,WLC_disconnected,3.328,-189.675,17.535,4.02,4.02,34.037,0.000,0.000,0.000,4.287
1753398303.450497,5,USB_connected,WLC_disconnected,3.328,-188.775,17.535,4.07,4.07,34.037,0.000,0.000,0.000,4.262
1753398304.5846486,5,USB_connected,WLC_disconnected,3.333,-190.800,17.535,4.11,4.11,34.037,0.000,0.000,0.000,4.299
1753398305.718473,5,USB_connected,WLC_disconnected,3.328,-190.800,17.535,4.15,4.15,34.829,0.000,0.000,0.000,4.262
1753398306.8527617,5,USB_connected,WLC_disconnected,3.328,-189.675,17.535,4.20,4.20,34.829,0.000,0.000,0.000,4.268
1753398307.9870055,5,USB_connected,WLC_disconnected,3.328,-189.675,17.535,4.24,4.24,31.659,0.000,0.000,0.000,4.256
1753398309.153944,5,USB_connected,WLC_disconnected,3.328,-190.350,17.535,4.29,4.29,34.829,0.000,0.000,0.000,4.287
1753398310.2883663,5,USB_connected,WLC_disconnected,3.333,-190.350,17.635,4.33,4.33,34.829,0.000,0.000,0.000,4.262
1753398311.4220798,5,USB_connected,WLC_disconnected,3.333,-189.675,17.535,4.37,4.37,34.829,0.000,0.000,0.000,4.250
1753398312.556417,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,4.41,4.41,34.829,0.000,0.000,0.000,4.256
1753398313.6907597,5,USB_connected,WLC_disconnected,3.323,-190.125,17.535,4.45,4.45,34.829,0.000,0.000,0.000,4.299
1753398314.8407948,5,USB_connected,WLC_disconnected,3.333,-190.575,17.635,4.49,4.49,34.829,0.000,0.000,0.000,4.262
1753398315.9748337,5,USB_connected,WLC_disconnected,3.333,-190.125,17.535,4.53,4.53,34.037,0.000,0.000,0.000,4.256
1753398317.109508,5,USB_connected,WLC_disconnected,3.328,-189.675,17.635,4.57,4.57,34.037,0.000,0.000,0.000,4.256
1753398318.2597835,5,USB_connected,WLC_disconnected,3.333,-190.125,17.735,4.61,4.61,34.037,0.000,0.000,0.000,4.274
1753398319.3939636,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,4.64,4.64,34.829,0.000,0.000,0.000,4.293
1753398320.5280714,5,USB_connected,WLC_disconnected,3.333,-190.350,17.635,4.68,4.68,34.037,0.000,0.000,0.000,4.287
