time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753223428.6508965,5,USB_connected,WLC_disconnected,2.996,131.600,21.340,0.00,0.00,25.318,0.000,0.000,0.000,2.966
1753223429.7519526,5,USB_connected,WLC_disconnected,3.059,0.000,21.340,0.00,0.00,25.318,0.000,0.000,0.000,4.661
1753223430.8530538,5,USB_connected,WLC_disconnected,3.064,0.000,21.441,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223431.9545524,5,USB_connected,WLC_disconnected,3.079,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.692
1753223433.0559435,5,USB_connected,WLC_disconnected,3.079,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223434.1571467,5,USB_connected,WLC_disconnected,3.084,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.655
1753223435.2586432,5,USB_connected,WLC_disconnected,3.088,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.655
1753223436.3598924,5,USB_connected,WLC_disconnected,3.093,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.686
1753223437.4612398,5,USB_connected,WLC_disconnected,3.098,0.000,21.441,0.00,0.00,26.111,0.000,0.000,0.000,4.686
1753223438.5626438,5,USB_connected,WLC_disconnected,3.093,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.673
1753223439.6638708,5,USB_connected,WLC_disconnected,3.098,0.000,21.340,0.00,0.00,25.318,0.000,0.000,0.000,4.655
1753223440.764826,5,USB_connected,WLC_disconnected,3.098,0.000,21.441,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223441.8658261,5,USB_connected,WLC_disconnected,3.103,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.648
1753223442.967372,5,USB_connected,WLC_disconnected,3.103,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223444.0683305,5,USB_connected,WLC_disconnected,3.108,0.000,21.441,0.00,0.00,26.111,0.000,0.000,0.000,4.655
1753223445.1697574,5,USB_connected,WLC_disconnected,3.108,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223446.2706194,5,USB_connected,WLC_disconnected,3.108,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223447.372224,5,USB_connected,WLC_disconnected,3.108,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.673
1753223448.473606,5,USB_connected,WLC_disconnected,3.108,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.655
1753223449.574783,5,USB_connected,WLC_disconnected,3.113,0.000,21.441,0.00,0.00,25.318,0.000,0.000,0.000,4.686
1753223450.6757007,5,USB_connected,WLC_disconnected,3.113,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223451.7772906,5,USB_connected,WLC_disconnected,3.113,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.655
1753223452.8786986,5,USB_connected,WLC_disconnected,3.113,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223453.9799225,5,USB_connected,WLC_disconnected,3.113,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.648
1753223455.081031,5,USB_connected,WLC_disconnected,3.118,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223456.1826637,5,USB_connected,WLC_disconnected,3.118,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223457.283824,5,USB_connected,WLC_disconnected,3.118,0.000,21.340,0.00,0.00,27.696,0.000,0.000,0.000,4.655
1753223458.3848727,5,USB_connected,WLC_disconnected,3.118,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223459.4860077,5,USB_connected,WLC_disconnected,3.118,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223460.5872264,5,USB_connected,WLC_disconnected,3.118,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.655
1753223461.6886303,5,USB_connected,WLC_disconnected,3.118,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223462.7896485,5,USB_connected,WLC_disconnected,3.123,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223463.8911319,5,USB_connected,WLC_disconnected,3.123,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223464.9922626,5,USB_connected,WLC_disconnected,3.123,0.000,21.441,0.00,0.00,27.696,0.000,0.000,0.000,4.655
1753223466.0935552,5,USB_connected,WLC_disconnected,3.123,0.000,21.340,0.00,0.00,27.696,0.000,0.000,0.000,4.655
1753223467.1947749,5,USB_connected,WLC_disconnected,3.123,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223468.2960196,5,USB_connected,WLC_disconnected,3.118,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.673
1753223469.397305,5,USB_connected,WLC_disconnected,3.123,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223470.498473,5,USB_connected,WLC_disconnected,3.118,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.673
1753223471.5999608,5,USB_connected,WLC_disconnected,3.123,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223472.7012722,5,USB_connected,WLC_disconnected,3.128,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223473.8025174,5,USB_connected,WLC_disconnected,3.123,0.000,21.441,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223474.9037745,5,USB_connected,WLC_disconnected,3.128,0.000,21.340,0.00,0.00,26.111,0.000,0.000,0.000,4.648
1753223476.004777,5,USB_connected,WLC_disconnected,3.128,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223477.105921,5,USB_connected,WLC_disconnected,3.128,0.000,21.441,0.00,0.00,27.696,0.000,0.000,0.000,4.673
1753223478.2073345,5,USB_connected,WLC_disconnected,3.128,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.655
1753223479.3085945,5,USB_connected,WLC_disconnected,3.128,0.000,21.441,0.00,0.00,26.111,0.000,0.000,0.000,4.686
1753223480.409849,5,USB_connected,WLC_disconnected,3.128,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.673
1753223481.5110471,5,USB_connected,WLC_disconnected,3.128,0.000,21.340,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223482.6123505,5,USB_connected,WLC_disconnected,3.128,0.000,21.441,0.00,0.00,26.903,0.000,0.000,0.000,4.648
