time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753351734.7804668,5,USB_disconnected,WLC_disconnected,3.411,0.000,16.738,100.00,100.00,22.940,0.000,0.000,0.000,4.623
1753351735.9472892,5,USB_disconnected,WLC_disconnected,3.382,70.400,16.738,99.92,99.92,22.148,0.000,0.000,0.000,3.358
1753351737.1144476,5,USB_disconnected,WLC_disconnected,3.377,61.600,16.738,99.91,99.91,22.148,0.000,0.000,0.000,3.352
1753351738.2816932,5,USB_disconnected,WLC_disconnected,3.377,67.600,16.738,99.90,99.90,22.148,0.000,0.000,0.000,3.352
1753351739.448282,5,USB_disconnected,WLC_disconnected,3.377,63.200,16.738,99.89,99.89,22.148,0.000,0.000,0.000,3.352
1753351740.615946,5,USB_disconnected,WLC_disconnected,3.372,69.200,16.738,99.88,99.88,22.148,0.000,0.000,0.000,3.346
1753351741.78257,5,USB_disconnected,WLC_disconnected,3.372,67.600,16.738,99.87,99.87,22.148,0.000,0.000,0.000,3.352
1753351742.949944,5,USB_disconnected,WLC_disconnected,3.372,71.200,16.738,99.87,99.87,21.355,0.000,0.000,0.000,3.352
1753351744.1166873,5,USB_disconnected,WLC_disconnected,3.367,69.200,16.638,99.86,99.86,21.355,0.000,0.000,0.000,3.346
1753351745.2836208,5,USB_disconnected,WLC_disconnected,3.367,63.600,16.638,99.86,99.86,21.355,0.000,0.000,0.000,3.346
1753351746.4504423,5,USB_disconnected,WLC_disconnected,3.367,63.200,16.638,99.85,99.85,21.355,0.000,0.000,0.000,3.346
1753351747.6176112,5,USB_disconnected,WLC_disconnected,3.367,62.800,16.638,99.85,99.85,21.355,0.000,0.000,0.000,3.340
1753351748.784588,5,USB_disconnected,WLC_disconnected,3.367,67.600,16.738,99.84,99.84,21.355,0.000,0.000,0.000,3.346
1753351749.9519339,5,USB_disconnected,WLC_disconnected,3.362,60.400,16.638,99.84,99.84,21.355,0.000,0.000,0.000,3.340
1753351751.1186404,5,USB_disconnected,WLC_disconnected,3.362,67.600,16.638,99.83,99.83,21.355,0.000,0.000,0.000,3.346
1753351752.2856286,5,USB_disconnected,WLC_disconnected,3.362,76.800,16.638,99.83,99.83,21.355,0.000,0.000,0.000,3.340
1753351753.4526525,5,USB_disconnected,WLC_disconnected,3.362,65.600,16.638,99.82,99.82,21.355,0.000,0.000,0.000,3.333
1753351754.6195776,5,USB_disconnected,WLC_disconnected,3.362,67.200,16.638,99.82,99.82,21.355,0.000,0.000,0.000,3.340
1753351755.7866066,5,USB_disconnected,WLC_disconnected,3.362,67.200,16.638,99.82,99.82,21.355,0.000,0.000,0.000,3.340
1753351756.9533737,5,USB_disconnected,WLC_disconnected,3.357,68.800,16.638,99.82,99.82,21.355,0.000,0.000,0.000,3.333
1753351758.1205618,5,USB_disconnected,WLC_disconnected,3.362,68.800,16.638,99.81,99.81,21.355,0.000,0.000,0.000,3.340
1753351759.2876637,5,USB_disconnected,WLC_disconnected,3.357,63.600,16.638,99.81,99.81,21.355,0.000,0.000,0.000,3.333
1753351760.4547737,5,USB_disconnected,WLC_disconnected,3.357,66.400,16.638,99.80,99.80,20.562,0.000,0.000,0.000,3.333
1753351761.6214907,5,USB_disconnected,WLC_disconnected,3.352,62.000,16.638,99.80,99.80,21.355,0.000,0.000,0.000,3.333
1753351762.787977,5,USB_disconnected,WLC_disconnected,3.352,62.000,16.638,99.79,99.79,20.562,0.000,0.000,0.000,3.333
1753351763.955842,5,USB_disconnected,WLC_disconnected,3.352,65.600,16.638,99.79,99.79,20.562,0.000,0.000,0.000,3.327
1753351765.122492,5,USB_disconnected,WLC_disconnected,3.352,62.800,16.538,99.79,99.79,20.562,0.000,0.000,0.000,3.333
1753351766.2895718,5,USB_disconnected,WLC_disconnected,3.352,63.200,16.638,99.78,99.78,20.562,0.000,0.000,0.000,3.333
