time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753405409.3327923,5,USB_connected,WLC_disconnected,3.499,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405410.4335988,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405411.5353627,5,USB_connected,WLC_disconnected,3.499,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.698
1753405412.6366675,5,USB_connected,WLC_disconnected,3.499,0.000,17.136,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753405413.7377393,5,USB_connected,WLC_disconnected,3.499,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405414.8391213,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405415.9403667,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405417.0416832,5,USB_connected,WLC_disconnected,3.494,0.000,17.236,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405418.1428807,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405419.2440915,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405420.3455918,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405421.44653,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405422.5479922,5,USB_connected,WLC_disconnected,3.489,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405423.649174,5,USB_connected,WLC_disconnected,3.494,0.000,17.236,100.00,100.00,23.733,0.000,0.000,0.000,4.642
1753405424.7504253,5,USB_connected,WLC_disconnected,3.499,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405425.851201,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405426.9528027,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405428.0542092,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405429.1554904,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405430.256665,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,23.733,0.000,0.000,0.000,4.642
1753405431.3578134,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405432.4590847,5,USB_connected,WLC_disconnected,3.489,0.000,17.136,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405433.5605378,5,USB_connected,WLC_disconnected,3.494,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405434.6617296,5,USB_connected,WLC_disconnected,3.489,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405435.7629416,5,USB_connected,WLC_disconnected,3.494,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405436.8641024,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405437.9653504,5,USB_connected,WLC_disconnected,3.489,0.000,17.136,100.00,100.00,24.525,0.000,0.000,0.000,4.636
1753405439.0668035,5,USB_connected,WLC_disconnected,3.484,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.648
1753405440.1682382,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405441.2695663,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405442.3706443,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.642
1753405443.4716244,5,USB_connected,WLC_disconnected,3.489,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405444.573018,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405445.6742902,5,USB_connected,WLC_disconnected,3.489,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405446.7755976,5,USB_connected,WLC_disconnected,3.484,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405447.8766508,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405448.9779015,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405450.0789316,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405451.180269,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405452.2816794,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405453.3827448,5,USB_connected,WLC_disconnected,3.484,0.000,17.136,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405454.4843225,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405455.585725,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405456.686559,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405457.788194,5,USB_connected,WLC_disconnected,3.489,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405458.8892362,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405460.0066283,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405461.108321,5,USB_connected,WLC_disconnected,3.484,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405462.2094288,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405463.310721,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405464.4119961,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405465.512987,5,USB_connected,WLC_disconnected,3.484,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405466.6145337,5,USB_connected,WLC_disconnected,3.484,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405467.7156162,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405468.8168437,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405469.9178636,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405471.0192535,5,USB_connected,WLC_disconnected,3.484,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405472.1206443,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405473.221939,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.655
1753405474.3234468,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405475.4246957,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405476.526004,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405477.6272116,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405478.7286475,5,USB_connected,WLC_disconnected,3.484,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405479.8296163,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405480.9307296,5,USB_connected,WLC_disconnected,3.484,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405482.0317655,5,USB_connected,WLC_disconnected,3.484,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405483.1332731,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405484.2343588,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405485.3356566,5,USB_connected,WLC_disconnected,3.484,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405486.4365299,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405487.538087,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.686
1753405488.639602,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405489.7408068,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.648
1753405490.8421142,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405491.943276,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405493.044372,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405494.1458204,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405495.246924,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405496.348455,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405497.4495761,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405498.5506403,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405499.6519823,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405500.7529016,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405501.8544614,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405502.9558592,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405504.0567472,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405505.1582258,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405506.2594717,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405507.3608098,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405508.4620984,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405509.563385,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405510.6647744,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405511.7659886,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405512.8670514,5,USB_connected,WLC_disconnected,3.479,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405513.9686513,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405515.0861573,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753405516.187457,5,USB_connected,WLC_disconnected,3.479,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405517.288802,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405518.3897777,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405519.4908695,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405520.5923312,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405521.6936064,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.148,0.000,0.000,0.000,4.655
1753405522.7946732,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405523.8961189,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405524.9971173,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405526.0983083,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405527.1998665,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405528.3010046,5,USB_connected,WLC_disconnected,3.475,0.000,17.136,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405529.401914,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.630
1753405530.5035052,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405531.604866,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405532.7062817,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405533.807329,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405534.908683,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405536.009674,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405537.110784,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.642
1753405538.2122808,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.648
1753405539.3136046,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405540.4147964,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.655
1753405541.5160296,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405542.617208,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405543.7182257,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405544.8196733,5,USB_connected,WLC_disconnected,3.470,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.698
1753405545.9210796,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405547.0221443,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405548.1238484,5,USB_connected,WLC_disconnected,3.475,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405549.2250311,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753405550.3263144,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.655
1753405551.4277377,5,USB_connected,WLC_disconnected,3.470,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405552.5289245,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.148,0.000,0.000,0.000,4.686
1753405553.629675,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405554.7309551,5,USB_connected,WLC_disconnected,3.470,0.000,17.037,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405555.832025,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753405556.9335449,5,USB_connected,WLC_disconnected,3.475,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.642
1753405558.03473,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405559.1361113,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.642
1753405560.2371123,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405561.3384733,5,USB_connected,WLC_disconnected,3.470,0.000,16.837,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405562.4399006,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405563.541011,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753405564.6424363,5,USB_connected,WLC_disconnected,3.470,0.000,17.037,100.00,100.00,24.525,0.000,0.000,0.000,4.630
1753405565.743524,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753405566.8448782,5,USB_connected,WLC_disconnected,3.465,0.000,16.837,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753405567.9459548,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,24.525,0.000,0.000,0.000,4.630
1753405569.047569,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,23.733,0.000,0.000,0.000,4.661
1753405570.1486518,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753405571.2499442,5,USB_connected,WLC_disconnected,3.470,0.000,17.037,100.00,100.00,23.733,0.000,0.000,0.000,4.636
1753405572.35096,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.648
1753405573.452314,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.648
1753405574.5535972,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,22.940,0.000,0.000,0.000,4.648
1753405575.654578,5,USB_connected,WLC_disconnected,3.470,0.000,16.937,100.00,100.00,24.525,0.000,0.000,0.000,4.661
