time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753407210.2251391,5,USB_connected,WLC_disconnected,3.421,0.000,16.837,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753407211.8361795,5,USB_disconnected,WLC_disconnected,3.347,172.800,16.937,99.95,99.95,22.148,0.000,0.000,0.000,3.302
1753407213.0690691,5,USB_disconnected,WLC_disconnected,3.338,166.000,16.937,99.93,99.93,22.940,0.000,0.000,0.000,3.296
1753407214.3019562,5,USB_disconnected,WLC_disconnected,3.333,177.600,16.937,99.92,99.92,22.940,0.000,0.000,0.000,3.290
1753407215.534563,5,USB_disconnected,WLC_disconnected,3.328,176.800,16.837,99.91,99.91,22.148,0.000,0.000,0.000,3.284
1753407216.7674665,5,USB_disconnected,WLC_disconnected,3.328,170.800,16.837,99.90,99.90,22.148,0.000,0.000,0.000,3.284
1753407218.0000243,5,USB_disconnected,WLC_disconnected,3.323,166.000,16.937,99.89,99.89,22.148,0.000,0.000,0.000,3.284
1753407219.2325768,5,USB_disconnected,WLC_disconnected,3.318,182.400,16.937,99.88,99.88,22.148,0.000,0.000,0.000,3.277
1753407220.4656975,5,USB_disconnected,WLC_disconnected,3.318,168.800,16.937,99.88,99.88,22.148,0.000,0.000,0.000,3.277
1753407221.6982431,5,USB_disconnected,WLC_disconnected,3.313,179.200,16.937,99.87,99.87,22.148,0.000,0.000,0.000,3.271
1753407222.9315348,5,USB_disconnected,WLC_disconnected,3.308,182.800,16.937,99.86,99.86,22.148,0.000,0.000,0.000,3.271
1753407224.1640234,5,USB_disconnected,WLC_disconnected,3.308,174.000,16.937,99.85,99.85,22.148,0.000,0.000,0.000,3.265
1753407225.3967304,5,USB_disconnected,WLC_disconnected,3.308,176.000,16.937,99.84,99.84,22.148,0.000,0.000,0.000,3.265
1753407226.6297073,5,USB_disconnected,WLC_disconnected,3.304,171.600,16.937,99.83,99.83,22.148,0.000,0.000,0.000,3.265
1753407227.8622408,5,USB_disconnected,WLC_disconnected,3.304,166.000,16.937,99.83,99.83,22.148,0.000,0.000,0.000,3.259
1753407229.0949771,5,USB_disconnected,WLC_disconnected,3.299,172.000,16.937,99.82,99.82,22.148,0.000,0.000,0.000,3.259
1753407230.3277063,5,USB_disconnected,WLC_disconnected,3.299,174.400,16.937,99.81,99.81,22.148,0.000,0.000,0.000,3.259
1753407231.5603669,5,USB_disconnected,WLC_disconnected,3.299,182.400,16.937,99.80,99.80,22.148,0.000,0.000,0.000,3.259
1753407232.7930942,5,USB_disconnected,WLC_disconnected,3.299,177.600,16.937,99.80,99.80,22.148,0.000,0.000,0.000,3.252
1753407234.0258915,5,USB_disconnected,WLC_disconnected,3.294,176.800,16.937,99.79,99.79,22.148,0.000,0.000,0.000,3.252
1753407235.2582564,5,USB_disconnected,WLC_disconnected,3.294,175.200,16.937,99.78,99.78,22.148,0.000,0.000,0.000,3.252
1753407236.4916742,5,USB_disconnected,WLC_disconnected,3.294,174.000,16.937,99.77,99.77,22.148,0.000,0.000,0.000,3.252
1753407237.7241592,5,USB_disconnected,WLC_disconnected,3.289,179.600,16.937,99.77,99.77,22.148,0.000,0.000,0.000,3.246
1753407238.9567788,5,USB_disconnected,WLC_disconnected,3.289,175.600,16.937,99.76,99.76,22.148,0.000,0.000,0.000,3.252
1753407240.1897864,5,USB_disconnected,WLC_disconnected,3.289,170.800,16.937,99.75,99.75,22.148,0.000,0.000,0.000,3.246
1753407241.4224682,5,USB_disconnected,WLC_disconnected,3.284,179.200,16.937,99.74,99.74,22.148,0.000,0.000,0.000,3.246
1753407242.6549568,5,USB_disconnected,WLC_disconnected,3.284,161.200,16.937,99.73,99.73,22.148,0.000,0.000,0.000,3.252
1753407243.8876622,5,USB_disconnected,WLC_disconnected,3.284,163.200,16.937,99.72,99.72,22.148,0.000,0.000,0.000,3.246
1753407245.120458,5,USB_disconnected,WLC_disconnected,3.284,172.000,16.937,99.71,99.71,22.148,0.000,0.000,0.000,3.240
1753407246.353371,5,USB_disconnected,WLC_disconnected,3.284,179.200,16.937,99.71,99.71,22.148,0.000,0.000,0.000,3.240
1753407247.5859149,5,USB_disconnected,WLC_disconnected,3.279,174.800,16.937,99.70,99.70,22.148,0.000,0.000,0.000,3.234
1753407248.8187263,5,USB_disconnected,WLC_disconnected,3.279,174.400,16.937,99.69,99.69,22.148,0.000,0.000,0.000,3.234
1753407250.051679,5,USB_disconnected,WLC_disconnected,3.279,179.200,16.937,99.68,99.68,22.148,0.000,0.000,0.000,3.234
1753407251.2842689,5,USB_disconnected,WLC_disconnected,3.274,176.800,16.937,99.67,99.67,22.148,0.000,0.000,0.000,3.234
1753407252.5171344,5,USB_disconnected,WLC_disconnected,3.274,173.600,16.937,99.66,99.66,22.148,0.000,0.000,0.000,3.228
1753407253.7499876,5,USB_disconnected,WLC_disconnected,3.274,174.800,16.937,99.65,99.65,22.148,0.000,0.000,0.000,3.228
1753407254.9826667,5,USB_disconnected,WLC_disconnected,3.274,176.800,16.937,99.65,99.65,22.148,0.000,0.000,0.000,3.234
1753407256.2154288,5,USB_disconnected,WLC_disconnected,3.274,177.200,16.937,99.64,99.64,22.148,0.000,0.000,0.000,3.228
1753407257.4482844,5,USB_disconnected,WLC_disconnected,3.269,182.000,16.937,99.63,99.63,22.148,0.000,0.000,0.000,3.228
1753407258.680778,5,USB_disconnected,WLC_disconnected,3.269,179.600,16.937,99.62,99.62,22.148,0.000,0.000,0.000,3.228
1753407259.913616,5,USB_disconnected,WLC_disconnected,3.269,175.200,16.937,99.61,99.61,22.148,0.000,0.000,0.000,3.228
1753407261.1462994,5,USB_disconnected,WLC_disconnected,3.264,185.600,16.937,99.60,99.60,22.148,0.000,0.000,0.000,3.228
1753407262.3790345,5,USB_disconnected,WLC_disconnected,3.269,172.400,16.937,99.59,99.59,22.148,0.000,0.000,0.000,3.221
1753407263.6119745,5,USB_disconnected,WLC_disconnected,3.264,176.400,16.937,99.58,99.58,22.148,0.000,0.000,0.000,3.221
1753407264.8443956,5,USB_disconnected,WLC_disconnected,3.264,182.800,16.937,99.57,99.57,22.148,0.000,0.000,0.000,3.221
1753407266.0771844,5,USB_disconnected,WLC_disconnected,3.264,175.200,16.937,99.55,99.55,22.148,0.000,0.000,0.000,3.221
1753407267.310136,5,USB_disconnected,WLC_disconnected,3.264,180.000,16.937,99.55,99.55,22.148,0.000,0.000,0.000,3.221
1753407268.5427682,5,USB_disconnected,WLC_disconnected,3.260,182.000,16.937,99.53,99.53,22.148,0.000,0.000,0.000,3.215
1753407269.7755952,5,USB_disconnected,WLC_disconnected,3.264,175.200,16.937,99.52,99.52,22.148,0.000,0.000,0.000,3.221
1753407271.0081682,5,USB_disconnected,WLC_disconnected,3.260,176.400,16.937,99.51,99.51,22.148,0.000,0.000,0.000,3.215
1753407272.241014,5,USB_disconnected,WLC_disconnected,3.260,182.000,16.937,99.50,99.50,22.148,0.000,0.000,0.000,3.215
1753407273.4740002,5,USB_disconnected,WLC_disconnected,3.260,180.000,16.937,99.49,99.49,21.355,0.000,0.000,0.000,3.215
1753407274.7061076,5,USB_disconnected,WLC_disconnected,3.260,175.600,16.937,99.48,99.48,22.148,0.000,0.000,0.000,3.215
1753407275.9387994,5,USB_disconnected,WLC_disconnected,3.260,178.400,16.937,99.47,99.47,22.148,0.000,0.000,0.000,3.221
1753407277.1724396,5,USB_disconnected,WLC_disconnected,3.260,179.600,16.937,99.46,99.46,22.148,0.000,0.000,0.000,3.221
1753407278.4047878,5,USB_disconnected,WLC_disconnected,3.260,180.400,16.937,99.45,99.45,22.148,0.000,0.000,0.000,3.221
1753407279.6375682,5,USB_disconnected,WLC_disconnected,3.260,186.400,16.937,99.44,99.44,22.148,0.000,0.000,0.000,3.209
1753407280.8704865,5,USB_disconnected,WLC_disconnected,3.260,175.200,16.937,99.43,99.43,22.148,0.000,0.000,0.000,3.215
1753407282.102985,5,USB_disconnected,WLC_disconnected,3.255,176.400,16.937,99.41,99.41,22.148,0.000,0.000,0.000,3.209
1753407283.3356278,5,USB_disconnected,WLC_disconnected,3.255,182.800,16.937,99.40,99.40,22.148,0.000,0.000,0.000,3.209
1753407284.5686214,5,USB_disconnected,WLC_disconnected,3.255,175.200,16.937,99.39,99.39,22.148,0.000,0.000,0.000,3.215
1753407285.801063,5,USB_disconnected,WLC_disconnected,3.255,179.200,16.937,99.38,99.38,22.148,0.000,0.000,0.000,3.215
1753407287.0339336,5,USB_disconnected,WLC_disconnected,3.250,182.800,17.037,99.37,99.37,22.148,0.000,0.000,0.000,3.209
1753407288.2668552,5,USB_disconnected,WLC_disconnected,3.255,180.000,16.937,99.36,99.36,22.148,0.000,0.000,0.000,3.209
1753407289.4992883,5,USB_disconnected,WLC_disconnected,3.250,174.400,16.937,99.34,99.34,22.148,0.000,0.000,0.000,3.209
1753407290.7325804,5,USB_disconnected,WLC_disconnected,3.250,178.400,17.037,99.33,99.33,22.148,0.000,0.000,0.000,3.203
1753407291.9649894,5,USB_disconnected,WLC_disconnected,3.250,176.800,17.037,99.32,99.32,22.148,0.000,0.000,0.000,3.209
1753407293.1975648,5,USB_disconnected,WLC_disconnected,3.250,178.400,17.037,99.31,99.31,22.148,0.000,0.000,0.000,3.203
1753407294.4307284,5,USB_disconnected,WLC_disconnected,3.250,175.600,17.037,99.29,99.29,22.148,0.000,0.000,0.000,3.209
