time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753515659.718633,5,USB_connected,WLC_disconnected,3.186,-189.225,30.998,0.32,0.32,45.926,0.000,0.000,0.000,4.324
1753515660.9019227,5,USB_connected,WLC_disconnected,3.191,-189.900,31.323,0.53,0.53,46.718,0.000,0.000,0.000,4.337
1753515662.0854452,5,USB_connected,WLC_disconnected,3.196,-188.775,31.432,0.68,0.68,47.511,0.000,0.000,0.000,4.337
1753515663.2692153,5,USB_connected,WLC_disconnected,3.196,-188.775,31.432,0.80,0.80,47.511,0.000,0.000,0.000,4.387
1753515664.4689445,5,USB_connected,WLC_disconnected,3.201,-189.675,31.432,0.90,0.90,48.303,0.000,0.000,0.000,4.337
1753515665.6523638,5,USB_connected,WLC_disconnected,3.201,-189.675,31.432,0.99,0.99,48.303,0.000,0.000,0.000,4.331
1753515666.835364,5,USB_connected,WLC_disconnected,3.201,-189.225,31.432,1.07,1.07,48.303,0.000,0.000,0.000,4.324
1753515668.0354655,5,USB_connected,WLC_disconnected,3.206,-189.450,31.432,1.15,1.15,49.096,0.000,0.000,0.000,4.337
1753515669.2186787,5,USB_connected,WLC_disconnected,3.206,-188.775,31.432,1.22,1.22,49.096,0.000,0.000,0.000,4.324
1753515670.4186513,5,USB_connected,WLC_disconnected,3.211,-189.900,31.541,1.28,1.28,49.889,0.000,0.000,0.000,4.324
1753515671.6022947,5,USB_connected,WLC_disconnected,3.211,-189.675,31.432,1.35,1.35,49.889,0.000,0.000,0.000,4.337
1753515672.785665,5,USB_connected,WLC_disconnected,3.211,-188.775,31.432,1.41,1.41,52.266,0.000,0.000,0.000,4.331
1753515673.9856272,5,USB_connected,WLC_disconnected,3.211,-189.675,31.541,1.46,1.46,49.889,0.000,0.000,0.000,4.362
1753515675.1855612,5,USB_connected,WLC_disconnected,3.211,-189.900,31.432,1.52,1.52,47.511,0.000,0.000,0.000,4.337
1753515676.3853493,5,USB_connected,WLC_disconnected,3.216,-189.450,31.432,1.57,1.57,50.681,0.000,0.000,0.000,4.337
1753515677.5689147,5,USB_connected,WLC_disconnected,3.216,-189.225,31.541,1.62,1.62,49.889,0.000,0.000,0.000,4.324
1753515678.7524068,5,USB_connected,WLC_disconnected,3.216,-189.675,31.541,1.67,1.67,49.889,0.000,0.000,0.000,4.331
1753515679.935544,5,USB_connected,WLC_disconnected,3.216,-189.900,31.541,1.72,1.72,50.681,0.000,0.000,0.000,4.324
1753515681.1189008,5,USB_connected,WLC_disconnected,3.220,-189.900,31.541,1.76,1.76,50.681,0.000,0.000,0.000,4.331
1753515682.302398,5,USB_connected,WLC_disconnected,3.220,-189.675,31.541,1.81,1.81,50.681,0.000,0.000,0.000,4.324
1753515683.4858844,5,USB_connected,WLC_disconnected,3.220,-189.675,31.541,1.85,1.85,51.474,0.000,0.000,0.000,4.331
1753515684.6695871,5,USB_connected,WLC_disconnected,3.216,-189.900,31.541,1.90,1.90,51.474,0.000,0.000,0.000,4.324
1753515685.853086,5,USB_connected,WLC_disconnected,3.225,-189.900,31.650,1.94,1.94,50.681,0.000,0.000,0.000,4.324
1753515687.0529406,5,USB_connected,WLC_disconnected,3.225,-189.900,31.541,1.98,1.98,50.681,0.000,0.000,0.000,4.331
1753515688.2361314,5,USB_connected,WLC_disconnected,3.225,-189.900,31.650,2.02,2.02,50.681,0.000,0.000,0.000,4.324
1753515689.419519,5,USB_connected,WLC_disconnected,3.225,-189.900,31.541,2.06,2.06,51.474,0.000,0.000,0.000,4.331
1753515690.6031518,5,USB_connected,WLC_disconnected,3.225,-188.775,31.650,2.10,2.10,50.681,0.000,0.000,0.000,4.331
1753515691.7864625,5,USB_connected,WLC_disconnected,3.230,-188.775,31.650,2.14,2.14,51.474,0.000,0.000,0.000,4.393
1753515692.9864545,5,USB_connected,WLC_disconnected,3.230,-189.675,31.650,2.18,2.18,51.474,0.000,0.000,0.000,4.331
1753515694.1863098,5,USB_connected,WLC_disconnected,3.225,-190.125,31.650,2.22,2.22,51.474,0.000,0.000,0.000,4.324
1753515695.3859348,5,USB_connected,WLC_disconnected,3.230,-189.900,31.650,2.26,2.26,52.266,0.000,0.000,0.000,4.324
1753515696.5861113,5,USB_connected,WLC_disconnected,3.230,-189.675,31.650,2.29,2.29,51.474,0.000,0.000,0.000,4.393
1753515697.7858832,5,USB_connected,WLC_disconnected,3.235,-189.900,31.541,2.33,2.33,52.266,0.000,0.000,0.000,4.331
1753515698.9856925,5,USB_connected,WLC_disconnected,3.235,-189.675,31.541,2.37,2.37,51.474,0.000,0.000,0.000,4.387
1753515700.1694415,5,USB_connected,WLC_disconnected,3.230,-190.125,31.650,2.40,2.40,52.266,0.000,0.000,0.000,4.331
1753515701.352715,5,USB_connected,WLC_disconnected,3.235,-189.900,31.650,2.43,2.43,52.266,0.000,0.000,0.000,4.331
1753515702.5360532,5,USB_connected,WLC_disconnected,3.235,-189.900,31.650,2.47,2.47,51.474,0.000,0.000,0.000,4.337
1753515703.7196736,5,USB_connected,WLC_disconnected,3.240,-189.900,31.650,2.50,2.50,51.474,0.000,0.000,0.000,4.331
1753515704.9029486,5,USB_connected,WLC_disconnected,3.240,-189.900,31.650,2.54,2.54,52.266,0.000,0.000,0.000,4.337
1753515706.1027815,5,USB_connected,WLC_disconnected,3.240,-190.350,31.650,2.57,2.57,52.266,0.000,0.000,0.000,4.337
1753515707.3026345,5,USB_connected,WLC_disconnected,3.240,-190.125,31.650,2.61,2.61,52.266,0.000,0.000,0.000,4.324
1753515708.502748,5,USB_connected,WLC_disconnected,3.240,-189.675,31.759,2.64,2.64,52.266,0.000,0.000,0.000,4.324
1753515709.7026346,5,USB_connected,WLC_disconnected,3.245,-189.900,31.650,2.67,2.67,52.266,0.000,0.000,0.000,4.331
1753515710.885866,5,USB_connected,WLC_disconnected,3.240,-190.125,31.650,2.70,2.70,52.266,0.000,0.000,0.000,4.362
1753515712.069637,5,USB_connected,WLC_disconnected,3.245,-189.900,31.650,2.74,2.74,52.266,0.000,0.000,0.000,4.331
1753515713.2531273,5,USB_connected,WLC_disconnected,3.245,-190.125,31.759,2.77,2.77,52.266,0.000,0.000,0.000,4.324
1753515714.4360604,5,USB_connected,WLC_disconnected,3.245,-190.350,31.759,2.80,2.80,52.266,0.000,0.000,0.000,4.331
1753515715.6362667,5,USB_connected,WLC_disconnected,3.245,-190.125,31.759,2.83,2.83,52.266,0.000,0.000,0.000,4.331
