time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752698582.2774382,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.723
1752698583.3785462,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.736
1752698584.479772,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.723
1752698585.5813513,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.729
1752698586.682716,5,USB_connected,WLC_disconnected,3.074,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.723
1752698587.7840645,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,30.074,0.000,0.000,0.000,4.736
1752698588.8853297,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,30.866,0.000,0.000,0.000,4.717
1752698589.9863057,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.717
1752698591.087908,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.723
1752698592.1891706,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.723
1752698593.2903178,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.717
1752698594.391601,5,USB_connected,WLC_disconnected,3.074,0.000,25.824,0.00,0.00,30.074,0.000,0.000,0.000,4.723
1752698595.4926066,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752698596.5938568,5,USB_connected,WLC_disconnected,3.074,0.000,25.824,0.00,0.00,30.074,0.000,0.000,0.000,4.717
1752698597.695277,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.729
1752698598.7963245,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,30.866,0.000,0.000,0.000,4.729
1752698599.897599,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.711
1752698600.998722,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752698602.1001587,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752698603.2013795,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.723
1752698604.302368,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752698605.4040563,5,USB_connected,WLC_disconnected,3.074,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.742
1752698606.5052402,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.736
1752698607.6066892,5,USB_connected,WLC_disconnected,3.064,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752698608.7079043,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.729
1752698609.8091965,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.723
1752698610.9099782,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752698612.0113,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.723
1752698613.1126876,5,USB_connected,WLC_disconnected,3.074,0.000,25.927,0.00,0.00,30.074,0.000,0.000,0.000,4.736
1752698614.2138932,5,USB_connected,WLC_disconnected,3.069,0.000,25.927,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752698615.3151083,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,30.074,0.000,0.000,0.000,4.729
1752698616.416065,5,USB_connected,WLC_disconnected,3.069,0.000,25.824,0.00,0.00,29.281,0.000,0.000,0.000,4.704
