time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752709899.2149007,5,USB_connected,WLC_disconnected,3.489,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709900.3159695,5,USB_connected,WLC_disconnected,3.489,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.648
1752709901.4173646,5,USB_connected,WLC_disconnected,3.489,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709902.5188031,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709903.6198454,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709904.7213395,5,USB_connected,WLC_disconnected,3.489,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709905.8224964,5,USB_connected,WLC_disconnected,3.489,0.000,26.861,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709906.9237335,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709908.024989,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709909.126246,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709910.22746,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709911.328451,5,USB_connected,WLC_disconnected,3.484,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709912.429577,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709913.531113,5,USB_connected,WLC_disconnected,3.484,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709914.632509,5,USB_connected,WLC_disconnected,3.484,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752709915.7333064,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709916.8348818,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709917.936439,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709919.037655,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709920.138804,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.623
1752709921.24009,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709922.3412206,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709923.4423978,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709924.5436814,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709925.644895,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.648
1752709926.7460287,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709927.846903,5,USB_connected,WLC_disconnected,3.484,0.000,26.861,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709928.948711,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709930.049959,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709931.151222,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752709932.252521,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709933.353607,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709934.454879,5,USB_connected,WLC_disconnected,3.479,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709935.5565825,5,USB_connected,WLC_disconnected,3.479,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752709936.6577272,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709937.7589905,5,USB_connected,WLC_disconnected,3.484,0.000,26.861,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709938.8601067,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709939.9615457,5,USB_connected,WLC_disconnected,3.479,0.000,26.861,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709941.0625427,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709942.163636,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709943.264954,5,USB_connected,WLC_disconnected,3.484,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709944.366018,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.648
1752709945.4675462,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.661
1752709946.568744,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709947.6700094,5,USB_connected,WLC_disconnected,3.479,0.000,26.861,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709948.7711275,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709949.8722906,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709950.9736226,5,USB_connected,WLC_disconnected,3.479,0.000,26.861,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709952.074893,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709953.1761777,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709954.2777157,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709955.378814,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709956.4801786,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752709957.5814652,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
1752709958.6824522,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752709959.7833605,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752709960.8848896,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752709961.9862275,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709963.087266,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.642
1752709964.1886616,5,USB_connected,WLC_disconnected,3.479,0.000,26.757,100.00,100.00,31.659,0.000,0.000,0.000,4.636
