time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752713499.7637708,5,USB_connected,WLC_disconnected,3.372,142.000,26.653,100.00,100.00,31.659,0.000,0.000,0.000,3.346
1752713500.9964595,5,USB_disconnected,WLC_disconnected,3.362,147.200,26.653,99.93,99.93,31.659,0.000,0.000,0.000,3.340
1752713502.2288845,5,USB_disconnected,WLC_disconnected,3.362,144.400,26.653,99.92,99.92,30.866,0.000,0.000,0.000,3.327
1752713503.4622567,5,USB_disconnected,WLC_disconnected,3.352,148.800,26.653,99.90,99.90,30.866,0.000,0.000,0.000,3.327
1752713504.6950321,5,USB_disconnected,WLC_disconnected,3.352,140.400,26.653,99.89,99.89,30.866,0.000,0.000,0.000,3.321
1752713505.9273195,5,USB_disconnected,WLC_disconnected,3.352,147.200,26.653,99.88,99.88,30.866,0.000,0.000,0.000,3.321
1752713507.1604552,5,USB_disconnected,WLC_disconnected,3.347,148.800,26.653,99.87,99.87,30.866,0.000,0.000,0.000,3.315
1752713508.393052,5,USB_disconnected,WLC_disconnected,3.343,139.600,26.653,99.86,99.86,30.866,0.000,0.000,0.000,3.315
1752713509.625752,5,USB_disconnected,WLC_disconnected,3.343,145.600,26.653,99.85,99.85,30.866,0.000,0.000,0.000,3.315
1752713510.8584254,5,USB_disconnected,WLC_disconnected,3.338,140.000,26.757,99.84,99.84,30.866,0.000,0.000,0.000,3.309
1752713512.0911984,5,USB_disconnected,WLC_disconnected,3.338,146.000,26.653,99.84,99.84,30.866,0.000,0.000,0.000,3.309
1752713513.3243155,5,USB_disconnected,WLC_disconnected,3.333,147.200,26.653,99.83,99.83,30.866,0.000,0.000,0.000,3.309
1752713514.556801,5,USB_disconnected,WLC_disconnected,3.333,147.200,26.653,99.82,99.82,30.866,0.000,0.000,0.000,3.302
1752713515.7895594,5,USB_disconnected,WLC_disconnected,3.333,145.600,26.653,99.81,99.81,30.866,0.000,0.000,0.000,3.302
1752713517.0225756,5,USB_disconnected,WLC_disconnected,3.328,140.400,26.653,99.81,99.81,30.866,0.000,0.000,0.000,3.302
1752713518.2550843,5,USB_disconnected,WLC_disconnected,3.328,146.800,26.653,99.80,99.80,30.866,0.000,0.000,0.000,3.302
1752713519.487853,5,USB_disconnected,WLC_disconnected,3.323,160.000,26.653,99.79,99.79,30.866,0.000,0.000,0.000,3.296
1752713520.720833,5,USB_disconnected,WLC_disconnected,3.323,144.400,26.653,99.78,99.78,30.866,0.000,0.000,0.000,3.296
1752713521.9533746,5,USB_disconnected,WLC_disconnected,3.323,130.800,26.653,99.78,99.78,30.074,0.000,0.000,0.000,3.302
1752713523.1855757,5,USB_disconnected,WLC_disconnected,3.323,140.800,26.653,99.77,99.77,30.866,0.000,0.000,0.000,3.284
1752713524.418735,5,USB_disconnected,WLC_disconnected,3.328,134.000,26.653,99.76,99.76,30.866,0.000,0.000,0.000,3.296
