time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752737299.1815917,5,USB_disconnected,WLC_disconnected,3.440,0.000,26.653,100.00,100.00,31.659,0.000,0.000,0.000,4.630
1752737300.4145682,5,USB_disconnected,WLC_disconnected,3.382,145.600,26.653,99.95,99.95,31.659,0.000,0.000,0.000,3.358
1752737301.6310532,5,USB_connected,WLC_disconnected,3.504,-194.400,26.653,99.93,99.95,38.792,0.000,0.000,0.000,4.343
1752737302.8470793,5,USB_connected,WLC_disconnected,3.514,-194.850,26.653,99.88,99.95,38.792,0.000,0.000,0.000,4.343
1752737304.063776,5,USB_connected,WLC_disconnected,3.523,-194.625,26.757,99.82,99.95,37.207,0.000,0.000,0.000,4.337
1752737305.2800524,5,USB_connected,WLC_disconnected,3.533,-194.625,26.653,99.75,99.95,40.377,0.000,0.000,0.000,4.343
1752737306.4960709,5,USB_connected,WLC_disconnected,3.543,-195.075,26.653,99.68,99.95,40.377,0.000,0.000,0.000,4.337
1752737307.71217,5,USB_connected,WLC_disconnected,3.548,-195.075,26.757,99.60,99.95,40.377,0.000,0.000,0.000,4.343
1752737308.9287992,5,USB_connected,WLC_disconnected,3.563,-195.750,26.757,99.52,99.95,40.377,0.000,0.000,0.000,4.343
1752737310.1448042,5,USB_connected,WLC_disconnected,3.577,-195.975,26.757,99.44,99.95,41.170,0.000,0.000,0.000,4.337
1752737311.3613517,5,USB_connected,WLC_disconnected,3.582,-195.975,26.757,99.36,99.95,40.377,0.000,0.000,0.000,4.349
1752737312.5614216,5,USB_connected,WLC_disconnected,3.597,-196.200,26.757,99.30,99.95,41.170,0.000,0.000,0.000,4.349
1752737313.7778087,5,USB_connected,WLC_disconnected,3.611,-196.650,26.757,99.24,99.95,41.170,0.000,0.000,0.000,4.343
1752737314.993692,5,USB_connected,WLC_disconnected,3.626,-196.650,26.757,99.19,99.95,40.377,0.000,0.000,0.000,4.343
1752737316.2101824,5,USB_connected,WLC_disconnected,3.646,-197.325,26.757,99.15,99.95,40.377,0.000,0.000,0.000,4.349
1752737317.40975,5,USB_connected,WLC_disconnected,3.651,-155.250,26.757,99.13,99.95,40.377,0.000,0.000,0.000,4.393
1752737318.6264966,5,USB_connected,WLC_disconnected,3.651,-113.625,26.861,99.12,99.95,39.585,0.000,0.000,0.000,4.455
1752737319.8429193,5,USB_connected,WLC_disconnected,3.651,-93.150,26.757,99.13,99.95,38.000,0.000,0.000,0.000,4.480
1752737321.0590346,5,USB_connected,WLC_disconnected,3.651,-76.275,26.757,99.14,99.95,37.207,0.000,0.000,0.000,4.511
1752737322.2584789,5,USB_connected,WLC_disconnected,3.651,-70.875,26.757,99.16,99.95,36.414,0.000,0.000,0.000,4.517
1752737323.4751208,5,USB_connected,WLC_disconnected,3.651,-57.375,26.757,99.18,99.95,36.414,0.000,0.000,0.000,4.536
1752737324.6914074,5,USB_connected,WLC_disconnected,3.651,-49.500,26.757,99.20,99.95,36.414,0.000,0.000,0.000,4.549
1752737325.9077675,5,USB_connected,WLC_disconnected,3.651,-42.975,26.757,99.23,99.95,36.414,0.000,0.000,0.000,4.561
1752737327.1242678,5,USB_connected,WLC_disconnected,3.651,-42.975,26.757,99.25,99.95,36.414,0.000,0.000,0.000,4.561
1752737328.3404565,5,USB_connected,WLC_disconnected,3.651,-40.275,26.861,99.28,99.95,35.622,0.000,0.000,0.000,4.555
1752737329.5566607,5,USB_connected,WLC_disconnected,3.651,-35.775,26.757,99.31,99.95,35.622,0.000,0.000,0.000,4.561
1752737330.7730303,5,USB_connected,WLC_disconnected,3.655,-39.375,26.757,99.34,99.95,34.829,0.000,0.000,0.000,4.567
1752737331.989253,5,USB_connected,WLC_disconnected,3.651,-39.825,26.757,99.37,99.95,34.829,0.000,0.000,0.000,4.567
1752737333.1888876,5,USB_connected,WLC_disconnected,3.651,-28.575,26.757,99.39,99.95,34.829,0.000,0.000,0.000,4.574
1752737334.4055653,5,USB_connected,WLC_disconnected,3.651,-28.575,26.757,99.42,99.95,34.829,0.000,0.000,0.000,4.580
1752737335.7696395,5,USB_disconnected,WLC_disconnected,3.597,128.399,26.757,100.00,100.00,33.244,0.000,0.000,0.000,3.570
1752737336.986285,5,USB_disconnected,WLC_disconnected,3.577,96.000,26.757,100.00,100.00,33.244,0.000,0.000,0.000,3.552
1752737338.2019837,5,USB_disconnected,WLC_disconnected,3.553,102.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,3.533
1752737339.4188466,5,USB_disconnected,WLC_disconnected,3.523,109.600,26.757,100.00,100.00,31.659,0.000,0.000,0.000,3.508
1752737340.6349251,5,USB_disconnected,WLC_disconnected,3.509,115.200,26.757,100.00,100.00,31.659,0.000,0.000,0.000,3.489
1752737341.851228,5,USB_disconnected,WLC_disconnected,3.489,113.200,26.757,100.00,100.00,31.659,0.000,0.000,0.000,3.471
1752737343.067167,5,USB_disconnected,WLC_disconnected,3.479,108.800,26.757,100.00,100.00,31.659,0.000,0.000,0.000,3.458
1752737344.2837458,5,USB_disconnected,WLC_disconnected,3.470,109.200,26.757,100.00,100.00,31.659,0.000,0.000,0.000,3.446
1752737345.5000968,5,USB_disconnected,WLC_disconnected,3.460,107.200,26.757,99.99,99.99,31.659,0.000,0.000,0.000,3.439
1752737346.7163448,5,USB_disconnected,WLC_disconnected,3.450,108.400,26.757,99.99,99.99,31.659,0.000,0.000,0.000,3.427
1752737347.9329846,5,USB_disconnected,WLC_disconnected,3.440,114.000,26.757,99.98,99.98,31.659,0.000,0.000,0.000,3.421
1752737349.1490107,5,USB_disconnected,WLC_disconnected,3.435,114.400,26.757,99.98,99.98,30.866,0.000,0.000,0.000,3.408
1752737350.3651774,5,USB_disconnected,WLC_disconnected,3.431,107.600,26.757,99.97,99.97,31.659,0.000,0.000,0.000,3.408
1752737351.581921,5,USB_disconnected,WLC_disconnected,3.426,109.600,26.757,99.97,99.97,30.866,0.000,0.000,0.000,3.408
1752737352.7980576,5,USB_disconnected,WLC_disconnected,3.421,115.200,26.757,99.96,99.96,30.866,0.000,0.000,0.000,3.402
1752737354.0141985,5,USB_disconnected,WLC_disconnected,3.411,111.200,26.757,99.96,99.96,30.866,0.000,0.000,0.000,3.396
1752737355.2305927,5,USB_disconnected,WLC_disconnected,3.411,112.800,26.757,99.95,99.95,30.866,0.000,0.000,0.000,3.396
1752737356.4468148,5,USB_disconnected,WLC_disconnected,3.406,116.800,26.757,99.95,99.95,30.866,0.000,0.000,0.000,3.383
1752737357.663454,5,USB_disconnected,WLC_disconnected,3.406,112.400,26.757,99.95,99.95,30.866,0.000,0.000,0.000,3.383
1752737358.879877,5,USB_disconnected,WLC_disconnected,3.401,115.200,26.757,99.94,99.94,30.866,0.000,0.000,0.000,3.383
