time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752766848.8564284,5,USB_disconnected,WLC_disconnected,3.377,148.800,26.653,99.97,99.97,31.659,0.000,0.000,0.000,3.352
1752766850.0235612,5,USB_disconnected,WLC_disconnected,3.401,63.600,26.653,99.93,99.93,30.866,0.000,0.000,0.000,3.390
1752766851.189815,5,USB_disconnected,WLC_disconnected,3.396,71.200,26.653,99.92,99.92,30.866,0.000,0.000,0.000,3.383
1752766852.357214,5,USB_disconnected,WLC_disconnected,3.396,76.800,26.653,99.91,99.91,30.866,0.000,0.000,0.000,3.383
1752766853.5243812,5,USB_disconnected,WLC_disconnected,3.396,71.200,26.653,99.90,99.90,30.866,0.000,0.000,0.000,3.383
1752766854.6911485,5,USB_disconnected,WLC_disconnected,3.396,57.200,26.653,99.90,99.90,30.866,0.000,0.000,0.000,3.377
1752766855.8582911,5,USB_disconnected,WLC_disconnected,3.391,56.800,26.653,99.89,99.89,30.866,0.000,0.000,0.000,3.377
1752766857.02562,5,USB_disconnected,WLC_disconnected,3.391,56.800,26.653,99.89,99.89,30.866,0.000,0.000,0.000,3.377
1752766858.1922987,5,USB_disconnected,WLC_disconnected,3.387,72.000,26.653,99.88,99.88,30.866,0.000,0.000,0.000,3.383
1752766859.3592544,5,USB_disconnected,WLC_disconnected,3.382,76.800,26.653,99.88,99.88,30.866,0.000,0.000,0.000,3.377
1752766860.526304,5,USB_disconnected,WLC_disconnected,3.387,55.600,26.653,99.88,99.88,30.074,0.000,0.000,0.000,3.377
1752766861.693294,5,USB_disconnected,WLC_disconnected,3.387,70.400,26.653,99.87,99.87,30.074,0.000,0.000,0.000,3.371
1752766862.8604937,5,USB_disconnected,WLC_disconnected,3.382,70.800,26.653,99.87,99.87,30.074,0.000,0.000,0.000,3.365
1752766864.0271685,5,USB_disconnected,WLC_disconnected,3.382,71.600,26.653,99.86,99.86,30.074,0.000,0.000,0.000,3.371
1752766865.226884,5,USB_disconnected,WLC_disconnected,3.377,80.400,26.653,99.86,99.86,30.074,0.000,0.000,0.000,3.371
1752766866.394165,5,USB_disconnected,WLC_disconnected,3.382,74.000,26.653,99.86,99.86,30.074,0.000,0.000,0.000,3.365
1752766867.5613153,5,USB_disconnected,WLC_disconnected,3.377,71.200,26.653,99.86,99.86,30.074,0.000,0.000,0.000,3.365
1752766868.7281094,5,USB_disconnected,WLC_disconnected,3.377,74.000,26.653,99.85,99.85,30.074,0.000,0.000,0.000,3.365
1752766869.894985,5,USB_disconnected,WLC_disconnected,3.377,76.800,26.653,99.85,99.85,30.074,0.000,0.000,0.000,3.365
1752766871.0622284,5,USB_disconnected,WLC_disconnected,3.372,72.000,26.549,99.85,99.85,30.074,0.000,0.000,0.000,3.365
1752766872.2290766,5,USB_disconnected,WLC_disconnected,3.372,69.200,26.549,99.84,99.84,30.074,0.000,0.000,0.000,3.365
1752766873.3960373,5,USB_disconnected,WLC_disconnected,3.372,69.200,26.549,99.84,99.84,30.074,0.000,0.000,0.000,3.358
1752766874.5631964,5,USB_disconnected,WLC_disconnected,3.372,72.000,26.549,99.83,99.83,30.074,0.000,0.000,0.000,3.358
1752766875.730138,5,USB_disconnected,WLC_disconnected,3.372,73.600,26.549,99.83,99.83,30.074,0.000,0.000,0.000,3.358
1752766876.8967755,5,USB_disconnected,WLC_disconnected,3.372,72.800,26.549,99.83,99.83,30.074,0.000,0.000,0.000,3.358
1752766878.0642157,5,USB_disconnected,WLC_disconnected,3.372,72.800,26.549,99.83,99.83,30.074,0.000,0.000,0.000,3.358
1752766879.2311707,5,USB_disconnected,WLC_disconnected,3.372,70.000,26.549,99.82,99.82,29.281,0.000,0.000,0.000,3.358
1752766880.3980985,5,USB_disconnected,WLC_disconnected,3.367,75.200,26.549,99.82,99.82,30.074,0.000,0.000,0.000,3.358
1752766881.5652058,5,USB_disconnected,WLC_disconnected,3.367,70.000,26.549,99.82,99.82,29.281,0.000,0.000,0.000,3.358
