time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752811239.8597484,5,USB_connected,WLC_disconnected,3.088,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811240.9772608,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.686
1752811242.0948825,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811243.212223,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811244.330064,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811245.4478548,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.692
1752811246.565638,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811247.6831527,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.642
1752811248.8011632,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811249.9189317,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.692
1752811251.036565,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.686
1752811252.1539006,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811253.2716825,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.686
1752811254.3894448,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.698
1752811255.5068796,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.074,0.000,0.000,0.000,4.673
1752811256.6248333,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811257.7424138,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.074,0.000,0.000,0.000,4.692
1752811258.8604326,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.686
1752811259.9780116,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811261.0954547,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,31.659,0.000,0.000,0.000,4.655
1752811262.2131655,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.074,0.000,0.000,0.000,4.655
1752811263.330808,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811264.4485466,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811265.5661657,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811266.683952,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.686
1752811267.8016741,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811268.9196265,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811270.0370564,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.661
1752811271.15475,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.661
1752811272.2724085,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811273.3894525,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.711
1752811274.5077703,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811275.6254303,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.655
1752811276.7430382,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.648
1752811277.8610296,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811278.9786644,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811280.0963678,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811281.2139344,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.074,0.000,0.000,0.000,4.692
1752811282.3315976,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811283.448992,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811284.5669382,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811285.6844985,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811286.8022912,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.074,0.000,0.000,0.000,4.661
1752811287.9202917,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811289.0377927,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.692
1752811290.1551554,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811291.2730384,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811292.3902636,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811293.5084636,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,31.659,0.000,0.000,0.000,4.661
1752811294.6259317,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811295.7438767,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811296.8616436,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811297.9794695,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811299.096957,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811300.2144783,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811301.332107,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811302.4498801,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811303.5676212,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811304.6850936,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811305.803044,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811306.9209025,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811308.0382183,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811309.1561728,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811310.2738054,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.686
1752811311.3914719,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811312.508775,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811313.6268291,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.661
1752811314.7444513,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811315.8619587,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811316.979989,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811318.0973287,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811319.2152176,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811320.3329751,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811321.4506664,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811322.5683527,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.661
1752811323.685964,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811324.8036041,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811325.9216993,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,31.659,0.000,0.000,0.000,4.673
1752811327.03907,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811328.1568341,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.679
1752811329.2742178,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.661
1752811330.3921058,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811331.5094266,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811332.627553,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.655
1752811333.7451127,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.673
1752811334.8628912,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811335.9807372,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811337.0984628,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,31.659,0.000,0.000,0.000,4.667
1752811338.2162805,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811339.333553,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811340.451203,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.655
1752811341.5689547,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,31.659,0.000,0.000,0.000,4.673
1752811342.6866632,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811343.8043263,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811344.9220972,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.667
1752811346.0398552,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811347.157517,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.673
1752811348.2750573,5,USB_connected,WLC_disconnected,3.103,0.000,26.341,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811349.3927221,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.661
1752811350.5104551,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.01,0.00,30.866,0.000,0.000,0.000,4.667
