time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752839626.5800116,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839627.6642709,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839628.7486553,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839629.8339932,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839630.919005,5,USB_connected,WLC_disconnected,3.093,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839632.0037534,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839633.0883121,5,USB_connected,WLC_disconnected,3.093,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839634.1731718,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839635.2581887,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839636.3430984,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839637.4276679,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.686
1752839638.5126166,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839639.597513,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839640.682591,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839641.7669818,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752839642.851858,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839643.9366548,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839645.0215154,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839646.1061356,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839647.190945,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839648.275885,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839649.3607564,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.679
1752839650.4456303,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839651.53024,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839652.6151252,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752839653.7001355,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839654.7848952,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839655.869467,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839656.9542944,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839658.039554,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839659.1240125,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839660.208752,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839661.2936218,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752839662.3786676,5,USB_connected,WLC_disconnected,3.103,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839663.463348,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839664.5481124,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752839665.6327794,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839666.7177234,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839667.80263,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839668.8873634,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839669.971742,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839671.057086,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839672.1419466,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839673.226651,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752839674.3113613,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.679
1752839675.3962326,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839676.4814417,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752839677.565814,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839678.650691,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839679.7356038,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839680.820421,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839681.9051402,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839682.9898155,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839684.0746515,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839685.159725,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839686.2442598,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.679
1752839687.3289862,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.667
1752839688.4138534,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839689.4990902,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839690.5838463,5,USB_connected,WLC_disconnected,3.098,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839691.6685512,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839692.7532148,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839693.8382518,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752839694.9229171,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.673
1752839696.0076811,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839697.09252,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839698.1775496,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752839699.2620132,5,USB_connected,WLC_disconnected,3.103,0.000,26.341,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839700.3465264,5,USB_connected,WLC_disconnected,3.103,0.000,26.341,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839701.4318142,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.667
1752839702.516698,5,USB_connected,WLC_disconnected,3.098,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839703.6016455,5,USB_connected,WLC_disconnected,3.103,0.000,26.445,0.00,0.00,30.866,0.000,0.000,0.000,4.661
