time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753147791.6362317,5,USB_connected,WLC_disconnected,3.523,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147792.721051,5,USB_connected,WLC_disconnected,3.523,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147793.8058255,5,USB_connected,WLC_disconnected,3.523,0.000,21.946,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753147794.890715,5,USB_connected,WLC_disconnected,3.523,0.000,21.946,100.00,100.00,26.111,0.000,0.000,0.000,4.630
1753147795.9755127,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753147797.0605414,5,USB_connected,WLC_disconnected,3.523,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147798.1618993,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147799.2630546,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753147800.3640814,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.111,0.000,0.000,0.000,4.642
1753147801.448802,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147802.533646,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753147803.61864,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147804.703675,5,USB_connected,WLC_disconnected,3.519,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753147805.8045573,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147806.8894694,5,USB_connected,WLC_disconnected,3.519,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147807.9740047,5,USB_connected,WLC_disconnected,3.514,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147809.0592759,5,USB_connected,WLC_disconnected,3.514,0.000,21.946,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147810.160572,5,USB_connected,WLC_disconnected,3.514,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147811.261796,5,USB_connected,WLC_disconnected,3.514,0.000,21.946,100.00,100.00,26.111,0.000,0.000,0.000,4.642
1753147812.3629231,5,USB_connected,WLC_disconnected,3.514,0.000,21.946,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147813.447649,5,USB_connected,WLC_disconnected,3.514,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.655
1753147814.5324411,5,USB_connected,WLC_disconnected,3.514,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147815.6171935,5,USB_connected,WLC_disconnected,3.514,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.642
1753147816.7023175,5,USB_connected,WLC_disconnected,3.514,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147817.803534,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147818.9043453,5,USB_connected,WLC_disconnected,3.509,0.000,21.946,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147819.989319,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147821.0740874,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753147822.1592643,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147823.26041,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147824.345027,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147825.4298434,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.655
1753147826.5146585,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147827.59978,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147828.700999,5,USB_connected,WLC_disconnected,3.509,0.000,21.845,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753147829.8021517,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147830.8867698,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147831.9715502,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.630
1753147833.0560288,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753147834.1414447,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147835.2260723,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147836.3107889,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753147837.395664,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147838.4806123,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147839.5652444,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147840.6499994,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147841.734977,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147842.8198574,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147843.9044797,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147844.988802,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147846.0741816,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147847.1592422,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753147848.2441182,5,USB_connected,WLC_disconnected,3.504,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147849.345082,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147850.4298463,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.648
1753147851.5145712,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147852.599625,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147853.6842418,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147854.7690337,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.642
1753147855.8539207,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753147856.9389157,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147858.023638,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147859.1084247,5,USB_connected,WLC_disconnected,3.499,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147860.1930258,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147861.278077,5,USB_connected,WLC_disconnected,3.499,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.630
1753147862.3631475,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147863.4640837,5,USB_connected,WLC_disconnected,3.499,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.655
1753147864.5488176,5,USB_connected,WLC_disconnected,3.494,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147865.6335871,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.630
1753147866.7187119,5,USB_connected,WLC_disconnected,3.499,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147867.803584,5,USB_connected,WLC_disconnected,3.499,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753147868.887997,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147869.9728706,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147871.0576746,5,USB_connected,WLC_disconnected,3.494,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147872.1427083,5,USB_connected,WLC_disconnected,3.494,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753147873.2273347,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147874.312153,5,USB_connected,WLC_disconnected,3.494,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147875.39701,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.655
1753147876.4819887,5,USB_connected,WLC_disconnected,3.494,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147877.5666459,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147878.6513333,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147879.736205,5,USB_connected,WLC_disconnected,3.489,0.000,21.845,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147880.8212962,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147881.9056888,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147882.9906037,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147884.0755942,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.636
1753147885.1605985,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147886.2453294,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753147887.329761,5,USB_connected,WLC_disconnected,3.494,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.648
1753147888.414766,5,USB_connected,WLC_disconnected,3.494,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147889.4993935,5,USB_connected,WLC_disconnected,3.489,0.000,21.845,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147890.5842822,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.630
1753147891.6692033,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753147892.7538207,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147893.838734,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.630
1753147894.923862,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.111,0.000,0.000,0.000,4.642
1753147896.0081744,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753147897.0932457,5,USB_connected,WLC_disconnected,3.489,0.000,21.744,100.00,100.00,26.903,0.000,0.000,0.000,4.636
