time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753168324.0593781,5,USB_connected,WLC_disconnected,3.230,-190.350,21.542,0.48,0.48,34.829,0.000,0.000,0.000,4.337
1753168325.2589643,5,USB_connected,WLC_disconnected,3.235,-190.350,21.542,0.76,0.76,35.622,0.000,0.000,0.000,4.337
1753168326.4587104,5,USB_connected,WLC_disconnected,3.240,-190.575,21.542,0.95,0.95,36.414,0.000,0.000,0.000,4.343
1753168327.65873,5,USB_connected,WLC_disconnected,3.240,-190.575,21.542,1.11,1.11,36.414,0.000,0.000,0.000,4.343
1753168328.858617,5,USB_connected,WLC_disconnected,3.245,-190.575,21.542,1.23,1.23,37.207,0.000,0.000,0.000,4.349
1753168330.058537,5,USB_connected,WLC_disconnected,3.245,-190.800,21.643,1.34,1.34,37.207,0.000,0.000,0.000,4.343
1753168331.2582238,5,USB_connected,WLC_disconnected,3.250,-190.575,21.643,1.44,1.44,38.000,0.000,0.000,0.000,4.349
1753168332.4582589,5,USB_connected,WLC_disconnected,3.250,-190.800,21.542,1.54,1.54,38.000,0.000,0.000,0.000,4.343
1753168333.6582086,5,USB_connected,WLC_disconnected,3.250,-190.575,21.542,1.62,1.62,38.000,0.000,0.000,0.000,4.349
1753168334.857926,5,USB_connected,WLC_disconnected,3.255,-190.575,21.643,1.70,1.70,37.207,0.000,0.000,0.000,4.343
1753168336.05737,5,USB_connected,WLC_disconnected,3.255,-190.800,21.643,1.77,1.77,38.792,0.000,0.000,0.000,4.343
1753168337.2578394,5,USB_connected,WLC_disconnected,3.260,-191.025,21.542,1.84,1.84,38.000,0.000,0.000,0.000,4.343
1753168338.4576216,5,USB_connected,WLC_disconnected,3.260,-190.575,21.643,1.91,1.91,38.792,0.000,0.000,0.000,4.349
1753168339.6576338,5,USB_connected,WLC_disconnected,3.260,-190.575,21.643,1.98,1.98,38.792,0.000,0.000,0.000,4.349
