time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753243511.7488427,5,USB_disconnected,WLC_disconnected,3.274,105.600,21.240,67.22,61.57,24.525,0.000,0.000,0.000,3.259
1753243512.9315429,5,USB_disconnected,WLC_disconnected,3.269,123.200,21.240,67.23,61.57,24.525,0.000,0.000,0.000,3.246
1753243514.1152706,5,USB_disconnected,WLC_disconnected,3.269,123.200,21.240,67.24,61.57,23.733,0.000,0.000,0.000,3.246
1753243515.2986434,5,USB_disconnected,WLC_disconnected,3.269,124.800,21.240,67.25,61.57,24.525,0.000,0.000,0.000,3.246
1753243516.4820888,5,USB_disconnected,WLC_disconnected,3.269,126.800,21.240,67.26,61.57,23.733,0.000,0.000,0.000,3.246
1753243517.66576,5,USB_disconnected,WLC_disconnected,3.264,122.000,21.240,67.27,61.57,24.525,0.000,0.000,0.000,3.240
1753243518.8490431,5,USB_disconnected,WLC_disconnected,3.269,124.800,21.240,67.28,61.57,23.733,0.000,0.000,0.000,3.246
1753243520.0321388,5,USB_disconnected,WLC_disconnected,3.269,123.200,21.240,67.29,61.57,24.525,0.000,0.000,0.000,3.240
1753243521.2158613,5,USB_disconnected,WLC_disconnected,3.264,125.600,21.240,67.30,61.57,24.525,0.000,0.000,0.000,3.246
1753243522.3993049,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.240,67.30,61.57,24.525,0.000,0.000,0.000,3.240
1753243523.5827422,5,USB_disconnected,WLC_disconnected,3.264,129.200,21.240,67.31,61.57,24.525,0.000,0.000,0.000,3.246
1753243524.766241,5,USB_disconnected,WLC_disconnected,3.269,122.400,21.240,67.32,61.57,24.525,0.000,0.000,0.000,3.246
1753243525.9496787,5,USB_disconnected,WLC_disconnected,3.269,121.200,21.240,67.33,61.57,24.525,0.000,0.000,0.000,3.246
1753243527.1328938,5,USB_disconnected,WLC_disconnected,3.264,121.200,21.340,67.34,61.57,24.525,0.000,0.000,0.000,3.246
1753243528.3166015,5,USB_disconnected,WLC_disconnected,3.269,121.200,21.240,67.34,61.57,24.525,0.000,0.000,0.000,3.246
1753243529.499825,5,USB_disconnected,WLC_disconnected,3.269,122.800,21.240,67.35,61.57,24.525,0.000,0.000,0.000,3.246
1753243530.6831605,5,USB_disconnected,WLC_disconnected,3.264,124.400,21.240,67.36,61.57,24.525,0.000,0.000,0.000,3.240
1753243531.866966,5,USB_disconnected,WLC_disconnected,3.264,131.200,21.240,67.37,61.57,24.525,0.000,0.000,0.000,3.246
1753243533.0505698,5,USB_disconnected,WLC_disconnected,3.264,122.800,21.240,67.37,61.57,24.525,0.000,0.000,0.000,3.246
1753243534.2332463,5,USB_disconnected,WLC_disconnected,3.264,118.000,21.240,67.38,61.57,24.525,0.000,0.000,0.000,3.246
1753243535.4169834,5,USB_disconnected,WLC_disconnected,3.264,128.000,21.240,67.39,61.57,24.525,0.000,0.000,0.000,3.240
1753243536.6005363,5,USB_disconnected,WLC_disconnected,3.269,121.600,21.240,67.40,61.57,24.525,0.000,0.000,0.000,3.246
1753243537.78388,5,USB_disconnected,WLC_disconnected,3.264,129.200,21.340,67.40,61.57,24.525,0.000,0.000,0.000,3.240
1753243538.9676476,5,USB_disconnected,WLC_disconnected,3.264,124.400,21.240,67.41,61.57,24.525,0.000,0.000,0.000,3.246
1753243540.150944,5,USB_disconnected,WLC_disconnected,3.264,118.000,21.240,67.41,61.57,24.525,0.000,0.000,0.000,3.246
1753243541.3339329,5,USB_disconnected,WLC_disconnected,3.264,128.000,21.340,67.42,61.57,24.525,0.000,0.000,0.000,3.246
1753243542.5175862,5,USB_disconnected,WLC_disconnected,3.264,123.200,21.240,67.43,61.57,24.525,0.000,0.000,0.000,3.246
1753243543.701084,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.240,67.43,61.57,24.525,0.000,0.000,0.000,3.246
1753243544.88462,5,USB_disconnected,WLC_disconnected,3.269,127.200,21.240,67.44,61.57,24.525,0.000,0.000,0.000,3.240
1753243546.068116,5,USB_disconnected,WLC_disconnected,3.264,128.399,21.240,67.45,61.57,24.525,0.000,0.000,0.000,3.240
1753243547.2514367,5,USB_disconnected,WLC_disconnected,3.264,128.000,21.240,67.46,61.57,24.525,0.000,0.000,0.000,3.246
1753243548.4348135,5,USB_disconnected,WLC_disconnected,3.264,120.000,21.240,67.46,61.57,24.525,0.000,0.000,0.000,3.246
1753243549.6181402,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.240,67.47,61.57,24.525,0.000,0.000,0.000,3.246
1753243550.801363,5,USB_disconnected,WLC_disconnected,3.269,124.000,21.340,67.48,61.57,24.525,0.000,0.000,0.000,3.246
1753243551.9851859,5,USB_disconnected,WLC_disconnected,3.264,128.399,21.340,67.48,61.57,24.525,0.000,0.000,0.000,3.240
1753243553.1686156,5,USB_disconnected,WLC_disconnected,3.264,125.600,21.340,67.49,61.57,24.525,0.000,0.000,0.000,3.246
1753243554.3520014,5,USB_disconnected,WLC_disconnected,3.264,124.800,21.240,67.50,61.57,24.525,0.000,0.000,0.000,3.246
1753243555.5352893,5,USB_disconnected,WLC_disconnected,3.264,125.200,21.340,67.50,61.57,24.525,0.000,0.000,0.000,3.240
1753243556.7187088,5,USB_disconnected,WLC_disconnected,3.269,126.400,21.340,67.51,61.57,24.525,0.000,0.000,0.000,3.240
1753243557.9022672,5,USB_disconnected,WLC_disconnected,3.264,125.200,21.340,67.52,61.57,24.525,0.000,0.000,0.000,3.246
1753243559.0859344,5,USB_disconnected,WLC_disconnected,3.264,120.000,21.340,67.52,61.57,24.525,0.000,0.000,0.000,3.240
1753243560.2692697,5,USB_disconnected,WLC_disconnected,3.264,128.399,21.340,67.53,61.57,24.525,0.000,0.000,0.000,3.240
1753243561.4525898,5,USB_disconnected,WLC_disconnected,3.264,128.399,21.340,67.53,61.57,24.525,0.000,0.000,0.000,3.240
1753243562.6358726,5,USB_disconnected,WLC_disconnected,3.264,122.800,21.340,67.54,61.57,24.525,0.000,0.000,0.000,3.246
1753243563.8194664,5,USB_disconnected,WLC_disconnected,3.269,121.200,21.340,67.54,61.57,24.525,0.000,0.000,0.000,3.240
1753243565.0027575,5,USB_disconnected,WLC_disconnected,3.264,122.800,21.340,67.55,61.57,24.525,0.000,0.000,0.000,3.246
1753243566.186155,5,USB_disconnected,WLC_disconnected,3.264,121.200,21.340,67.56,61.57,24.525,0.000,0.000,0.000,3.240
1753243567.3698072,5,USB_disconnected,WLC_disconnected,3.264,124.400,21.340,67.56,61.57,24.525,0.000,0.000,0.000,3.240
1753243568.5532484,5,USB_disconnected,WLC_disconnected,3.269,122.400,21.340,67.57,61.57,24.525,0.000,0.000,0.000,3.246
1753243569.7366025,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.57,61.57,23.733,0.000,0.000,0.000,3.240
1753243570.9196682,5,USB_disconnected,WLC_disconnected,3.264,114.800,21.340,67.58,61.57,24.525,0.000,0.000,0.000,3.246
1753243572.1034694,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.59,61.57,24.525,0.000,0.000,0.000,3.240
1753243573.2870188,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.59,61.57,24.525,0.000,0.000,0.000,3.246
1753243574.4705288,5,USB_disconnected,WLC_disconnected,3.264,130.000,21.340,67.60,61.57,24.525,0.000,0.000,0.000,3.240
1753243575.653745,5,USB_disconnected,WLC_disconnected,3.264,125.200,21.340,67.60,61.57,24.525,0.000,0.000,0.000,3.240
1753243576.8371181,5,USB_disconnected,WLC_disconnected,3.264,114.800,21.340,67.61,61.57,24.525,0.000,0.000,0.000,3.246
1753243578.0206058,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.61,61.57,24.525,0.000,0.000,0.000,3.240
1753243579.2039874,5,USB_disconnected,WLC_disconnected,3.264,119.600,21.340,67.62,61.57,24.525,0.000,0.000,0.000,3.246
1753243580.3877368,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.62,61.57,24.525,0.000,0.000,0.000,3.246
1753243581.5704517,5,USB_disconnected,WLC_disconnected,3.269,128.800,21.340,67.63,61.57,24.525,0.000,0.000,0.000,3.246
1753243582.754369,5,USB_disconnected,WLC_disconnected,3.264,128.000,21.340,67.64,61.57,24.525,0.000,0.000,0.000,3.246
1753243583.9377568,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.64,61.57,24.525,0.000,0.000,0.000,3.246
1753243585.1211638,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.65,61.57,24.525,0.000,0.000,0.000,3.246
1753243586.3047793,5,USB_disconnected,WLC_disconnected,3.269,123.200,21.340,67.66,61.57,24.525,0.000,0.000,0.000,3.246
1753243587.4881089,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.66,61.57,24.525,0.000,0.000,0.000,3.240
1753243588.671436,5,USB_disconnected,WLC_disconnected,3.264,124.400,21.340,67.67,61.57,24.525,0.000,0.000,0.000,3.240
1753243589.8547814,5,USB_disconnected,WLC_disconnected,3.264,125.200,21.340,67.67,61.57,24.525,0.000,0.000,0.000,3.240
1753243591.0382848,5,USB_disconnected,WLC_disconnected,3.264,114.800,21.340,67.68,61.57,24.525,0.000,0.000,0.000,3.240
1753243592.2217364,5,USB_disconnected,WLC_disconnected,3.264,126.400,21.340,67.68,61.57,24.525,0.000,0.000,0.000,3.240
1753243593.4054894,5,USB_disconnected,WLC_disconnected,3.264,127.200,21.340,67.69,61.57,24.525,0.000,0.000,0.000,3.240
1753243594.5887957,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.70,61.57,24.525,0.000,0.000,0.000,3.240
1753243595.7721398,5,USB_disconnected,WLC_disconnected,3.264,128.399,21.340,67.70,61.57,24.525,0.000,0.000,0.000,3.240
1753243596.9550478,5,USB_disconnected,WLC_disconnected,3.269,113.600,21.340,67.71,61.57,24.525,0.000,0.000,0.000,3.246
1753243598.1390085,5,USB_disconnected,WLC_disconnected,3.269,114.800,21.340,67.71,61.57,24.525,0.000,0.000,0.000,3.246
1753243599.3223474,5,USB_disconnected,WLC_disconnected,3.264,134.400,21.340,67.72,61.57,24.525,0.000,0.000,0.000,3.246
1753243600.5061433,5,USB_disconnected,WLC_disconnected,3.269,123.600,21.340,67.72,61.57,24.525,0.000,0.000,0.000,3.240
1753243601.6896257,5,USB_disconnected,WLC_disconnected,3.264,119.600,21.340,67.73,61.57,24.525,0.000,0.000,0.000,3.240
1753243602.8726323,5,USB_disconnected,WLC_disconnected,3.264,124.000,21.340,67.73,61.57,24.525,0.000,0.000,0.000,3.240
1753243604.0561442,5,USB_disconnected,WLC_disconnected,3.269,108.400,21.340,67.74,61.57,24.525,0.000,0.000,0.000,3.246
1753243605.2394547,5,USB_disconnected,WLC_disconnected,3.269,110.000,21.340,67.74,61.57,24.525,0.000,0.000,0.000,3.240
1753243606.4228196,5,USB_disconnected,WLC_disconnected,3.274,112.000,21.340,67.75,61.57,24.525,0.000,0.000,0.000,3.246
1753243607.6066628,5,USB_disconnected,WLC_disconnected,3.269,110.400,21.340,67.75,61.57,24.525,0.000,0.000,0.000,3.246
1753243608.7900593,5,USB_disconnected,WLC_disconnected,3.269,105.200,21.340,67.76,61.57,24.525,0.000,0.000,0.000,3.246
1753243609.9732566,5,USB_disconnected,WLC_disconnected,3.269,114.400,21.340,67.76,61.57,24.525,0.000,0.000,0.000,3.240
1753243611.1561656,5,USB_disconnected,WLC_disconnected,3.264,124.800,21.340,67.77,61.57,24.525,0.000,0.000,0.000,3.252
1753243612.3400326,5,USB_disconnected,WLC_disconnected,3.264,105.200,21.340,67.77,61.57,24.525,0.000,0.000,0.000,3.252
1753243613.5235963,5,USB_disconnected,WLC_disconnected,3.264,108.000,21.340,67.78,61.57,24.525,0.000,0.000,0.000,3.252
1753243614.7072484,5,USB_disconnected,WLC_disconnected,3.264,108.800,21.340,67.78,61.57,24.525,0.000,0.000,0.000,3.246
1753243615.8908324,5,USB_disconnected,WLC_disconnected,3.269,108.400,21.340,67.79,61.57,24.525,0.000,0.000,0.000,3.240
1753243617.0737696,5,USB_disconnected,WLC_disconnected,3.264,114.800,21.340,67.79,61.57,24.525,0.000,0.000,0.000,3.246
1753243618.257213,5,USB_disconnected,WLC_disconnected,3.264,118.000,21.340,67.80,61.57,24.525,0.000,0.000,0.000,3.246
1753243619.4407375,5,USB_disconnected,WLC_disconnected,3.264,128.000,21.340,67.80,61.57,24.525,0.000,0.000,0.000,3.252
1753243620.6242685,5,USB_disconnected,WLC_disconnected,3.264,117.600,21.340,67.81,61.57,24.525,0.000,0.000,0.000,3.246
1753243621.8077016,5,USB_disconnected,WLC_disconnected,3.264,128.000,21.340,67.81,61.57,24.525,0.000,0.000,0.000,3.246
1753243622.9911246,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.82,61.57,24.525,0.000,0.000,0.000,3.246
1753243624.1745374,5,USB_disconnected,WLC_disconnected,3.264,131.200,21.340,67.82,61.57,24.525,0.000,0.000,0.000,3.240
1753243625.3573277,5,USB_disconnected,WLC_disconnected,3.264,128.399,21.340,67.83,61.57,24.525,0.000,0.000,0.000,3.240
1753243626.5413127,5,USB_disconnected,WLC_disconnected,3.264,121.600,21.340,67.84,61.57,24.525,0.000,0.000,0.000,3.246
1753243627.7248707,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.84,61.57,24.525,0.000,0.000,0.000,3.240
1753243628.9082189,5,USB_disconnected,WLC_disconnected,3.264,127.200,21.340,67.85,61.57,24.525,0.000,0.000,0.000,3.252
1753243630.0917141,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.85,61.57,24.525,0.000,0.000,0.000,3.252
1753243631.2749403,5,USB_disconnected,WLC_disconnected,3.264,126.400,21.340,67.86,61.57,24.525,0.000,0.000,0.000,3.246
1753243632.4583313,5,USB_disconnected,WLC_disconnected,3.264,124.000,21.340,67.86,61.57,24.525,0.000,0.000,0.000,3.246
1753243633.6416957,5,USB_disconnected,WLC_disconnected,3.264,121.200,21.340,67.86,61.57,24.525,0.000,0.000,0.000,3.246
1753243634.825366,5,USB_disconnected,WLC_disconnected,3.264,124.000,21.340,67.87,61.57,24.525,0.000,0.000,0.000,3.246
1753243636.008988,5,USB_disconnected,WLC_disconnected,3.264,125.200,21.340,67.87,61.57,24.525,0.000,0.000,0.000,3.240
1753243637.1924374,5,USB_disconnected,WLC_disconnected,3.264,122.800,21.340,67.88,61.57,24.525,0.000,0.000,0.000,3.246
1753243638.3756514,5,USB_disconnected,WLC_disconnected,3.264,126.800,21.340,67.89,61.57,24.525,0.000,0.000,0.000,3.240
1753243639.5590198,5,USB_disconnected,WLC_disconnected,3.264,125.200,21.340,67.89,61.57,24.525,0.000,0.000,0.000,3.240
1753243640.7425725,5,USB_disconnected,WLC_disconnected,3.264,124.000,21.340,67.89,61.57,24.525,0.000,0.000,0.000,3.240
1753243641.9256938,5,USB_disconnected,WLC_disconnected,3.264,122.000,21.340,67.90,61.57,24.525,0.000,0.000,0.000,3.240
1753243643.1096232,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.90,61.57,24.525,0.000,0.000,0.000,3.246
1753243644.2930562,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.91,61.57,24.525,0.000,0.000,0.000,3.246
1753243645.4761682,5,USB_disconnected,WLC_disconnected,3.264,134.400,21.340,67.91,61.57,24.525,0.000,0.000,0.000,3.240
1753243646.6596642,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.92,61.57,24.525,0.000,0.000,0.000,3.240
1753243647.842996,5,USB_disconnected,WLC_disconnected,3.264,120.400,21.340,67.92,61.57,24.525,0.000,0.000,0.000,3.240
1753243649.0266855,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.93,61.57,24.525,0.000,0.000,0.000,3.240
1753243650.2101715,5,USB_disconnected,WLC_disconnected,3.264,120.000,21.340,67.93,61.57,24.525,0.000,0.000,0.000,3.240
1753243651.393349,5,USB_disconnected,WLC_disconnected,3.264,122.400,21.340,67.94,61.57,24.525,0.000,0.000,0.000,3.240
1753243652.5767457,5,USB_disconnected,WLC_disconnected,3.264,124.400,21.340,67.94,61.57,24.525,0.000,0.000,0.000,3.240
