time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753488244.5217648,5,USB_connected,WLC_disconnected,3.181,-189.900,31.432,0.32,0.32,44.340,0.000,0.000,0.000,4.337
1753488245.7541888,5,USB_connected,WLC_disconnected,3.186,-189.675,31.432,0.52,0.52,45.926,0.000,0.000,0.000,4.343
1753488246.9867537,5,USB_connected,WLC_disconnected,3.186,-190.125,31.432,0.67,0.67,46.718,0.000,0.000,0.000,4.343
1753488248.2196548,5,USB_connected,WLC_disconnected,3.191,-190.125,31.432,0.79,0.79,46.718,0.000,0.000,0.000,4.368
1753488249.4526906,5,USB_connected,WLC_disconnected,3.191,-190.125,31.432,0.89,0.89,46.718,0.000,0.000,0.000,4.355
1753488250.685163,5,USB_connected,WLC_disconnected,3.196,-190.125,31.323,0.98,0.98,47.511,0.000,0.000,0.000,4.343
1753488251.9181314,5,USB_connected,WLC_disconnected,3.196,-189.900,31.432,1.06,1.06,48.303,0.000,0.000,0.000,4.349
1753488253.151167,5,USB_connected,WLC_disconnected,3.196,-189.900,31.432,1.13,1.13,48.303,0.000,0.000,0.000,4.349
1753488254.3836603,5,USB_connected,WLC_disconnected,3.201,-190.125,31.432,1.20,1.20,49.096,0.000,0.000,0.000,4.349
1753488255.616317,5,USB_connected,WLC_disconnected,3.201,-190.125,31.432,1.27,1.27,48.303,0.000,0.000,0.000,4.355
1753488256.8493721,5,USB_connected,WLC_disconnected,3.201,-190.125,31.432,1.32,1.32,48.303,0.000,0.000,0.000,4.349
1753488258.0819101,5,USB_connected,WLC_disconnected,3.201,-190.575,31.432,1.38,1.38,48.303,0.000,0.000,0.000,4.343
1753488259.3142083,5,USB_connected,WLC_disconnected,3.206,-190.125,31.432,1.44,1.44,49.096,0.000,0.000,0.000,4.349
1753488260.5476289,5,USB_connected,WLC_disconnected,3.206,-190.125,31.432,1.49,1.49,49.096,0.000,0.000,0.000,4.349
1753488261.780135,5,USB_connected,WLC_disconnected,3.206,-190.350,31.432,1.54,1.54,49.096,0.000,0.000,0.000,4.337
1753488263.0129478,5,USB_connected,WLC_disconnected,3.211,-190.350,31.432,1.59,1.59,49.096,0.000,0.000,0.000,4.349
1753488264.2456374,5,USB_connected,WLC_disconnected,3.211,-190.350,31.541,1.64,1.64,49.096,0.000,0.000,0.000,4.355
1753488265.4781957,5,USB_connected,WLC_disconnected,3.211,-190.350,31.541,1.69,1.69,49.096,0.000,0.000,0.000,4.337
1753488266.71104,5,USB_connected,WLC_disconnected,3.211,-190.125,31.432,1.73,1.73,49.889,0.000,0.000,0.000,4.349
1753488267.94385,5,USB_connected,WLC_disconnected,3.216,-190.350,31.432,1.77,1.77,49.889,0.000,0.000,0.000,4.362
1753488269.1766143,5,USB_connected,WLC_disconnected,3.216,-190.350,31.541,1.82,1.82,49.889,0.000,0.000,0.000,4.343
1753488270.4096656,5,USB_connected,WLC_disconnected,3.216,-190.350,31.541,1.86,1.86,49.889,0.000,0.000,0.000,4.349
1753488271.6418216,5,USB_connected,WLC_disconnected,3.216,-190.575,31.541,1.90,1.90,49.096,0.000,0.000,0.000,4.355
1753488272.874565,5,USB_connected,WLC_disconnected,3.220,-190.350,31.541,1.94,1.94,49.889,0.000,0.000,0.000,4.349
1753488274.1077645,5,USB_connected,WLC_disconnected,3.220,-190.125,31.541,1.98,1.98,46.718,0.000,0.000,0.000,4.349
1753488275.3398306,5,USB_connected,WLC_disconnected,3.220,-190.575,31.541,2.02,2.02,49.889,0.000,0.000,0.000,4.349
1753488276.5728679,5,USB_connected,WLC_disconnected,3.220,-190.350,31.541,2.06,2.06,46.718,0.000,0.000,0.000,4.355
1753488277.8055837,5,USB_connected,WLC_disconnected,3.220,-190.575,31.541,2.10,2.10,49.889,0.000,0.000,0.000,4.343
1753488279.0382836,5,USB_connected,WLC_disconnected,3.220,-190.350,31.541,2.13,2.13,49.889,0.000,0.000,0.000,4.349
1753488280.2713976,5,USB_connected,WLC_disconnected,3.225,-190.575,31.541,2.17,2.17,49.889,0.000,0.000,0.000,4.343
1753488281.5039349,5,USB_connected,WLC_disconnected,3.225,-190.575,31.541,2.21,2.21,49.889,0.000,0.000,0.000,4.355
1753488282.7366705,5,USB_connected,WLC_disconnected,3.225,-190.575,31.650,2.24,2.24,49.889,0.000,0.000,0.000,4.349
1753488283.9693425,5,USB_connected,WLC_disconnected,3.225,-190.575,31.650,2.28,2.28,49.889,0.000,0.000,0.000,4.355
1753488285.2021208,5,USB_connected,WLC_disconnected,3.230,-190.350,31.650,2.31,2.31,49.889,0.000,0.000,0.000,4.349
1753488286.4347754,5,USB_connected,WLC_disconnected,3.230,-190.575,31.541,2.35,2.35,49.889,0.000,0.000,0.000,4.349
1753488287.6674614,5,USB_connected,WLC_disconnected,3.230,-190.575,31.650,2.38,2.38,49.889,0.000,0.000,0.000,4.349
1753488288.900123,5,USB_connected,WLC_disconnected,3.230,-190.800,31.650,2.42,2.42,50.681,0.000,0.000,0.000,4.355
1753488290.1332333,5,USB_connected,WLC_disconnected,3.230,-190.800,31.650,2.45,2.45,49.889,0.000,0.000,0.000,4.355
1753488291.3659954,5,USB_connected,WLC_disconnected,3.235,-190.575,31.650,2.48,2.48,49.889,0.000,0.000,0.000,4.349
1753488292.5987246,5,USB_connected,WLC_disconnected,3.235,-190.800,31.650,2.51,2.51,50.681,0.000,0.000,0.000,4.355
