time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753523087.3011093,5,USB_connected,WLC_disconnected,3.641,0.000,32.087,100.00,100.00,38.792,0.000,0.000,0.000,4.648
1753523088.402293,5,USB_connected,WLC_disconnected,3.636,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523089.5035691,5,USB_connected,WLC_disconnected,3.631,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523090.6051111,5,USB_connected,WLC_disconnected,3.621,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523091.7062464,5,USB_connected,WLC_disconnected,3.616,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523092.8075392,5,USB_connected,WLC_disconnected,3.616,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753523093.9087784,5,USB_connected,WLC_disconnected,3.611,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523095.0098708,5,USB_connected,WLC_disconnected,3.607,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523096.1112926,5,USB_connected,WLC_disconnected,3.602,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753523097.2123942,5,USB_connected,WLC_disconnected,3.602,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523098.3136353,5,USB_connected,WLC_disconnected,3.597,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523099.4148715,5,USB_connected,WLC_disconnected,3.592,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523100.5162222,5,USB_connected,WLC_disconnected,3.592,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753523101.6176114,5,USB_connected,WLC_disconnected,3.587,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523102.7186625,5,USB_connected,WLC_disconnected,3.587,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753523103.8200784,5,USB_connected,WLC_disconnected,3.582,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753523104.9211316,5,USB_connected,WLC_disconnected,3.582,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523106.0229342,5,USB_connected,WLC_disconnected,3.577,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523107.1239512,5,USB_connected,WLC_disconnected,3.577,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523108.225237,5,USB_connected,WLC_disconnected,3.577,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753523109.3266048,5,USB_connected,WLC_disconnected,3.572,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523110.4277945,5,USB_connected,WLC_disconnected,3.572,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753523111.5286984,5,USB_connected,WLC_disconnected,3.567,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523112.6301115,5,USB_connected,WLC_disconnected,3.567,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523113.73119,5,USB_connected,WLC_disconnected,3.567,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753523114.832486,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753523115.9336734,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753523117.0350955,5,USB_connected,WLC_disconnected,3.563,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753523118.136082,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753523119.2375488,5,USB_connected,WLC_disconnected,3.558,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753523120.3386836,5,USB_connected,WLC_disconnected,3.558,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753523121.439934,5,USB_connected,WLC_disconnected,3.558,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753523122.5414746,5,USB_connected,WLC_disconnected,3.553,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753523123.6426613,5,USB_connected,WLC_disconnected,3.553,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753523124.7439463,5,USB_connected,WLC_disconnected,3.553,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.655
