time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752727893.509001,5,USB_connected,WLC_disconnected,3.220,-190.575,25.411,0.43,0.43,38.792,0.000,0.000,0.000,4.274
1752727894.72523,5,USB_connected,WLC_disconnected,3.225,-190.800,25.411,0.68,0.68,40.377,0.000,0.000,0.000,4.287
1752727895.941814,5,USB_connected,WLC_disconnected,3.225,-190.575,25.411,0.85,0.85,41.170,0.000,0.000,0.000,4.287
1752727897.1742136,5,USB_connected,WLC_disconnected,3.230,-191.025,25.411,0.99,0.99,41.963,0.000,0.000,0.000,4.299
1752727898.3903985,5,USB_connected,WLC_disconnected,3.230,-190.575,25.411,1.11,1.11,41.963,0.000,0.000,0.000,4.287
1752727899.606949,5,USB_connected,WLC_disconnected,3.235,-190.575,25.411,1.22,1.22,41.963,0.000,0.000,0.000,4.281
1752727900.8227267,5,USB_connected,WLC_disconnected,3.235,-190.575,25.411,1.31,1.31,42.755,0.000,0.000,0.000,4.287
1752727902.0561287,5,USB_connected,WLC_disconnected,3.240,-190.800,25.411,1.39,1.39,42.755,0.000,0.000,0.000,4.287
1752727903.2721772,5,USB_connected,WLC_disconnected,3.235,-190.800,25.514,1.47,1.47,42.755,0.000,0.000,0.000,4.287
1752727904.4883716,5,USB_connected,WLC_disconnected,3.240,-191.025,25.514,1.54,1.54,42.755,0.000,0.000,0.000,4.287
1752727905.7047567,5,USB_connected,WLC_disconnected,3.240,-191.250,25.411,1.62,1.62,43.548,0.000,0.000,0.000,4.287
1752727906.9211247,5,USB_connected,WLC_disconnected,3.240,-191.250,25.514,1.68,1.68,40.377,0.000,0.000,0.000,4.281
1752727908.153979,5,USB_connected,WLC_disconnected,3.240,-191.025,25.411,1.74,1.74,43.548,0.000,0.000,0.000,4.287
1752727909.3702085,5,USB_connected,WLC_disconnected,3.245,-191.025,25.411,1.80,1.80,43.548,0.000,0.000,0.000,4.293
1752727910.5865104,5,USB_connected,WLC_disconnected,3.245,-191.025,25.514,1.86,1.86,43.548,0.000,0.000,0.000,4.281
1752727911.8030338,5,USB_connected,WLC_disconnected,3.245,-191.250,25.411,1.92,1.92,43.548,0.000,0.000,0.000,4.281
1752727913.0195205,5,USB_connected,WLC_disconnected,3.250,-190.800,25.514,1.98,1.98,43.548,0.000,0.000,0.000,4.287
1752727914.251983,5,USB_connected,WLC_disconnected,3.250,-191.250,25.514,2.03,2.03,43.548,0.000,0.000,0.000,4.287
1752727915.4683068,5,USB_connected,WLC_disconnected,3.250,-190.800,25.514,2.08,2.08,43.548,0.000,0.000,0.000,4.287
1752727916.6846607,5,USB_connected,WLC_disconnected,3.250,-191.250,25.514,2.13,2.13,43.548,0.000,0.000,0.000,4.287
1752727917.9009438,5,USB_connected,WLC_disconnected,3.250,-191.250,25.514,2.18,2.18,44.340,0.000,0.000,0.000,4.287
1752727919.1174357,5,USB_connected,WLC_disconnected,3.255,-191.250,25.514,2.23,2.23,44.340,0.000,0.000,0.000,4.274
1752727920.3500602,5,USB_connected,WLC_disconnected,3.255,-191.025,25.514,2.28,2.28,44.340,0.000,0.000,0.000,4.293
1752727921.582819,5,USB_connected,WLC_disconnected,3.255,-191.475,25.514,2.33,2.33,44.340,0.000,0.000,0.000,4.287
1752727922.8156836,5,USB_connected,WLC_disconnected,3.255,-191.025,25.617,2.37,2.37,44.340,0.000,0.000,0.000,4.287
1752727924.0481496,5,USB_connected,WLC_disconnected,3.255,-191.025,25.617,2.42,2.42,44.340,0.000,0.000,0.000,4.287
1752727925.2807539,5,USB_connected,WLC_disconnected,3.260,-191.250,25.617,2.46,2.46,44.340,0.000,0.000,0.000,4.287
1752727926.5135212,5,USB_connected,WLC_disconnected,3.260,-191.250,25.617,2.51,2.51,44.340,0.000,0.000,0.000,4.281
1752727927.729939,5,USB_connected,WLC_disconnected,3.260,-191.250,25.617,2.55,2.55,44.340,0.000,0.000,0.000,4.287
1752727928.9462354,5,USB_connected,WLC_disconnected,3.260,-191.475,25.617,2.59,2.59,44.340,0.000,0.000,0.000,4.293
1752727930.1625254,5,USB_connected,WLC_disconnected,3.260,-191.475,25.514,2.63,2.63,45.133,0.000,0.000,0.000,4.287
1752727931.395678,5,USB_connected,WLC_disconnected,3.264,-191.475,25.617,2.67,2.67,44.340,0.000,0.000,0.000,4.287
1752727932.6117144,5,USB_connected,WLC_disconnected,3.264,-191.700,25.617,2.72,2.72,44.340,0.000,0.000,0.000,4.281
1752727933.844445,5,USB_connected,WLC_disconnected,3.264,-191.250,25.617,2.76,2.76,44.340,0.000,0.000,0.000,4.287
1752727935.0773485,5,USB_connected,WLC_disconnected,3.264,-191.475,25.617,2.80,2.80,45.133,0.000,0.000,0.000,4.293
1752727936.2932172,5,USB_connected,WLC_disconnected,3.264,-191.250,25.720,2.84,2.84,45.133,0.000,0.000,0.000,4.281
1752727937.509739,5,USB_connected,WLC_disconnected,3.269,-191.700,25.617,2.88,2.88,45.133,0.000,0.000,0.000,4.287
1752727938.7258506,5,USB_connected,WLC_disconnected,3.264,-191.700,25.617,2.91,2.91,44.340,0.000,0.000,0.000,4.293
1752727939.9590948,5,USB_connected,WLC_disconnected,3.269,-191.475,25.617,2.95,2.95,44.340,0.000,0.000,0.000,4.293
1752727941.1753082,5,USB_connected,WLC_disconnected,3.269,-191.475,25.617,2.99,2.99,45.133,0.000,0.000,0.000,4.287
1752727942.39136,5,USB_connected,WLC_disconnected,3.269,-191.475,25.720,3.03,3.03,45.133,0.000,0.000,0.000,4.306
1752727943.6077986,5,USB_connected,WLC_disconnected,3.269,-191.700,25.720,3.06,3.06,45.133,0.000,0.000,0.000,4.299
1752727944.824011,5,USB_connected,WLC_disconnected,3.269,-191.475,25.720,3.10,3.10,45.133,0.000,0.000,0.000,4.306
1752727946.0569088,5,USB_connected,WLC_disconnected,3.269,-191.475,25.720,3.14,3.14,45.133,0.000,0.000,0.000,4.306
1752727947.2730079,5,USB_connected,WLC_disconnected,3.274,-191.025,25.617,3.17,3.17,45.133,0.000,0.000,0.000,4.306
1752727948.5056272,5,USB_connected,WLC_disconnected,3.274,-191.475,25.720,3.21,3.21,45.133,0.000,0.000,0.000,4.287
1752727949.738897,5,USB_connected,WLC_disconnected,3.274,-191.700,25.720,3.25,3.25,45.133,0.000,0.000,0.000,4.287
1752727950.9712749,5,USB_connected,WLC_disconnected,3.274,-191.475,25.720,3.28,3.28,44.340,0.000,0.000,0.000,4.293
1752727952.1872902,5,USB_connected,WLC_disconnected,3.274,-191.475,25.720,3.31,3.31,45.133,0.000,0.000,0.000,4.287
1752727953.4039202,5,USB_connected,WLC_disconnected,3.274,-191.475,25.720,3.35,3.35,45.133,0.000,0.000,0.000,4.281
1752727954.6204464,5,USB_connected,WLC_disconnected,3.274,-191.700,25.824,3.38,3.38,45.133,0.000,0.000,0.000,4.287
1752727955.8528306,5,USB_connected,WLC_disconnected,3.274,-191.250,25.720,3.42,3.42,45.133,0.000,0.000,0.000,4.287
1752727957.0690045,5,USB_connected,WLC_disconnected,3.279,-191.700,25.720,3.45,3.45,45.133,0.000,0.000,0.000,4.293
1752727958.285619,5,USB_connected,WLC_disconnected,3.274,-191.475,25.720,3.48,3.48,45.133,0.000,0.000,0.000,4.287
1752727959.5018601,5,USB_connected,WLC_disconnected,3.279,-191.475,25.720,3.52,3.52,45.133,0.000,0.000,0.000,4.281
1752727960.734834,5,USB_connected,WLC_disconnected,3.279,-191.475,25.720,3.55,3.55,45.133,0.000,0.000,0.000,4.293
1752727961.950758,5,USB_connected,WLC_disconnected,3.279,-191.700,25.824,3.58,3.58,45.133,0.000,0.000,0.000,4.293
1752727963.1672244,5,USB_connected,WLC_disconnected,3.279,-191.700,25.720,3.61,3.61,45.133,0.000,0.000,0.000,4.293
1752727964.3833122,5,USB_connected,WLC_disconnected,3.279,-191.700,25.720,3.64,3.64,45.926,0.000,0.000,0.000,4.281
1752727965.616433,5,USB_connected,WLC_disconnected,3.279,-191.700,25.824,3.68,3.68,45.133,0.000,0.000,0.000,4.281
1752727966.8325934,5,USB_connected,WLC_disconnected,3.279,-191.475,25.824,3.71,3.71,45.133,0.000,0.000,0.000,4.287
1752727968.0489936,5,USB_connected,WLC_disconnected,3.279,-191.700,25.824,3.74,3.74,45.926,0.000,0.000,0.000,4.293
1752727969.265253,5,USB_connected,WLC_disconnected,3.284,-191.925,25.824,3.77,3.77,45.133,0.000,0.000,0.000,4.293
1752727970.4814522,5,USB_connected,WLC_disconnected,3.284,-191.700,25.824,3.80,3.80,45.133,0.000,0.000,0.000,4.287
1752727971.698132,5,USB_connected,WLC_disconnected,3.284,-191.700,25.824,3.83,3.83,45.133,0.000,0.000,0.000,4.287
1752727972.9138193,5,USB_connected,WLC_disconnected,3.284,-191.700,25.824,3.86,3.86,45.133,0.000,0.000,0.000,4.287
1752727974.1304452,5,USB_connected,WLC_disconnected,3.284,-191.700,25.824,3.89,3.89,45.133,0.000,0.000,0.000,4.287
1752727975.3467956,5,USB_connected,WLC_disconnected,3.284,-191.700,25.824,3.92,3.92,45.133,0.000,0.000,0.000,4.287
1752727976.563166,5,USB_connected,WLC_disconnected,3.289,-191.475,25.824,3.95,3.95,45.926,0.000,0.000,0.000,4.287
1752727977.7958903,5,USB_connected,WLC_disconnected,3.289,-191.700,25.824,3.98,3.98,45.133,0.000,0.000,0.000,4.293
1752727979.0118856,5,USB_connected,WLC_disconnected,3.289,-191.700,25.824,4.01,4.01,45.926,0.000,0.000,0.000,4.287
1752727980.2450457,5,USB_connected,WLC_disconnected,3.289,-191.700,25.824,4.04,4.04,45.133,0.000,0.000,0.000,4.287
1752727981.4614692,5,USB_connected,WLC_disconnected,3.289,-191.700,25.824,4.07,4.07,45.133,0.000,0.000,0.000,4.287
1752727982.6772919,5,USB_connected,WLC_disconnected,3.289,-191.700,25.824,4.10,4.10,45.133,0.000,0.000,0.000,4.293
1752727983.8938413,5,USB_connected,WLC_disconnected,3.289,-191.925,25.927,4.13,4.13,45.133,0.000,0.000,0.000,4.293
1752727985.1266718,5,USB_connected,WLC_disconnected,3.294,-191.475,26.238,4.16,4.16,45.133,0.000,0.000,0.000,4.287
1752727986.359588,5,USB_connected,WLC_disconnected,3.294,-191.925,25.824,4.19,4.19,45.133,0.000,0.000,0.000,4.293
1752727987.5919096,5,USB_connected,WLC_disconnected,3.294,-191.700,25.927,4.22,4.22,45.133,0.000,0.000,0.000,4.306
1752727988.8085573,5,USB_connected,WLC_disconnected,3.294,-191.925,25.824,4.26,4.26,45.926,0.000,0.000,0.000,4.299
1752727990.0413182,5,USB_connected,WLC_disconnected,3.294,-191.925,25.927,4.29,4.29,45.133,0.000,0.000,0.000,4.306
1752727991.2738473,5,USB_connected,WLC_disconnected,3.294,-191.925,25.927,4.32,4.32,45.133,0.000,0.000,0.000,4.299
1752727992.5066543,5,USB_connected,WLC_disconnected,3.294,-191.700,25.824,4.35,4.35,45.926,0.000,0.000,0.000,4.287
1752727993.7397354,5,USB_connected,WLC_disconnected,3.294,-191.475,25.927,4.37,4.37,45.926,0.000,0.000,0.000,4.293
1752727994.9559278,5,USB_connected,WLC_disconnected,3.294,-191.475,25.927,4.40,4.40,45.133,0.000,0.000,0.000,4.293
1752727996.1885815,5,USB_connected,WLC_disconnected,3.294,-191.700,25.927,4.43,4.43,45.133,0.000,0.000,0.000,4.293
1752727997.4213018,5,USB_connected,WLC_disconnected,3.294,-191.925,25.927,4.46,4.46,45.926,0.000,0.000,0.000,4.293
1752727998.65391,5,USB_connected,WLC_disconnected,3.299,-191.925,25.927,4.49,4.49,45.133,0.000,0.000,0.000,4.293
