time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752796912.1409764,5,USB_connected,WLC_disconnected,3.572,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752796913.258215,5,USB_connected,WLC_disconnected,3.567,0.000,26.238,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752796914.376166,5,USB_connected,WLC_disconnected,3.567,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.648
1752796915.4937394,5,USB_connected,WLC_disconnected,3.567,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752796916.6121457,5,USB_connected,WLC_disconnected,3.567,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796917.7293293,5,USB_connected,WLC_disconnected,3.567,0.000,26.238,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752796918.847142,5,USB_connected,WLC_disconnected,3.563,0.000,26.238,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752796919.964778,5,USB_connected,WLC_disconnected,3.563,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796921.082629,5,USB_connected,WLC_disconnected,3.563,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796922.2001305,5,USB_connected,WLC_disconnected,3.563,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796923.3179295,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752796924.4355934,5,USB_connected,WLC_disconnected,3.563,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.642
1752796925.5533106,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796926.671313,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752796927.7888167,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796928.9063468,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752796930.0237086,5,USB_connected,WLC_disconnected,3.558,0.000,26.238,100.00,100.00,32.451,0.000,0.000,0.000,4.630
1752796931.1417074,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796932.259353,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
1752796933.376978,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752796934.4946666,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752796935.6124995,5,USB_connected,WLC_disconnected,3.558,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752796936.7304077,5,USB_connected,WLC_disconnected,3.553,0.000,26.134,100.00,100.00,32.451,0.000,0.000,0.000,4.636
