time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753179359.2670097,5,USB_disconnected,WLC_disconnected,3.421,69.200,20.837,99.98,99.98,26.903,0.000,0.000,0.000,3.396
1753179360.4665718,5,USB_disconnected,WLC_disconnected,3.421,64.000,20.837,99.96,99.96,26.111,0.000,0.000,0.000,3.396
1753179361.650027,5,USB_disconnected,WLC_disconnected,3.416,67.600,20.837,99.96,99.96,26.111,0.000,0.000,0.000,3.390
1753179362.8335788,5,USB_disconnected,WLC_disconnected,3.411,62.000,20.837,99.95,99.95,26.111,0.000,0.000,0.000,3.396
1753179364.0334373,5,USB_disconnected,WLC_disconnected,3.411,65.600,20.837,99.94,99.94,26.111,0.000,0.000,0.000,3.390
1753179365.2332969,5,USB_disconnected,WLC_disconnected,3.411,62.000,20.837,99.94,99.94,26.111,0.000,0.000,0.000,3.390
1753179366.433056,5,USB_disconnected,WLC_disconnected,3.406,65.600,20.837,99.94,99.94,26.111,0.000,0.000,0.000,3.390
1753179367.6330652,5,USB_disconnected,WLC_disconnected,3.406,61.200,20.837,99.94,99.94,26.111,0.000,0.000,0.000,3.390
1753179368.8327584,5,USB_disconnected,WLC_disconnected,3.406,62.400,20.737,99.93,99.93,25.318,0.000,0.000,0.000,3.383
1753179370.0326903,5,USB_disconnected,WLC_disconnected,3.406,62.800,20.737,99.93,99.93,25.318,0.000,0.000,0.000,3.383
1753179371.2161446,5,USB_disconnected,WLC_disconnected,3.406,63.200,20.837,99.93,99.93,26.111,0.000,0.000,0.000,3.383
1753179372.4162858,5,USB_disconnected,WLC_disconnected,3.401,62.800,20.737,99.92,99.92,25.318,0.000,0.000,0.000,3.383
1753179373.6162138,5,USB_disconnected,WLC_disconnected,3.401,61.600,20.737,99.92,99.92,25.318,0.000,0.000,0.000,3.377
