time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753223428.6271164,5,USB_connected,WLC_disconnected,3.132,0.000,20.235,0.00,0.00,26.903,0.000,0.000,0.000,4.630
1753223429.7282438,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.111,0.000,0.000,0.000,4.698
1753223430.829835,5,USB_connected,WLC_disconnected,3.137,0.000,20.235,0.00,0.00,26.111,0.000,0.000,0.000,4.630
1753223431.9310231,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223433.0322194,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,25.318,0.000,0.000,0.000,4.661
1753223434.1330805,5,USB_connected,WLC_disconnected,3.132,0.000,20.435,0.00,0.00,26.111,0.000,0.000,0.000,4.648
1753223435.2346232,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,25.318,0.000,0.000,0.000,4.642
1753223436.335766,5,USB_connected,WLC_disconnected,3.132,0.000,20.235,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223437.4370096,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753223438.5381603,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753223439.6394458,5,USB_connected,WLC_disconnected,3.132,0.000,20.235,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223440.7407522,5,USB_connected,WLC_disconnected,3.137,0.000,20.134,0.00,0.00,25.318,0.000,0.000,0.000,4.636
1753223441.842004,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753223442.9432585,5,USB_connected,WLC_disconnected,3.137,0.000,20.335,0.00,0.00,26.903,0.000,0.000,0.000,4.636
1753223444.0444202,5,USB_connected,WLC_disconnected,3.137,0.000,20.235,0.00,0.00,25.318,0.000,0.000,0.000,4.661
1753223445.1460261,5,USB_connected,WLC_disconnected,3.137,0.000,20.335,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753223446.2472615,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753223447.3485463,5,USB_connected,WLC_disconnected,3.132,0.000,20.335,0.00,0.00,26.903,0.000,0.000,0.000,4.648
1753223448.449776,5,USB_connected,WLC_disconnected,3.137,0.000,20.235,0.00,0.00,26.111,0.000,0.000,0.000,4.636
1753223449.5509129,5,USB_connected,WLC_disconnected,3.137,0.000,20.335,0.00,0.00,25.318,0.000,0.000,0.000,4.642
