time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753252306.4273648,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.630
1753252307.528231,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.648
1753252308.629881,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.636
1753252309.7311387,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,25.318,0.000,0.000,0.000,4.642
1753252310.832282,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753252311.93358,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.630
1753252313.0348513,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.903,0.000,0.000,0.000,4.636
1753252314.1360495,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.661
1753252315.2369456,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753252316.3386564,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.903,0.000,0.000,0.000,4.642
1753252317.4400713,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.686
1753252318.5410678,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753252319.6426513,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,25.318,0.000,0.000,0.000,4.686
1753252320.7438354,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.903,0.000,0.000,0.000,4.642
1753252321.8450038,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753252322.946052,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.903,0.000,0.000,0.000,4.661
1753252324.0471954,5,USB_connected,WLC_disconnected,3.167,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753252325.1486251,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753252326.249878,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.642
1753252327.3511655,5,USB_connected,WLC_disconnected,3.162,0.000,20.536,0.00,0.00,26.111,0.000,0.000,0.000,4.642
