time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753256992.491207,5,USB_connected,WLC_disconnected,3.279,-191.475,16.140,0.57,0.57,29.281,0.000,0.000,0.000,4.287
1753256993.723938,5,USB_connected,WLC_disconnected,3.284,-191.250,16.239,0.87,0.87,30.074,0.000,0.000,0.000,4.274
1753256994.956445,5,USB_connected,WLC_disconnected,3.284,-191.475,16.239,1.08,1.08,30.866,0.000,0.000,0.000,4.274
1753256996.1729264,5,USB_connected,WLC_disconnected,3.289,-191.475,16.140,1.27,1.27,30.866,0.000,0.000,0.000,4.268
1753256997.4054203,5,USB_connected,WLC_disconnected,3.294,-191.700,16.140,1.41,1.41,31.659,0.000,0.000,0.000,4.274
1753256998.6384428,5,USB_connected,WLC_disconnected,3.294,-191.700,16.239,1.53,1.53,31.659,0.000,0.000,0.000,4.281
1753256999.8711135,5,USB_connected,WLC_disconnected,3.294,-191.925,16.239,1.65,1.65,31.659,0.000,0.000,0.000,4.268
1753257001.103571,5,USB_connected,WLC_disconnected,3.299,-191.700,16.239,1.75,1.75,32.451,0.000,0.000,0.000,4.281
1753257002.3366287,5,USB_connected,WLC_disconnected,3.299,-191.475,16.140,1.85,1.85,32.451,0.000,0.000,0.000,4.281
1753257003.5859528,5,USB_connected,WLC_disconnected,3.299,-191.925,16.239,1.94,1.94,33.244,0.000,0.000,0.000,4.274
1753257004.8186357,5,USB_connected,WLC_disconnected,3.304,-191.700,16.538,2.03,2.03,33.244,0.000,0.000,0.000,4.274
1753257006.0515049,5,USB_connected,WLC_disconnected,3.304,-191.925,16.239,2.11,2.11,33.244,0.000,0.000,0.000,4.268
1753257007.2843392,5,USB_connected,WLC_disconnected,3.304,-191.700,16.239,2.19,2.19,33.244,0.000,0.000,0.000,4.268
1753257008.5170424,5,USB_connected,WLC_disconnected,3.304,-191.475,16.239,2.27,2.27,33.244,0.000,0.000,0.000,4.274
1753257009.7495224,5,USB_connected,WLC_disconnected,3.308,-191.700,16.239,2.34,2.34,33.244,0.000,0.000,0.000,4.274
1753257010.9822443,5,USB_connected,WLC_disconnected,3.304,-192.150,16.239,2.42,2.42,34.037,0.000,0.000,0.000,4.281
1753257012.2151644,5,USB_connected,WLC_disconnected,3.304,-191.700,16.239,2.48,2.48,33.244,0.000,0.000,0.000,4.281
1753257013.4477897,5,USB_connected,WLC_disconnected,3.308,-191.925,16.239,2.55,2.55,33.244,0.000,0.000,0.000,4.281
1753257014.6808558,5,USB_connected,WLC_disconnected,3.308,-191.925,16.239,2.62,2.62,34.037,0.000,0.000,0.000,4.268
1753257015.913309,5,USB_connected,WLC_disconnected,3.308,-191.925,16.239,2.68,2.68,34.037,0.000,0.000,0.000,4.281
1753257017.1457868,5,USB_connected,WLC_disconnected,3.308,-192.150,16.239,2.74,2.74,30.866,0.000,0.000,0.000,4.281
1753257018.378795,5,USB_connected,WLC_disconnected,3.313,-191.925,15.841,2.81,2.81,30.866,0.000,0.000,0.000,4.274
1753257019.6114411,5,USB_connected,WLC_disconnected,3.308,-191.925,16.239,2.86,2.86,30.866,0.000,0.000,0.000,4.281
1753257020.8442369,5,USB_connected,WLC_disconnected,3.313,-192.150,16.239,2.92,2.92,30.866,0.000,0.000,0.000,4.287
1753257022.0771167,5,USB_connected,WLC_disconnected,3.313,-192.150,16.239,2.98,2.98,33.244,0.000,0.000,0.000,4.268
1753257023.3096805,5,USB_connected,WLC_disconnected,3.313,-191.925,16.239,3.04,3.04,34.037,0.000,0.000,0.000,4.274
1753257024.5425177,5,USB_connected,WLC_disconnected,3.313,-192.150,16.239,3.09,3.09,34.037,0.000,0.000,0.000,4.281
1753257025.7748547,5,USB_connected,WLC_disconnected,3.313,-191.925,16.239,3.15,3.15,34.037,0.000,0.000,0.000,4.274
1753257027.007737,5,USB_connected,WLC_disconnected,3.313,-191.925,16.239,3.20,3.20,34.829,0.000,0.000,0.000,4.281
1753257028.2408457,5,USB_connected,WLC_disconnected,3.318,-191.925,16.239,3.25,3.25,34.037,0.000,0.000,0.000,4.281
