time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753348133.7306583,5,USB_connected,WLC_disconnected,3.504,0.000,16.040,100.00,100.00,22.148,0.000,0.000,0.000,4.617
1753348134.8644397,5,USB_connected,WLC_disconnected,3.504,0.000,16.040,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348135.998605,5,USB_connected,WLC_disconnected,3.504,0.000,16.040,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348137.1328216,5,USB_connected,WLC_disconnected,3.504,0.000,16.040,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753348138.2672994,5,USB_connected,WLC_disconnected,3.504,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753348139.4010205,5,USB_connected,WLC_disconnected,3.504,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348140.5352407,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348141.6693769,5,USB_connected,WLC_disconnected,3.504,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753348142.8037224,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753348143.9375982,5,USB_connected,WLC_disconnected,3.504,0.000,15.940,100.00,100.00,21.355,0.000,0.000,0.000,4.630
1753348145.0716262,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348146.2057137,5,USB_connected,WLC_disconnected,3.504,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348147.3399074,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753348148.4741387,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753348149.6082566,5,USB_connected,WLC_disconnected,3.499,0.000,16.040,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348150.7424283,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348151.8765798,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348153.01038,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348154.144727,5,USB_connected,WLC_disconnected,3.499,0.000,15.841,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348155.2788024,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.940,0.000,0.000,0.000,4.623
1753348156.412724,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753348157.546962,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,21.355,0.000,0.000,0.000,4.630
1753348158.681355,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,21.355,0.000,0.000,0.000,4.630
1753348159.8153028,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348160.9495013,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.940,0.000,0.000,0.000,4.623
1753348162.0837548,5,USB_connected,WLC_disconnected,3.494,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.617
1753348163.21771,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.617
1753348164.351685,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753348165.48596,5,USB_connected,WLC_disconnected,3.494,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348166.6199386,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.617
1753348167.7542722,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.617
1753348168.888361,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753348170.0226357,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
1753348171.1564958,5,USB_connected,WLC_disconnected,3.494,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.648
1753348172.2906597,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753348173.4248202,5,USB_connected,WLC_disconnected,3.499,0.000,15.940,100.00,100.00,22.940,0.000,0.000,0.000,4.630
1753348174.5589066,5,USB_connected,WLC_disconnected,3.494,0.000,15.841,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753348175.6930716,5,USB_connected,WLC_disconnected,3.494,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753348176.8270173,5,USB_connected,WLC_disconnected,3.494,0.000,15.940,100.00,100.00,22.148,0.000,0.000,0.000,4.623
