time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753459219.171795,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.704
1753459220.2728622,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.698
1753459221.3744886,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.037,0.000,0.000,0.000,4.692
1753459222.4758165,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.698
1753459223.576999,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.760
1753459224.678235,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.711
1753459225.7794394,5,USB_connected,WLC_disconnected,3.074,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459226.880859,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.711
1753459227.9819372,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.711
1753459229.0832834,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.723
1753459230.1847084,5,USB_connected,WLC_disconnected,3.074,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459231.2859893,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.698
1753459232.3874085,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.723
1753459233.4884696,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.711
1753459234.5897992,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459235.6909318,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.723
1753459236.792166,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.698
1753459237.8932726,5,USB_connected,WLC_disconnected,3.074,0.000,29.815,0.00,0.00,34.037,0.000,0.000,0.000,4.711
1753459238.9943764,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459240.0957456,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459241.1969395,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.704
1753459242.2983153,5,USB_connected,WLC_disconnected,3.074,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.679
1753459243.3996058,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.736
1753459244.5007527,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.723
1753459245.602079,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.723
1753459246.703324,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.711
1753459247.8045428,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.679
1753459248.9060528,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459250.0072863,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.704
1753459251.1082797,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.736
1753459252.2098107,5,USB_connected,WLC_disconnected,3.074,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459253.3108928,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.704
1753459254.412083,5,USB_connected,WLC_disconnected,3.074,0.000,29.815,0.00,0.00,35.622,0.000,0.000,0.000,4.692
1753459255.5132787,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459256.6144972,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.711
1753459257.7158718,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.736
1753459258.8171647,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459259.9180417,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459261.0196857,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.736
1753459262.1207497,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459263.222175,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.692
1753459264.3233664,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.704
1753459265.4248106,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.704
1753459266.5256772,5,USB_connected,WLC_disconnected,3.074,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.698
1753459267.6271732,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.723
1753459268.72847,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.723
1753459269.829784,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459270.930895,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.037,0.000,0.000,0.000,4.698
1753459272.031669,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.711
1753459273.1334355,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.704
1753459274.2345874,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,35.622,0.000,0.000,0.000,4.692
1753459275.3359056,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.698
1753459276.4370816,5,USB_connected,WLC_disconnected,3.079,0.000,29.708,0.00,0.00,34.829,0.000,0.000,0.000,4.698
1753459277.5383222,5,USB_connected,WLC_disconnected,3.079,0.000,29.815,0.00,0.00,34.829,0.000,0.000,0.000,4.704
