time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753473917.1265574,5,USB_connected,WLC_disconnected,3.455,0.000,30.674,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753473918.3104134,5,USB_disconnected,WLC_disconnected,3.411,132.400,30.674,99.97,99.97,36.414,0.000,0.000,0.000,3.377
1753473919.493778,5,USB_disconnected,WLC_disconnected,3.401,136.000,30.674,99.96,99.96,36.414,0.000,0.000,0.000,3.371
1753473920.6773758,5,USB_disconnected,WLC_disconnected,3.401,138.000,30.566,99.95,99.95,35.622,0.000,0.000,0.000,3.365
1753473921.8609164,5,USB_disconnected,WLC_disconnected,3.391,137.200,30.566,99.95,99.95,36.414,0.000,0.000,0.000,3.358
1753473923.0441272,5,USB_disconnected,WLC_disconnected,3.391,136.800,30.566,99.94,99.94,36.414,0.000,0.000,0.000,3.358
1753473924.2277691,5,USB_disconnected,WLC_disconnected,3.391,133.200,30.674,99.94,99.94,35.622,0.000,0.000,0.000,3.358
1753473925.4111845,5,USB_disconnected,WLC_disconnected,3.387,140.800,30.566,99.94,99.94,35.622,0.000,0.000,0.000,3.352
1753473926.594259,5,USB_disconnected,WLC_disconnected,3.387,134.000,30.566,99.93,99.93,36.414,0.000,0.000,0.000,3.352
1753473927.777719,5,USB_disconnected,WLC_disconnected,3.382,136.800,30.674,99.93,99.93,35.622,0.000,0.000,0.000,3.352
1753473928.9615457,5,USB_disconnected,WLC_disconnected,3.377,140.400,30.566,99.92,99.92,36.414,0.000,0.000,0.000,3.346
1753473930.1449509,5,USB_disconnected,WLC_disconnected,3.377,134.000,30.566,99.92,99.92,35.622,0.000,0.000,0.000,3.346
1753473931.328206,5,USB_disconnected,WLC_disconnected,3.377,136.000,30.566,99.92,99.92,35.622,0.000,0.000,0.000,3.340
1753473932.5116727,5,USB_disconnected,WLC_disconnected,3.372,134.000,30.566,99.91,99.91,35.622,0.000,0.000,0.000,3.346
