time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753583627.5297093,5,USB_disconnected,WLC_disconnected,3.455,0.000,37.172,100.00,100.00,43.548,0.000,0.000,0.000,4.642
1753583628.9430933,5,USB_disconnected,WLC_disconnected,3.406,143.200,37.172,99.96,99.96,42.755,0.000,0.000,0.000,3.371
1753583630.1758468,5,USB_disconnected,WLC_disconnected,3.416,106.800,37.172,99.95,99.95,42.755,0.000,0.000,0.000,3.383
1753583631.409018,5,USB_disconnected,WLC_disconnected,3.411,104.800,37.172,99.95,99.95,42.755,0.000,0.000,0.000,3.383
1753583632.641722,5,USB_disconnected,WLC_disconnected,3.406,112.800,37.172,99.94,99.94,42.755,0.000,0.000,0.000,3.377
1753583633.8743486,5,USB_disconnected,WLC_disconnected,3.406,107.600,37.172,99.94,99.94,41.963,0.000,0.000,0.000,3.383
1753583635.1072788,5,USB_disconnected,WLC_disconnected,3.406,109.600,37.172,99.94,99.94,42.755,0.000,0.000,0.000,3.377
1753583636.3399584,5,USB_disconnected,WLC_disconnected,3.401,112.400,37.172,99.93,99.93,41.963,0.000,0.000,0.000,3.371
1753583637.5729816,5,USB_disconnected,WLC_disconnected,3.401,110.400,37.172,99.93,99.93,41.963,0.000,0.000,0.000,3.371
1753583638.805572,5,USB_disconnected,WLC_disconnected,3.396,106.800,37.172,99.93,99.93,41.963,0.000,0.000,0.000,3.371
1753583640.0381565,5,USB_disconnected,WLC_disconnected,3.396,108.400,37.172,99.92,99.92,41.963,0.000,0.000,0.000,3.365
1753583641.2712457,5,USB_disconnected,WLC_disconnected,3.396,102.000,37.172,99.92,99.92,41.963,0.000,0.000,0.000,3.371
1753583642.503734,5,USB_disconnected,WLC_disconnected,3.391,108.400,37.172,99.92,99.92,41.963,0.000,0.000,0.000,3.365
1753583643.7363102,5,USB_disconnected,WLC_disconnected,3.391,113.600,37.172,99.91,99.91,41.963,0.000,0.000,0.000,3.365
1753583644.9696586,5,USB_disconnected,WLC_disconnected,3.391,111.200,37.172,99.91,99.91,41.963,0.000,0.000,0.000,3.365
1753583646.2019947,5,USB_disconnected,WLC_disconnected,3.387,110.400,37.172,99.91,99.91,41.963,0.000,0.000,0.000,3.365
1753583647.4350226,5,USB_disconnected,WLC_disconnected,3.387,111.200,37.172,99.91,99.91,41.963,0.000,0.000,0.000,3.358
1753583648.667437,5,USB_disconnected,WLC_disconnected,3.387,107.600,37.172,99.90,99.90,41.963,0.000,0.000,0.000,3.358
1753583649.9002626,5,USB_disconnected,WLC_disconnected,3.387,112.000,37.172,99.90,99.90,41.963,0.000,0.000,0.000,3.358
1753583651.1329782,5,USB_disconnected,WLC_disconnected,3.382,113.200,37.055,99.90,99.90,41.963,0.000,0.000,0.000,3.352
1753583652.3657758,5,USB_disconnected,WLC_disconnected,3.382,112.000,37.172,99.89,99.89,41.963,0.000,0.000,0.000,3.352
1753583653.5985496,5,USB_disconnected,WLC_disconnected,3.382,112.000,37.172,99.89,99.89,41.963,0.000,0.000,0.000,3.352
1753583654.8315814,5,USB_disconnected,WLC_disconnected,3.377,101.600,37.172,99.89,99.89,41.963,0.000,0.000,0.000,3.352
1753583656.0638452,5,USB_disconnected,WLC_disconnected,3.382,96.000,37.055,99.89,99.89,41.963,0.000,0.000,0.000,3.346
1753583657.296801,5,USB_disconnected,WLC_disconnected,3.382,96.800,37.172,99.88,99.88,41.963,0.000,0.000,0.000,3.346
