time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752709899.1508696,5,USB_connected,WLC_disconnected,3.572,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.642
1752709900.2515602,5,USB_connected,WLC_disconnected,3.572,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.698
1752709901.3529062,5,USB_connected,WLC_disconnected,3.567,0.000,26.757,100.00,100.00,33.244,0.000,0.000,0.000,4.636
1752709902.4545944,5,USB_connected,WLC_disconnected,3.567,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752709903.555667,5,USB_connected,WLC_disconnected,3.567,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752709904.6570685,5,USB_connected,WLC_disconnected,3.563,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752709905.7578702,5,USB_connected,WLC_disconnected,3.563,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752709906.8594558,5,USB_connected,WLC_disconnected,3.563,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752709907.960845,5,USB_connected,WLC_disconnected,3.563,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.655
1752709909.0619786,5,USB_connected,WLC_disconnected,3.563,0.000,26.757,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752709910.1632428,5,USB_connected,WLC_disconnected,3.558,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.648
1752709911.2645369,5,USB_connected,WLC_disconnected,3.558,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.686
1752709912.3660586,5,USB_connected,WLC_disconnected,3.558,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752709913.4673183,5,USB_connected,WLC_disconnected,3.558,0.000,26.653,100.00,100.00,33.244,0.000,0.000,0.000,4.686
1752709914.5685067,5,USB_connected,WLC_disconnected,3.558,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.692
1752709915.669844,5,USB_connected,WLC_disconnected,3.558,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.655
1752709916.7710867,5,USB_connected,WLC_disconnected,3.553,0.000,26.653,100.00,100.00,34.037,0.000,0.000,0.000,4.648
1752709917.8719292,5,USB_connected,WLC_disconnected,3.553,0.000,26.653,100.00,100.00,32.451,0.000,0.000,0.000,4.673
1752709918.9731524,5,USB_connected,WLC_disconnected,3.553,0.000,26.549,100.00,100.00,32.451,0.000,0.000,0.000,4.648
