time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752785673.8717968,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.698
1752785674.9897928,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.723
1752785676.107414,5,USB_connected,WLC_disconnected,3.069,0.000,25.000,0.00,0.00,30.866,0.000,0.000,0.000,4.742
1752785677.2254503,5,USB_connected,WLC_disconnected,3.069,0.000,25.000,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752785678.342943,5,USB_connected,WLC_disconnected,3.069,0.000,25.000,0.00,0.00,29.281,0.000,0.000,0.000,4.723
1752785679.4606116,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785680.5783536,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785681.6956177,5,USB_connected,WLC_disconnected,3.069,0.000,25.000,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785682.8136072,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.723
1752785683.931298,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752785685.049326,5,USB_connected,WLC_disconnected,3.069,0.000,25.000,0.00,0.00,29.281,0.000,0.000,0.000,4.736
1752785686.166948,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785687.2844236,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785688.402129,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.692
1752785689.5197582,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.698
1752785690.6375706,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.711
1752785691.7550297,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785692.872709,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785693.9906669,5,USB_connected,WLC_disconnected,3.069,0.000,25.000,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785695.108326,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.742
1752785696.2260435,5,USB_connected,WLC_disconnected,3.074,0.000,25.000,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785697.3435373,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785698.461329,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.736
1752785699.5788903,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785700.6966486,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,30.866,0.000,0.000,0.000,4.723
1752785701.8143146,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.866,0.000,0.000,0.000,4.711
1752785702.932028,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785704.0500674,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785705.1677043,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.785
1752785706.2852135,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785707.4026616,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.785
1752785708.5204337,5,USB_connected,WLC_disconnected,3.074,0.000,25.000,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785709.6380942,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.074,0.000,0.000,0.000,4.711
1752785710.7558246,5,USB_connected,WLC_disconnected,3.074,0.000,25.000,0.00,0.00,30.074,0.000,0.000,0.000,4.704
1752785711.873401,5,USB_connected,WLC_disconnected,3.074,0.000,25.102,0.00,0.00,29.281,0.000,0.000,0.000,4.704
1752785712.991223,5,USB_connected,WLC_disconnected,3.069,0.000,25.102,0.00,0.00,30.866,0.000,0.000,0.000,4.704
