time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752814844.4821036,5,USB_connected,WLC_disconnected,3.220,-189.225,25.824,0.42,0.42,39.585,0.000,0.000,0.000,4.318
1752814845.6495402,5,USB_connected,WLC_disconnected,3.225,-189.225,25.824,0.68,0.68,41.170,0.000,0.000,0.000,4.318
1752814846.8161104,5,USB_connected,WLC_disconnected,3.225,-189.225,25.824,0.85,0.85,41.170,0.000,0.000,0.000,4.324
1752814847.9833503,5,USB_connected,WLC_disconnected,3.230,-189.450,25.824,0.99,0.99,41.170,0.000,0.000,0.000,4.337
1752814849.1503947,5,USB_connected,WLC_disconnected,3.225,-189.450,25.824,1.11,1.11,42.755,0.000,0.000,0.000,4.324
1752814850.3175166,5,USB_connected,WLC_disconnected,3.235,-189.450,25.824,1.21,1.21,41.963,0.000,0.000,0.000,4.337
1752814851.4842074,5,USB_connected,WLC_disconnected,3.235,-189.450,25.824,1.31,1.31,40.377,0.000,0.000,0.000,4.318
1752814852.6514637,5,USB_connected,WLC_disconnected,3.235,-189.225,25.824,1.39,1.39,42.755,0.000,0.000,0.000,4.387
1752814853.818489,5,USB_connected,WLC_disconnected,3.235,-189.450,25.514,1.47,1.47,43.548,0.000,0.000,0.000,4.337
1752814854.9855902,5,USB_connected,WLC_disconnected,3.240,-189.675,25.824,1.54,1.54,43.548,0.000,0.000,0.000,4.324
1752814856.1525133,5,USB_connected,WLC_disconnected,3.245,-189.675,25.824,1.61,1.61,43.548,0.000,0.000,0.000,4.324
1752814857.3193429,5,USB_connected,WLC_disconnected,3.245,-189.675,25.824,1.68,1.68,43.548,0.000,0.000,0.000,4.337
1752814858.486578,5,USB_connected,WLC_disconnected,3.245,-189.900,26.238,1.74,1.74,43.548,0.000,0.000,0.000,4.324
1752814859.6532497,5,USB_connected,WLC_disconnected,3.245,-189.675,25.927,1.80,1.80,43.548,0.000,0.000,0.000,4.324
1752814860.820255,5,USB_connected,WLC_disconnected,3.245,-189.675,25.514,1.86,1.86,44.340,0.000,0.000,0.000,4.324
1752814861.987451,5,USB_connected,WLC_disconnected,3.250,-189.675,25.824,1.92,1.92,43.548,0.000,0.000,0.000,4.331
1752814863.1543632,5,USB_connected,WLC_disconnected,3.250,-189.675,25.927,1.97,1.97,44.340,0.000,0.000,0.000,4.324
1752814864.3209395,5,USB_connected,WLC_disconnected,3.250,-189.675,25.927,2.02,2.02,44.340,0.000,0.000,0.000,4.337
1752814865.4886332,5,USB_connected,WLC_disconnected,3.250,-189.675,25.824,2.07,2.07,43.548,0.000,0.000,0.000,4.387
1752814866.6552694,5,USB_connected,WLC_disconnected,3.250,-189.675,25.927,2.13,2.13,44.340,0.000,0.000,0.000,4.387
1752814867.8218904,5,USB_connected,WLC_disconnected,3.250,-189.675,25.927,2.17,2.17,44.340,0.000,0.000,0.000,4.324
1752814868.9895506,5,USB_connected,WLC_disconnected,3.255,-189.675,25.927,2.22,2.22,44.340,0.000,0.000,0.000,4.324
1752814870.1562946,5,USB_connected,WLC_disconnected,3.255,-189.900,25.927,2.27,2.27,44.340,0.000,0.000,0.000,4.324
1752814871.322904,5,USB_connected,WLC_disconnected,3.255,-189.675,25.927,2.31,2.31,44.340,0.000,0.000,0.000,4.324
