time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752824190.0010717,5,USB_connected,WLC_disconnected,3.455,0.000,26.134,100.00,100.00,33.244,0.000,0.000,0.000,4.648
1752824191.3479407,5,USB_disconnected,WLC_disconnected,3.416,109.200,26.134,99.97,99.97,31.659,0.000,0.000,0.000,3.390
1752824192.5483027,5,USB_disconnected,WLC_disconnected,3.411,112.000,26.134,99.96,99.96,30.866,0.000,0.000,0.000,3.390
1752824193.7481883,5,USB_disconnected,WLC_disconnected,3.411,108.400,26.134,99.95,99.95,30.866,0.000,0.000,0.000,3.383
1752824194.947996,5,USB_disconnected,WLC_disconnected,3.406,108.400,26.134,99.95,99.95,30.866,0.000,0.000,0.000,3.383
1752824196.1479168,5,USB_disconnected,WLC_disconnected,3.406,108.400,26.134,99.94,99.94,30.866,0.000,0.000,0.000,3.377
1752824197.3478112,5,USB_disconnected,WLC_disconnected,3.401,109.200,26.134,99.94,99.94,30.866,0.000,0.000,0.000,3.377
1752824198.5476463,5,USB_disconnected,WLC_disconnected,3.401,113.600,26.134,99.94,99.94,30.866,0.000,0.000,0.000,3.383
1752824199.7475855,5,USB_disconnected,WLC_disconnected,3.406,108.000,26.031,99.94,99.94,30.074,0.000,0.000,0.000,3.371
1752824200.9473963,5,USB_disconnected,WLC_disconnected,3.401,112.800,26.134,99.94,99.94,30.866,0.000,0.000,0.000,3.377
1752824202.147284,5,USB_disconnected,WLC_disconnected,3.396,115.200,26.134,99.93,99.93,30.866,0.000,0.000,0.000,3.365
1752824203.3471906,5,USB_disconnected,WLC_disconnected,3.396,102.000,26.134,99.93,99.93,30.074,0.000,0.000,0.000,3.371
1752824204.5471003,5,USB_disconnected,WLC_disconnected,3.396,113.600,26.134,99.93,99.93,30.866,0.000,0.000,0.000,3.365
1752824205.7470002,5,USB_disconnected,WLC_disconnected,3.391,112.800,26.134,99.92,99.92,30.866,0.000,0.000,0.000,3.365
1752824206.9467318,5,USB_disconnected,WLC_disconnected,3.391,102.000,26.031,99.92,99.92,30.866,0.000,0.000,0.000,3.365
1752824208.1466832,5,USB_disconnected,WLC_disconnected,3.387,102.000,26.134,99.92,99.92,30.866,0.000,0.000,0.000,3.358
1752824209.3465874,5,USB_disconnected,WLC_disconnected,3.387,115.200,26.031,99.92,99.92,30.074,0.000,0.000,0.000,3.365
1752824210.546446,5,USB_disconnected,WLC_disconnected,3.391,107.600,26.134,99.91,99.91,30.074,0.000,0.000,0.000,3.358
1752824211.7463086,5,USB_disconnected,WLC_disconnected,3.387,109.200,26.031,99.91,99.91,30.074,0.000,0.000,0.000,3.358
1752824212.9461436,5,USB_disconnected,WLC_disconnected,3.382,108.400,26.031,99.91,99.91,30.866,0.000,0.000,0.000,3.358
1752824214.1460176,5,USB_disconnected,WLC_disconnected,3.387,108.800,26.031,99.91,99.91,30.866,0.000,0.000,0.000,3.365
1752824215.3459563,5,USB_disconnected,WLC_disconnected,3.382,108.400,26.031,99.90,99.90,30.074,0.000,0.000,0.000,3.358
1752824216.5457137,5,USB_disconnected,WLC_disconnected,3.382,117.600,26.031,99.90,99.90,30.074,0.000,0.000,0.000,3.352
1752824217.7455661,5,USB_disconnected,WLC_disconnected,3.382,110.400,26.031,99.90,99.90,30.074,0.000,0.000,0.000,3.352
1752824218.9455762,5,USB_disconnected,WLC_disconnected,3.377,111.600,26.031,99.90,99.90,30.074,0.000,0.000,0.000,3.352
1752824220.1454377,5,USB_disconnected,WLC_disconnected,3.377,112.000,26.031,99.89,99.89,30.074,0.000,0.000,0.000,3.352
1752824221.3452244,5,USB_disconnected,WLC_disconnected,3.377,112.800,26.031,99.89,99.89,30.074,0.000,0.000,0.000,3.365
1752824222.5451062,5,USB_disconnected,WLC_disconnected,3.377,108.800,26.031,99.89,99.89,30.074,0.000,0.000,0.000,3.346
1752824223.744971,5,USB_disconnected,WLC_disconnected,3.372,109.200,26.031,99.89,99.89,30.074,0.000,0.000,0.000,3.346
1752824224.9445796,5,USB_disconnected,WLC_disconnected,3.382,110.000,26.031,99.88,99.88,30.074,0.000,0.000,0.000,3.346
1752824226.1447017,5,USB_disconnected,WLC_disconnected,3.372,111.200,26.031,99.88,99.88,30.074,0.000,0.000,0.000,3.346
1752824227.3446493,5,USB_disconnected,WLC_disconnected,3.372,108.800,26.031,99.88,99.88,30.074,0.000,0.000,0.000,3.346
1752824228.5455608,5,USB_disconnected,WLC_disconnected,3.372,114.800,26.031,99.88,99.88,30.074,0.000,0.000,0.000,3.340
1752824229.7445006,5,USB_disconnected,WLC_disconnected,3.367,111.600,25.927,99.88,99.88,30.074,0.000,0.000,0.000,3.340
1752824230.944211,5,USB_disconnected,WLC_disconnected,3.367,108.800,26.031,99.87,99.87,30.074,0.000,0.000,0.000,3.340
1752824232.14396,5,USB_disconnected,WLC_disconnected,3.382,110.000,26.031,99.87,99.87,30.074,0.000,0.000,0.000,3.340
1752824233.3438501,5,USB_disconnected,WLC_disconnected,3.367,114.000,26.031,99.87,99.87,30.074,0.000,0.000,0.000,3.352
1752824234.5437293,5,USB_disconnected,WLC_disconnected,3.362,110.000,25.927,99.87,99.87,30.074,0.000,0.000,0.000,3.340
1752824235.7436564,5,USB_disconnected,WLC_disconnected,3.367,114.400,26.031,99.87,99.87,30.074,0.000,0.000,0.000,3.340
1752824236.9433517,5,USB_disconnected,WLC_disconnected,3.372,112.000,25.927,99.87,99.87,30.074,0.000,0.000,0.000,3.340
1752824238.1434293,5,USB_disconnected,WLC_disconnected,3.362,108.400,25.927,99.86,99.86,30.074,0.000,0.000,0.000,3.340
1752824239.3430202,5,USB_disconnected,WLC_disconnected,3.362,112.000,26.031,99.86,99.86,30.074,0.000,0.000,0.000,3.340
1752824240.5431695,5,USB_disconnected,WLC_disconnected,3.362,114.400,26.031,99.85,99.85,30.074,0.000,0.000,0.000,3.340
1752824241.7430406,5,USB_disconnected,WLC_disconnected,3.362,110.000,25.927,99.85,99.85,30.074,0.000,0.000,0.000,3.333
1752824242.9429197,5,USB_disconnected,WLC_disconnected,3.362,115.200,25.927,99.85,99.85,30.074,0.000,0.000,0.000,3.333
1752824244.1427047,5,USB_disconnected,WLC_disconnected,3.362,115.200,25.927,99.85,99.85,30.074,0.000,0.000,0.000,3.340
1752824245.342633,5,USB_disconnected,WLC_disconnected,3.357,115.200,25.927,99.85,99.85,30.074,0.000,0.000,0.000,3.333
1752824246.5426207,5,USB_disconnected,WLC_disconnected,3.357,108.400,25.927,99.84,99.84,29.281,0.000,0.000,0.000,3.333
1752824247.7423263,5,USB_disconnected,WLC_disconnected,3.357,102.000,25.927,99.84,99.84,30.074,0.000,0.000,0.000,3.333
1752824248.9422352,5,USB_disconnected,WLC_disconnected,3.357,112.000,25.927,99.84,99.84,30.074,0.000,0.000,0.000,3.327
1752824250.1418788,5,USB_disconnected,WLC_disconnected,3.357,112.000,25.927,99.83,99.83,30.074,0.000,0.000,0.000,3.327
1752824251.3421812,5,USB_disconnected,WLC_disconnected,3.357,108.400,25.927,99.83,99.83,29.281,0.000,0.000,0.000,3.327
1752824252.5422015,5,USB_disconnected,WLC_disconnected,3.357,113.200,25.927,99.83,99.83,30.074,0.000,0.000,0.000,3.340
